begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,11.490000,12.250000,12.470000,11.450000,14825495,reg
2025-07-18T00:00:00Z,12.560000,12.410000,12.905000,12.265200,12929485,reg
2025-07-21T00:00:00Z,12.460000,11.250000,12.470000,11.200000,12916398,reg
2025-07-22T00:00:00Z,11.220000,11.280000,11.390000,10.722000,6668733,reg
2025-07-23T00:00:00Z,11.420000,13.370000,13.430000,11.410000,21006214,reg
2025-07-24T00:00:00Z,13.085000,12.790000,13.600000,12.560000,9097353,reg
2025-07-25T00:00:00Z,12.720000,12.820000,12.925000,12.180000,5981105,reg
2025-07-28T00:00:00Z,13.285000,12.830000,13.700000,12.630000,6369852,reg
2025-07-29T00:00:00Z,12.850000,11.750000,12.890000,11.690000,7418941,reg
2025-07-30T00:00:00Z,11.810000,11.550000,11.968000,11.210000,6135088,reg
2025-07-31T00:00:00Z,11.575000,11.160000,11.770000,11.110000,5882269,reg
2025-08-01T00:00:00Z,10.600000,10.610000,10.910000,10.300000,6252660,reg
2025-08-04T00:00:00Z,10.860000,11.200000,11.215000,10.620000,4911915,reg
2025-08-05T00:00:00Z,11.425000,11.470000,11.735000,11.140000,6000922,reg
2025-08-06T00:00:00Z,11.400000,10.500000,11.435000,10.450000,8325617,reg
2025-08-07T00:00:00Z,10.040000,10.050000,11.120000,9.871200,10563005,reg
2025-08-08T00:00:00Z,10.240000,9.810000,10.600000,9.690000,8967626,reg
2025-08-11T00:00:00Z,9.850000,10.150000,10.410000,9.702500,6742653,reg
2025-08-12T00:00:00Z,10.250000,10.460000,10.500000,10.072400,4405667,reg
2025-08-13T00:00:00Z,10.600000,10.490000,10.740000,10.140000,4943650,reg
2025-08-14T00:00:00Z,9.290000,8.990000,9.410000,8.830000,38992275,reg
2025-08-15T00:00:00Z,9.040000,9.085000,9.200000,8.730000,12492372,reg
2025-08-18T00:00:00Z,9.080000,9.080000,9.470000,8.980000,9432432,reg
2025-08-19T00:00:00Z,9.080000,8.690000,9.190000,8.640000,9037696,reg
2025-08-20T00:00:00Z,8.580000,8.650000,8.720000,8.300000,6357310,reg
2025-08-21T00:00:00Z,8.650000,8.640000,8.710000,8.500000,3525112,reg
2025-08-22T00:00:00Z,8.640000,8.965000,9.140000,8.520000,6227601,reg
2025-08-25T00:00:00Z,8.900000,8.860000,9.210000,8.740000,7387792,reg
2025-08-26T00:00:00Z,8.820000,8.910000,9.085000,8.760000,4461113,reg
2025-08-27T00:00:00Z,8.930000,8.990000,9.100000,8.841000,6626275,reg
2025-08-28T00:00:00Z,9.040000,8.900000,9.115000,8.860000,4136289,reg
2025-08-29T00:00:00Z,8.910000,8.770000,9.011200,8.660000,4890842,reg
2025-09-02T00:00:00Z,8.470000,8.710000,8.750000,8.355000,4335322,reg
2025-09-03T00:00:00Z,8.710000,8.460000,8.788100,8.370000,4870130,reg
2025-09-04T00:00:00Z,8.450000,8.420000,8.570000,8.330000,3468265,reg
2025-09-05T00:00:00Z,8.570000,8.490000,8.740000,8.333100,5704695,reg
2025-09-08T00:00:00Z,8.495000,8.440000,8.625000,8.258800,4271871,reg
2025-09-09T00:00:00Z,8.410000,8.410000,8.500000,8.300000,3431446,reg
2025-09-10T00:00:00Z,8.470000,8.300000,8.570000,8.190000,4836746,reg
2025-09-11T00:00:00Z,8.280000,8.520000,8.660000,8.210000,4568068,reg
2025-09-12T00:00:00Z,8.500000,8.780000,8.940000,8.455000,4628078,reg
2025-09-15T00:00:00Z,9.125000,9.040000,9.415000,8.840000,8779106,reg
2025-09-16T00:00:00Z,9.000000,9.150000,9.210000,8.725000,4803616,reg
2025-09-17T00:00:00Z,9.080000,9.280000,9.600000,8.995000,7095138,reg
2025-09-18T00:00:00Z,9.500000,9.580000,9.760000,9.420000,7806558,reg
2025-09-19T00:00:00Z,9.700000,9.710000,9.977100,9.520000,8423449,reg
2025-09-22T00:00:00Z,9.560000,10.130000,10.160000,9.330000,9954521,reg
2025-09-23T00:00:00Z,10.330000,10.360000,10.800000,10.050000,10710565,reg
2025-09-24T00:00:00Z,10.500000,9.990000,10.710000,9.960000,7628449,reg
2025-09-25T00:00:00Z,9.640000,10.100000,10.410000,9.445000,7625353,reg
2025-09-26T00:00:00Z,10.030000,10.080000,10.550000,10.000000,5290701,reg
2025-09-29T00:00:00Z,10.220000,10.260000,10.565000,9.970000,6189625,reg
2025-09-30T00:00:00Z,10.200000,10.520000,10.550000,10.000000,5305081,reg
2025-10-01T00:00:00Z,10.575000,10.610000,11.170000,10.480000,8223839,reg
2025-10-02T00:00:00Z,10.860000,11.220000,11.430000,10.750000,9797348,reg
2025-10-03T00:00:00Z,11.490000,11.440000,11.670000,11.150000,7110568,reg
2025-10-06T00:00:00Z,11.660000,11.980000,12.410000,11.600000,10824829,reg
2025-10-07T00:00:00Z,12.120000,11.790000,12.530000,11.510000,8190020,reg
2025-10-08T00:00:00Z,12.000000,12.480000,12.929900,11.940000,12047947,reg
2025-10-09T00:00:00Z,12.475000,12.740000,13.030000,12.230000,8714957,reg
2025-10-10T00:00:00Z,12.915000,12.230000,13.900000,12.190000,16279729,reg
2025-10-13T00:00:00Z,12.610000,12.250000,12.960000,12.030000,8042397,reg
2025-10-14T00:00:00Z,11.930000,13.850000,14.480000,11.365000,18096367,reg
2025-10-15T00:00:00Z,14.020000,12.880000,14.480000,12.450000,15277062,reg
2025-10-16T00:00:00Z,13.090000,11.830000,13.154800,11.800000,8201761,reg
2025-10-17T00:00:00Z,12.320000,12.400000,12.630000,12.050000,11132077,reg
2025-10-20T00:00:00Z,12.840000,12.890000,13.490000,12.645000,7503678,reg
2025-10-21T00:00:00Z,12.780000,12.680000,13.380000,12.490000,5862708,reg
2025-10-22T00:00:00Z,12.500000,11.350000,12.529900,10.820000,11122027,reg
2025-10-23T00:00:00Z,11.465000,12.290000,12.330000,11.320000,5151960,reg
2025-10-24T00:00:00Z,12.540000,12.810000,13.360000,12.480000,7769451,reg
2025-10-27T00:00:00Z,13.300000,12.790000,13.400000,12.775000,4272226,reg
2025-10-28T00:00:00Z,12.800000,12.350000,13.030000,12.210000,3831697,reg
2025-10-29T00:00:00Z,12.220000,12.020000,12.510000,11.890000,4995405,reg
2025-10-30T00:00:00Z,11.750000,11.370000,11.960500,11.330000,6272357,reg
2025-10-31T00:00:00Z,11.740000,11.930000,12.030000,11.530100,4947764,reg
2025-11-03T00:00:00Z,12.250000,11.580000,12.740000,11.380000,6546721,reg
2025-11-04T00:00:00Z,11.015000,10.400000,11.378800,10.150000,8306419,reg
2025-11-05T00:00:00Z,10.660000,10.440000,10.760000,10.070000,6301603,reg
2025-11-06T00:00:00Z,10.170000,9.560000,10.340000,9.540000,7047215,reg
2025-11-07T00:00:00Z,9.340000,9.590000,9.660000,8.935000,8759141,reg
2025-11-10T00:00:00Z,9.970000,9.870000,10.130000,9.580000,5666221,reg
2025-11-11T00:00:00Z,9.820000,9.440000,9.820000,9.405000,3936917,reg
2025-11-12T00:00:00Z,9.500000,9.340000,9.590000,9.030000,5278818,reg
2025-11-13T00:00:00Z,9.360000,8.660000,9.380100,8.590000,6409869,reg
2025-11-14T00:00:00Z,8.480000,9.530000,9.650000,8.370000,10528836,reg
2025-11-17T00:00:00Z,9.290000,8.730000,9.499900,8.560000,8015190,reg
2025-11-18T00:00:00Z,8.770000,9.220000,9.596100,8.650000,6281517,reg
2025-11-19T00:00:00Z,9.250000,8.765000,9.605000,8.680000,5874744,reg
2025-11-20T00:00:00Z,9.190000,8.050000,9.430000,8.030000,7703090,reg
2025-11-21T00:00:00Z,8.125000,8.620000,8.665000,7.780000,8820807,reg
2025-11-24T00:00:00Z,8.650000,9.000000,9.015000,8.510000,4464426,reg
2025-11-25T00:00:00Z,8.930000,9.390000,9.435000,8.681200,4863780,reg
2025-11-26T00:00:00Z,9.450000,9.290000,9.680000,9.240000,4231870,reg
2025-11-28T00:00:00Z,9.385000,9.500000,9.590000,9.320000,2212474,reg
2025-12-01T00:00:00Z,9.210000,9.260000,9.460000,9.010000,3894802,reg
2025-12-02T00:00:00Z,9.310000,9.420000,9.690000,9.250000,4279511,reg
2025-12-03T00:00:00Z,9.430000,10.200000,10.235000,9.242000,5656173,reg
2025-12-04T00:00:00Z,10.260000,11.400000,11.690000,10.160000,8505693,reg
