begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-16T00:00:00Z,37.390000,37.410000,37.600000,36.772600,8705762,reg
2025-07-17T00:00:00Z,37.625000,36.470000,37.960000,36.300000,15297247,reg
2025-07-18T00:00:00Z,36.650000,36.510000,36.760000,36.180100,8191296,reg
2025-07-21T00:00:00Z,36.600000,36.860000,37.280000,36.560000,9189211,reg
2025-07-22T00:00:00Z,36.850000,37.170000,37.425000,36.850000,10725264,reg
2025-07-23T00:00:00Z,37.550000,37.440000,37.845000,37.355000,12692511,reg
2025-07-24T00:00:00Z,36.095000,33.260000,36.250000,32.400000,44107108,reg
2025-07-25T00:00:00Z,33.350000,33.210000,33.389300,32.620000,16999774,reg
2025-07-28T00:00:00Z,33.000000,32.520000,33.060000,32.120000,15894435,reg
2025-07-29T00:00:00Z,32.650000,31.100000,32.835000,31.090000,13281741,reg
2025-07-30T00:00:00Z,31.360000,30.710000,31.360000,30.450000,11884163,reg
2025-07-31T00:00:00Z,30.500000,30.930000,31.290000,30.370000,13500807,reg
2025-08-01T00:00:00Z,30.280000,29.800000,30.310000,29.340000,12572454,reg
2025-08-04T00:00:00Z,29.980000,29.750000,30.180000,29.610000,7020340,reg
2025-08-05T00:00:00Z,29.850000,29.920000,30.230000,29.535000,9324548,reg
2025-08-06T00:00:00Z,29.930000,29.710000,30.235000,29.560000,8835964,reg
2025-08-07T00:00:00Z,29.930000,29.560000,30.070000,29.360000,6313341,reg
2025-08-08T00:00:00Z,29.940000,29.620000,30.005000,29.500000,7085985,reg
2025-08-11T00:00:00Z,29.600000,29.060000,29.930000,28.975000,7961236,reg
2025-08-12T00:00:00Z,29.380000,30.720000,30.880000,29.330000,12198059,reg
2025-08-13T00:00:00Z,30.630000,30.970000,31.150000,30.400000,7876999,reg
2025-08-14T00:00:00Z,30.520000,30.700000,30.820000,30.220000,5812660,reg
2025-08-15T00:00:00Z,30.870000,31.500000,31.765000,30.750000,7885009,reg
2025-08-18T00:00:00Z,31.340000,31.310000,31.417000,31.020000,8090712,reg
2025-08-19T00:00:00Z,31.350000,31.590000,31.715000,31.220000,5219585,reg
2025-08-20T00:00:00Z,31.230000,31.180000,31.660000,31.100000,5369024,reg
2025-08-21T00:00:00Z,31.000000,31.070000,31.110000,30.550000,4871933,reg
2025-08-22T00:00:00Z,31.220000,32.770000,32.870000,31.220000,8447662,reg
2025-08-25T00:00:00Z,32.420000,32.520000,32.790000,32.420000,7783342,reg
2025-08-26T00:00:00Z,32.530000,33.400000,33.510000,32.495000,8181781,reg
2025-08-27T00:00:00Z,33.370000,33.190000,33.640000,33.025000,5190223,reg
2025-08-28T00:00:00Z,33.350000,32.980000,33.350000,32.545000,5208309,reg
2025-08-29T00:00:00Z,33.020000,32.900000,33.070000,32.630000,3665964,reg
2025-09-02T00:00:00Z,32.320000,32.250000,32.940000,31.705000,7200609,reg
2025-09-03T00:00:00Z,32.160000,32.330000,33.350000,32.120000,4370099,reg
2025-09-04T00:00:00Z,32.370000,31.120000,32.680000,30.900000,10494937,reg
2025-09-05T00:00:00Z,31.230000,31.390000,31.860000,30.990000,8027905,reg
2025-09-08T00:00:00Z,31.270000,31.710000,31.855000,31.195000,9332548,reg
2025-09-09T00:00:00Z,31.610000,30.990000,31.680000,30.635000,6896149,reg
2025-09-10T00:00:00Z,30.810000,31.110000,31.425000,30.575000,7513559,reg
2025-09-11T00:00:00Z,31.350000,31.720000,31.840000,30.600000,11511910,reg
2025-09-12T00:00:00Z,31.870000,31.660000,32.455000,31.540000,10397651,reg
2025-09-15T00:00:00Z,31.760000,31.430000,31.790000,31.190000,8911023,reg
2025-09-16T00:00:00Z,31.510000,31.570000,31.705700,30.710000,8162187,reg
2025-09-17T00:00:00Z,31.740000,32.120000,32.625000,31.560000,10892480,reg
2025-09-18T00:00:00Z,32.200000,32.270000,32.400000,31.640000,9021344,reg
2025-09-19T00:00:00Z,32.485000,32.520000,32.750000,31.980000,22411196,reg
2025-09-22T00:00:00Z,32.250000,32.300000,32.450000,31.910000,10781555,reg
2025-09-23T00:00:00Z,32.250000,33.340000,33.410000,32.235000,12691387,reg
2025-09-24T00:00:00Z,33.380000,33.060000,33.900000,32.965000,8455144,reg
2025-09-25T00:00:00Z,32.875000,31.930000,32.875000,31.655000,9892721,reg
2025-09-26T00:00:00Z,32.140000,32.530000,32.605000,32.000000,6825040,reg
2025-09-29T00:00:00Z,32.760000,32.760000,33.060000,32.405000,9139354,reg
2025-09-30T00:00:00Z,32.830000,31.910000,32.890000,30.765000,10283395,reg
2025-10-01T00:00:00Z,31.990000,32.280000,32.547500,31.810000,8546790,reg
2025-10-02T00:00:00Z,32.280000,32.310000,32.575000,31.835000,7439164,reg
2025-10-03T00:00:00Z,32.750000,32.520000,33.485000,32.510000,9214128,reg
2025-10-06T00:00:00Z,32.540000,32.580000,32.709800,31.770000,6908523,reg
2025-10-07T00:00:00Z,32.570000,32.390000,32.755000,32.093000,8065890,reg
2025-10-08T00:00:00Z,32.660000,32.450000,32.700000,32.110000,7689060,reg
2025-10-09T00:00:00Z,33.530000,31.680000,33.730000,31.470000,10590263,reg
2025-10-10T00:00:00Z,31.850000,31.290000,32.630000,31.055000,7987373,reg
2025-10-13T00:00:00Z,31.730000,31.900000,32.320000,31.555000,4892675,reg
2025-10-14T00:00:00Z,31.520000,33.420000,33.625000,31.420000,11028910,reg
2025-10-15T00:00:00Z,33.750000,33.560000,33.880000,33.250000,7429138,reg
2025-10-16T00:00:00Z,33.670000,33.290000,34.050000,32.840000,11017205,reg
2025-10-17T00:00:00Z,33.230000,33.520000,33.795000,33.190000,8264447,reg
2025-10-20T00:00:00Z,33.780000,34.430000,34.665000,33.604600,7636047,reg
2025-10-21T00:00:00Z,34.120000,34.680000,34.975000,34.060000,9404988,reg
2025-10-22T00:00:00Z,34.360000,33.760000,34.750000,33.430000,10576371,reg
2025-10-23T00:00:00Z,32.820000,31.650000,33.150000,31.020000,27807764,reg
2025-10-24T00:00:00Z,32.050000,32.200000,32.430000,31.380000,15189625,reg
2025-10-27T00:00:00Z,32.460000,32.250000,32.740000,31.865000,9621299,reg
2025-10-28T00:00:00Z,32.150000,31.090000,32.175000,31.025000,11384729,reg
2025-10-29T00:00:00Z,31.020000,30.660000,31.130000,30.455000,10919926,reg
2025-10-30T00:00:00Z,30.490000,30.090000,30.770000,30.050000,6580197,reg
2025-10-31T00:00:00Z,30.000000,30.300000,30.390000,29.915000,8462531,reg
2025-11-03T00:00:00Z,30.160000,30.430000,30.755000,29.750000,8815222,reg
2025-11-04T00:00:00Z,30.030000,29.670000,30.170000,29.260000,12954872,reg
2025-11-05T00:00:00Z,29.800000,31.620000,31.649900,29.800000,9061848,reg
2025-11-06T00:00:00Z,31.590000,31.510000,31.970000,31.045000,7749469,reg
2025-11-07T00:00:00Z,31.160000,32.450000,32.470000,30.845000,8647060,reg
2025-11-10T00:00:00Z,32.750000,32.660000,33.580000,32.470100,7819065,reg
2025-11-11T00:00:00Z,32.800000,31.990000,32.800000,31.790000,7650915,reg
2025-11-12T00:00:00Z,32.030000,33.340000,33.480000,32.030000,8948825,reg
2025-11-13T00:00:00Z,33.240000,33.040000,33.800000,32.865000,7849494,reg
2025-11-14T00:00:00Z,32.550000,32.820000,33.075000,32.420000,7673605,reg
2025-11-17T00:00:00Z,32.800000,31.850000,32.830000,31.570000,5773663,reg
2025-11-18T00:00:00Z,31.660000,31.960000,32.260000,31.530000,7093425,reg
2025-11-19T00:00:00Z,32.350000,31.920000,32.970000,31.780000,5614426,reg
2025-11-20T00:00:00Z,32.370000,31.160000,32.660000,31.150000,7805986,reg
2025-11-21T00:00:00Z,31.520000,32.800000,33.240000,31.310000,7111398,reg
2025-11-24T00:00:00Z,33.020000,33.280000,33.430000,32.790000,6136593,reg
2025-11-25T00:00:00Z,33.300000,34.360000,34.730000,33.030000,7179071,reg
