begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,12.040000,12.000000,12.140000,11.870000,5368835,reg
2025-07-18T00:00:00Z,12.080000,11.950000,12.120000,11.800000,5667344,reg
2025-07-21T00:00:00Z,12.010000,12.210000,12.300000,11.980000,6120118,reg
2025-07-22T00:00:00Z,12.840000,13.010000,13.480000,12.550000,17316467,reg
2025-07-23T00:00:00Z,13.200000,12.780000,13.270000,12.710000,9053143,reg
2025-07-24T00:00:00Z,12.750000,12.700000,13.045000,12.650000,5875318,reg
2025-07-25T00:00:00Z,12.740000,13.080000,13.160000,12.720000,6730629,reg
2025-07-28T00:00:00Z,13.250000,13.720000,13.740000,13.205000,10619068,reg
2025-07-29T00:00:00Z,13.710000,13.310000,13.770000,13.200000,6995852,reg
2025-07-30T00:00:00Z,13.290000,13.020000,13.420000,12.865000,5585200,reg
2025-07-31T00:00:00Z,12.870000,12.630000,13.090000,12.450000,7485230,reg
2025-08-01T00:00:00Z,12.310000,12.360000,12.395000,12.055000,6583774,reg
2025-08-04T00:00:00Z,12.360000,11.900000,12.405000,11.890000,8576345,reg
2025-08-05T00:00:00Z,12.010000,12.000000,12.170000,11.770000,9458599,reg
2025-08-06T00:00:00Z,12.070000,12.110000,12.280000,11.980000,5858019,reg
2025-08-07T00:00:00Z,12.290000,12.110000,12.339900,11.955000,6172648,reg
2025-08-08T00:00:00Z,12.090000,12.080000,12.130000,11.885000,4379411,reg
2025-08-11T00:00:00Z,12.160000,12.110000,12.255000,12.020000,5723125,reg
2025-08-12T00:00:00Z,12.340000,12.730000,12.820000,12.290100,11336345,reg
2025-08-13T00:00:00Z,12.730000,13.210000,13.275000,12.660000,6096981,reg
2025-08-14T00:00:00Z,12.950000,12.960000,13.075000,12.765000,4509445,reg
2025-08-15T00:00:00Z,12.970000,12.810000,13.133700,12.650000,4760036,reg
2025-08-18T00:00:00Z,12.860000,13.270000,13.300000,12.770000,6997809,reg
2025-08-19T00:00:00Z,13.350000,13.040000,13.400000,12.960000,4330583,reg
2025-08-20T00:00:00Z,12.880000,12.880000,13.010000,12.764900,5099955,reg
2025-08-21T00:00:00Z,12.760000,12.940000,12.950000,12.662800,4840071,reg
2025-08-22T00:00:00Z,12.990000,13.580000,13.580000,12.940000,6803656,reg
2025-08-25T00:00:00Z,13.500000,13.270000,13.540000,13.140000,4967927,reg
2025-08-26T00:00:00Z,13.330000,13.360000,13.648500,13.235000,7884687,reg
2025-08-27T00:00:00Z,13.800000,13.600000,13.800000,13.425000,9247340,reg
2025-08-28T00:00:00Z,13.620000,13.360000,13.690000,13.205000,9026113,reg
2025-08-29T00:00:00Z,13.370000,13.230000,13.485000,13.180000,8374489,reg
2025-09-02T00:00:00Z,13.150000,13.490000,13.530000,13.090000,13292614,reg
2025-09-03T00:00:00Z,15.430000,16.280000,16.430000,15.300000,48533558,reg
2025-09-04T00:00:00Z,16.370000,17.240000,17.300000,16.000000,26119176,reg
2025-09-05T00:00:00Z,17.250000,17.330000,17.560000,17.030000,18331539,reg
2025-09-08T00:00:00Z,17.660000,17.090000,17.660000,16.856300,11669249,reg
2025-09-09T00:00:00Z,17.160000,17.210000,17.330000,16.840000,11136994,reg
2025-09-10T00:00:00Z,17.000000,17.040000,17.205000,16.840000,10139036,reg
2025-09-11T00:00:00Z,17.100000,17.460000,17.620000,17.065000,9333985,reg
2025-09-12T00:00:00Z,17.410000,16.950000,17.440000,16.920000,11828827,reg
2025-09-15T00:00:00Z,16.810000,17.440000,17.460000,16.540000,8823153,reg
2025-09-16T00:00:00Z,17.450000,17.430000,17.610000,17.240500,7321075,reg
2025-09-17T00:00:00Z,17.520000,17.400000,17.830000,17.280000,8727544,reg
2025-09-18T00:00:00Z,17.510000,17.610000,17.870000,17.465000,6833201,reg
2025-09-19T00:00:00Z,17.590000,17.550000,17.900000,17.335000,10508014,reg
2025-09-22T00:00:00Z,17.530000,16.890000,17.530000,16.850000,10739067,reg
2025-09-23T00:00:00Z,17.000000,17.130000,17.335000,16.905000,7382064,reg
2025-09-24T00:00:00Z,17.130000,17.380000,17.487600,17.050000,12573084,reg
