begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,47.190000,44.360000,47.335000,42.810000,3000748,reg
2025-07-18T00:00:00Z,44.520000,43.250000,44.840000,43.030000,1183716,reg
2025-07-21T00:00:00Z,43.490000,42.120000,43.650000,42.105000,1041080,reg
2025-07-22T00:00:00Z,42.410000,44.460000,44.490000,42.220000,1010292,reg
2025-07-23T00:00:00Z,45.070000,45.070000,45.420200,44.180000,757883,reg
2025-07-24T00:00:00Z,44.980000,44.760000,45.230000,44.220000,764618,reg
2025-07-25T00:00:00Z,44.900000,45.700000,45.740000,44.590000,833699,reg
2025-07-28T00:00:00Z,45.550000,45.180000,45.910000,44.910000,875073,reg
2025-07-29T00:00:00Z,44.990000,44.030000,45.390000,43.660000,1047985,reg
2025-07-30T00:00:00Z,44.380000,42.470000,44.480000,42.040000,736804,reg
2025-07-31T00:00:00Z,41.730000,41.250000,42.500000,41.115000,1550145,reg
2025-08-01T00:00:00Z,40.890000,39.250000,41.150000,39.010000,1013048,reg
2025-08-04T00:00:00Z,39.280000,38.660000,39.730000,38.520000,909259,reg
2025-08-05T00:00:00Z,38.920000,39.250000,39.708500,38.510000,782845,reg
2025-08-06T00:00:00Z,39.480000,38.400000,39.620000,37.970000,1026654,reg
2025-08-07T00:00:00Z,38.860000,39.430000,39.580000,38.810000,796637,reg
2025-08-08T00:00:00Z,39.700000,40.480000,40.850000,39.410000,718628,reg
2025-08-11T00:00:00Z,40.460000,39.760000,40.840000,39.120000,774450,reg
2025-08-12T00:00:00Z,39.930000,39.750000,40.480000,39.375000,876463,reg
2025-08-13T00:00:00Z,39.930000,41.770000,41.780000,39.810000,787473,reg
2025-08-14T00:00:00Z,40.920000,41.190000,41.400000,40.570000,434651,reg
2025-08-15T00:00:00Z,41.430000,41.270000,41.670000,40.790000,706119,reg
2025-08-18T00:00:00Z,41.300000,41.240000,41.520000,40.990000,940717,reg
2025-08-19T00:00:00Z,41.620000,42.210000,42.610000,41.370000,774898,reg
2025-08-20T00:00:00Z,42.300000,42.150000,42.820000,41.800000,674433,reg
2025-08-21T00:00:00Z,41.650000,41.690000,42.135000,41.300000,610641,reg
2025-08-22T00:00:00Z,42.010000,44.420000,44.420000,41.985000,599611,reg
2025-08-25T00:00:00Z,44.370000,44.160000,44.620000,43.960000,625890,reg
2025-08-26T00:00:00Z,43.900000,41.040000,44.400000,40.910000,1381605,reg
2025-08-27T00:00:00Z,40.840000,41.830000,41.930000,40.700000,856261,reg
2025-08-28T00:00:00Z,42.170000,41.310000,42.170000,40.840000,486148,reg
2025-08-29T00:00:00Z,41.420000,42.400000,42.520000,41.290000,651438,reg
2025-09-02T00:00:00Z,41.800000,41.220000,42.210000,40.540000,837999,reg
2025-09-03T00:00:00Z,41.070000,40.840000,41.650000,40.560000,475325,reg
2025-09-04T00:00:00Z,40.840000,41.310000,41.320000,40.410000,606296,reg
2025-09-05T00:00:00Z,41.520000,41.260000,42.370000,41.105000,786499,reg
2025-09-08T00:00:00Z,41.100000,38.490000,41.220000,38.120000,1583726,reg
2025-09-09T00:00:00Z,38.400000,38.440000,39.260000,38.310000,1014243,reg
2025-09-10T00:00:00Z,38.040000,37.900000,38.590000,37.570000,1118029,reg
2025-09-11T00:00:00Z,38.120000,39.580000,39.600000,37.820000,1011739,reg
2025-09-12T00:00:00Z,39.690000,38.390000,39.690000,38.390000,885635,reg
2025-09-15T00:00:00Z,38.800000,38.140000,38.930000,38.045000,780833,reg
2025-09-16T00:00:00Z,38.180000,38.280000,38.470000,37.570000,883580,reg
2025-09-17T00:00:00Z,38.280000,37.790000,39.440000,37.520000,737458,reg
2025-09-18T00:00:00Z,38.270000,38.070000,38.300000,37.650000,876294,reg
