begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,12.430000,12.195000,12.875700,12.020100,239822,reg
2025-07-18T00:00:00Z,12.340000,11.750000,13.164000,11.560000,273419,reg
2025-07-21T00:00:00Z,11.830000,12.190000,13.120000,11.725000,365294,reg
2025-07-22T00:00:00Z,12.220000,11.700000,12.660000,11.630000,385477,reg
2025-07-23T00:00:00Z,11.840000,13.680000,13.785100,11.710000,744235,reg
2025-07-24T00:00:00Z,13.570000,13.030000,14.200000,12.940000,523616,reg
2025-07-25T00:00:00Z,12.910000,14.570000,15.920000,12.325000,936754,reg
2025-07-28T00:00:00Z,14.920000,14.550000,15.121100,13.810000,619334,reg
2025-07-29T00:00:00Z,14.750000,14.960000,15.210000,14.020000,417667,reg
2025-07-30T00:00:00Z,14.970000,15.490000,15.940000,14.601000,857832,reg
2025-07-31T00:00:00Z,15.370000,13.250000,15.890000,13.079400,801235,reg
2025-08-01T00:00:00Z,12.970000,13.750000,13.920000,12.550000,513172,reg
2025-08-04T00:00:00Z,13.820000,12.540000,13.890000,12.267300,323658,reg
2025-08-05T00:00:00Z,13.160000,11.950000,13.815000,11.910000,399912,reg
2025-08-06T00:00:00Z,11.870000,11.670000,11.900000,11.240000,428333,reg
2025-08-07T00:00:00Z,11.870000,11.130000,12.110000,10.940000,327254,reg
2025-08-08T00:00:00Z,11.190000,12.160000,12.640000,10.110400,690301,reg
2025-08-11T00:00:00Z,12.170000,11.260000,12.200000,10.820000,335988,reg
2025-08-12T00:00:00Z,11.340000,12.530000,12.620000,11.340000,293739,reg
2025-08-13T00:00:00Z,12.710000,12.950000,14.280000,12.481200,617570,reg
2025-08-14T00:00:00Z,12.740000,13.210000,13.590000,12.370000,342273,reg
2025-08-15T00:00:00Z,13.900000,14.715000,15.150000,13.040000,577756,reg
2025-08-18T00:00:00Z,14.590000,14.570000,14.940000,13.650000,369178,reg
2025-08-19T00:00:00Z,14.570000,13.320000,14.716800,13.320000,299842,reg
2025-08-20T00:00:00Z,13.050000,13.630000,13.750000,12.860000,360657,reg
2025-08-21T00:00:00Z,13.510000,14.150000,14.230000,12.980000,227201,reg
2025-08-22T00:00:00Z,14.350000,14.330000,15.040000,13.915000,280077,reg
2025-08-25T00:00:00Z,14.260000,13.890000,14.300000,13.630000,148478,reg
2025-08-26T00:00:00Z,14.110000,15.370000,15.465000,13.990000,267599,reg
2025-08-27T00:00:00Z,15.390000,14.310000,15.390000,14.000000,242399,reg
2025-08-28T00:00:00Z,14.310000,14.270000,14.990000,14.000000,172872,reg
2025-08-29T00:00:00Z,14.420000,15.090000,15.175000,13.850000,154166,reg
2025-09-02T00:00:00Z,15.080000,14.570000,15.190000,13.800000,368188,reg
2025-09-03T00:00:00Z,14.570000,14.400000,15.100000,14.355000,215057,reg
2025-09-04T00:00:00Z,14.410000,12.920000,14.950000,12.760000,315607,reg
2025-09-05T00:00:00Z,12.940000,11.550000,13.200000,10.713200,526066,reg
2025-09-08T00:00:00Z,11.650000,10.900000,11.870000,10.760000,482991,reg
2025-09-09T00:00:00Z,10.930000,11.420000,11.460000,10.612400,305408,reg
2025-09-10T00:00:00Z,11.400000,10.260000,11.700000,10.225000,549312,reg
2025-09-11T00:00:00Z,10.310000,9.930000,10.460000,9.865000,330287,reg
2025-09-12T00:00:00Z,10.010000,10.830000,11.440000,9.630000,684563,reg
2025-09-15T00:00:00Z,10.770000,10.870000,11.190000,10.330000,392343,reg
2025-09-16T00:00:00Z,10.830000,9.745000,10.860000,9.710000,466430,reg
2025-09-17T00:00:00Z,9.640000,9.940000,10.740000,9.640000,639673,reg
2025-09-18T00:00:00Z,10.000000,10.070000,10.460000,9.950000,376271,reg
2025-09-19T00:00:00Z,10.150000,10.000000,10.280000,9.665000,1649364,reg
2025-09-22T00:00:00Z,22.400000,20.000000,26.470000,17.760000,28303510,reg
2025-09-23T00:00:00Z,19.990000,18.960000,21.292600,18.550000,2756184,reg
2025-09-24T00:00:00Z,19.740000,20.100000,20.450000,17.900000,2520598,reg
2025-09-25T00:00:00Z,17.600000,17.330000,18.300000,16.890000,5627271,reg
2025-09-26T00:00:00Z,17.050000,17.510000,18.450000,16.900000,2143365,reg
2025-09-29T00:00:00Z,17.690000,17.940000,18.290000,17.500000,993047,reg
2025-09-30T00:00:00Z,17.940000,17.500000,18.145000,16.950000,933013,reg
2025-10-01T00:00:00Z,18.120000,17.900000,18.290000,17.570000,947101,reg
2025-10-02T00:00:00Z,17.910000,16.750000,18.210000,16.660000,797312,reg
2025-10-03T00:00:00Z,16.750000,16.690000,17.676300,16.430000,1678292,reg
2025-10-06T00:00:00Z,16.805000,16.260000,16.900000,16.000000,1062766,reg
2025-10-07T00:00:00Z,16.270000,15.800000,16.740000,15.500000,993079,reg
2025-10-08T00:00:00Z,15.800000,15.860000,16.520000,15.710000,1196342,reg
2025-10-09T00:00:00Z,15.970000,15.860000,16.190000,15.500000,473915,reg
2025-10-10T00:00:00Z,15.860000,14.910000,16.010000,14.800000,634905,reg
2025-10-13T00:00:00Z,15.150000,14.500000,15.320000,14.480000,522195,reg
2025-10-14T00:00:00Z,14.250000,13.520000,14.440000,13.430000,1607133,reg
2025-10-15T00:00:00Z,14.130000,13.950000,14.439900,13.670000,1274440,reg
2025-10-16T00:00:00Z,14.000000,13.770000,14.450000,13.170000,603405,reg
2025-10-17T00:00:00Z,13.580000,13.220000,13.714800,12.940000,682269,reg
2025-10-20T00:00:00Z,13.320000,14.230000,14.280000,13.220000,851388,reg
2025-10-21T00:00:00Z,14.810000,15.310000,15.330000,14.260000,1156107,reg
2025-10-22T00:00:00Z,15.720000,14.780000,15.980000,14.630000,695655,reg
2025-10-23T00:00:00Z,14.780000,16.130000,16.490000,14.610000,867069,reg
2025-10-24T00:00:00Z,16.200000,17.000000,17.030000,15.960000,659355,reg
2025-10-27T00:00:00Z,17.130000,17.440000,17.805000,16.910000,773795,reg
2025-10-28T00:00:00Z,17.430000,17.960000,18.735000,16.950100,827586,reg
2025-10-29T00:00:00Z,18.100000,19.520000,19.860000,17.924500,1367557,reg
2025-10-30T00:00:00Z,20.030000,21.790000,22.531900,19.950000,2168921,reg
2025-10-31T00:00:00Z,21.250000,21.960000,22.330000,20.770000,1093638,reg
2025-11-03T00:00:00Z,21.960000,20.610000,22.400000,20.210000,693419,reg
2025-11-04T00:00:00Z,20.780000,20.620000,22.160000,20.270000,760143,reg
2025-11-05T00:00:00Z,20.700000,22.550000,22.700000,20.340000,654302,reg
2025-11-06T00:00:00Z,22.530000,24.740000,25.675400,22.360000,1289726,reg
2025-11-07T00:00:00Z,21.910000,25.570000,25.695000,21.900000,907706,reg
2025-11-10T00:00:00Z,26.200000,24.490000,26.200000,23.530000,870681,reg
2025-11-11T00:00:00Z,24.450000,24.910000,25.490000,23.926400,584466,reg
2025-11-12T00:00:00Z,24.940000,24.600000,25.660000,24.340000,538803,reg
2025-11-13T00:00:00Z,24.420000,24.070000,25.030000,23.610000,696009,reg
