begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,12.820000,12.840000,12.970000,12.680000,746443,reg
2025-07-18T00:00:00Z,12.860000,12.570000,12.860000,12.480000,543188,reg
2025-07-21T00:00:00Z,12.630000,12.640000,12.780000,12.500000,689135,reg
2025-07-22T00:00:00Z,12.720000,12.740000,13.070000,12.640000,607206,reg
2025-07-23T00:00:00Z,12.810000,13.110000,13.150000,12.720000,645572,reg
2025-07-24T00:00:00Z,12.980000,12.420000,13.100000,12.390000,704425,reg
2025-07-25T00:00:00Z,12.500000,12.570000,12.740000,12.390000,556785,reg
2025-07-28T00:00:00Z,12.500000,12.670000,12.710000,12.420000,521347,reg
2025-07-29T00:00:00Z,12.650000,12.670000,12.765000,12.570000,486962,reg
2025-07-30T00:00:00Z,12.600000,12.400000,12.695000,12.300000,529121,reg
2025-07-31T00:00:00Z,12.220000,12.250000,12.506800,12.161300,579423,reg
2025-08-01T00:00:00Z,12.140000,11.980000,12.235000,11.840000,572558,reg
2025-08-04T00:00:00Z,12.010000,12.300000,12.375000,11.900000,766721,reg
2025-08-05T00:00:00Z,13.570000,12.920000,13.833600,12.765000,1538067,reg
2025-08-06T00:00:00Z,13.010000,14.440000,14.560000,12.950000,2190199,reg
2025-08-07T00:00:00Z,14.470000,14.480000,14.530000,14.040100,1183518,reg
2025-08-08T00:00:00Z,14.580000,14.330000,14.725000,14.185000,1202160,reg
2025-08-11T00:00:00Z,14.310000,14.120000,14.530000,14.050000,744329,reg
2025-08-12T00:00:00Z,14.190000,14.720000,14.780000,14.190000,756924,reg
2025-08-13T00:00:00Z,14.900000,15.500000,15.630000,14.750000,837133,reg
2025-08-14T00:00:00Z,15.480000,15.540000,15.640000,15.270000,681451,reg
2025-08-15T00:00:00Z,15.670000,16.040000,16.120000,15.590000,1185306,reg
2025-08-18T00:00:00Z,16.040000,16.000000,16.300000,15.920000,658048,reg
2025-08-19T00:00:00Z,16.690000,16.490000,16.980000,16.415000,1019649,reg
2025-08-20T00:00:00Z,16.450000,16.270000,16.510000,16.250000,704196,reg
2025-08-21T00:00:00Z,16.230000,16.150000,16.500000,16.115000,427573,reg
2025-08-22T00:00:00Z,16.250000,17.010000,17.100000,16.250000,1202406,reg
2025-08-25T00:00:00Z,17.020000,17.060000,17.230000,16.935000,955878,reg
2025-08-26T00:00:00Z,16.940000,17.030000,17.200000,16.880000,811712,reg
2025-08-27T00:00:00Z,16.940000,17.180000,17.280000,16.940000,736570,reg
2025-08-28T00:00:00Z,17.200000,17.100000,17.240000,16.957400,810355,reg
2025-08-29T00:00:00Z,17.160000,17.210000,17.270000,17.020000,710110,reg
2025-09-02T00:00:00Z,17.000000,16.880000,17.070000,16.580000,890242,reg
2025-09-03T00:00:00Z,16.850000,16.610000,17.059900,16.590000,839513,reg
2025-09-04T00:00:00Z,16.660000,17.010000,17.020000,16.440000,753049,reg
2025-09-05T00:00:00Z,17.060000,17.070000,17.205000,16.785000,1045640,reg
2025-09-08T00:00:00Z,17.120000,16.950000,17.570000,16.940000,833968,reg
2025-09-09T00:00:00Z,16.940000,16.970000,17.130000,16.795000,671644,reg
2025-09-10T00:00:00Z,16.810000,16.570000,16.905000,16.505000,618881,reg
2025-09-11T00:00:00Z,16.680000,17.010000,17.060000,16.670000,610131,reg
2025-09-12T00:00:00Z,16.870000,16.640000,16.935000,16.610000,524924,reg
2025-09-15T00:00:00Z,16.590000,16.570000,16.770000,16.510000,573343,reg
2025-09-16T00:00:00Z,16.510000,16.130000,16.575000,16.060000,580381,reg
2025-09-17T00:00:00Z,16.250000,16.180000,16.590000,16.115000,554626,reg
2025-09-18T00:00:00Z,16.210000,16.590000,16.675000,16.150000,754118,reg
2025-09-19T00:00:00Z,16.650000,16.270000,16.680000,16.258100,1977300,reg
2025-09-22T00:00:00Z,16.320000,16.560000,16.560000,16.216700,628735,reg
2025-09-23T00:00:00Z,16.530000,16.480000,16.730000,16.470000,570884,reg
2025-09-24T00:00:00Z,16.400000,16.530000,16.660000,16.380000,390356,reg
2025-09-25T00:00:00Z,16.420000,16.340000,16.530000,16.150000,533890,reg
2025-09-26T00:00:00Z,16.400000,16.300000,16.440000,16.180000,554656,reg
2025-09-29T00:00:00Z,16.330000,16.220000,16.355300,16.110000,518943,reg
2025-09-30T00:00:00Z,16.230000,16.750000,16.770000,16.230000,738394,reg
2025-10-01T00:00:00Z,16.640000,17.000000,17.000000,16.520000,739810,reg
2025-10-02T00:00:00Z,16.960000,17.040000,17.120000,16.800000,909547,reg
2025-10-03T00:00:00Z,17.110000,17.500000,17.770000,17.110000,919663,reg
2025-10-06T00:00:00Z,17.390000,17.640000,17.700000,17.330000,951105,reg
2025-10-07T00:00:00Z,17.660000,17.600000,18.218000,17.580000,1043832,reg
2025-10-08T00:00:00Z,17.660000,17.130000,17.820000,16.850000,906452,reg
2025-10-09T00:00:00Z,17.000000,16.220000,17.070000,16.210000,669478,reg
2025-10-10T00:00:00Z,16.420000,15.800000,16.490000,15.695000,724485,reg
2025-10-13T00:00:00Z,16.020000,16.050000,16.230000,15.870000,648216,reg
2025-10-14T00:00:00Z,15.910000,16.090000,16.120000,15.820000,602487,reg
2025-10-15T00:00:00Z,16.180000,16.450000,16.460000,16.030000,603132,reg
2025-10-16T00:00:00Z,16.440000,16.200000,16.550000,16.140000,673026,reg
2025-10-17T00:00:00Z,16.110000,16.450000,16.625000,16.025000,549361,reg
2025-10-20T00:00:00Z,16.550000,16.880000,17.000000,16.470000,620584,reg
2025-10-21T00:00:00Z,16.880000,16.900000,17.030000,16.860000,502320,reg
2025-10-22T00:00:00Z,16.890000,17.120000,17.180000,16.820000,523143,reg
2025-10-23T00:00:00Z,17.010000,17.170000,17.250000,16.885000,444340,reg
2025-10-24T00:00:00Z,17.320000,17.600000,17.620000,17.220000,565332,reg
2025-10-27T00:00:00Z,17.590000,17.440000,17.816800,17.350000,621704,reg
2025-10-28T00:00:00Z,17.390000,17.840000,17.907500,17.340000,645749,reg
2025-10-29T00:00:00Z,17.860000,17.870000,18.110000,17.665000,805389,reg
2025-10-30T00:00:00Z,17.680000,17.390000,17.880000,17.185000,1413764,reg
2025-10-31T00:00:00Z,17.310000,16.970000,17.500000,16.900000,968126,reg
2025-11-03T00:00:00Z,19.520000,21.080000,21.240000,18.730000,2991819,reg
2025-11-04T00:00:00Z,21.080000,21.440000,22.380000,20.874500,2491024,reg
2025-11-05T00:00:00Z,21.615000,21.690000,22.300000,21.295000,1362230,reg
