begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,24.270000,24.270000,24.730000,24.140000,2683782,reg
2025-07-18T00:00:00Z,24.450000,24.480000,24.815000,24.170000,1848577,reg
2025-07-21T00:00:00Z,24.560000,24.420000,24.879400,24.230000,1727646,reg
2025-07-22T00:00:00Z,24.590000,23.100000,24.595000,22.905000,4369198,reg
2025-07-23T00:00:00Z,23.150000,22.550000,23.185000,22.140000,4565740,reg
2025-07-24T00:00:00Z,22.830000,22.950000,23.625000,22.740000,2763263,reg
2025-07-25T00:00:00Z,23.270000,23.520000,23.710000,23.185000,1900933,reg
2025-07-28T00:00:00Z,23.680000,23.580000,24.030000,23.480000,1814608,reg
2025-07-29T00:00:00Z,23.695000,22.440000,23.700000,22.410000,1804371,reg
2025-07-30T00:00:00Z,22.580000,22.810000,23.060000,22.460100,2298239,reg
2025-07-31T00:00:00Z,23.000000,23.010000,23.475000,22.700000,2308727,reg
2025-08-01T00:00:00Z,21.970000,22.190000,22.520000,21.400000,2310428,reg
2025-08-04T00:00:00Z,22.640000,22.680000,22.760000,22.360000,2158533,reg
2025-08-05T00:00:00Z,22.860000,22.370000,22.860000,22.110000,2572793,reg
2025-08-06T00:00:00Z,22.630000,22.480000,22.650000,22.160000,3440764,reg
2025-08-07T00:00:00Z,22.525000,21.750000,23.180000,20.720000,5401470,reg
2025-08-08T00:00:00Z,21.305000,22.470000,23.030000,20.950000,4302893,reg
2025-08-11T00:00:00Z,22.280000,22.090000,22.722000,21.960000,2499946,reg
2025-08-12T00:00:00Z,22.040000,22.260000,22.569900,21.780000,2221106,reg
2025-08-13T00:00:00Z,22.550000,22.840000,22.850000,21.985000,2242937,reg
2025-08-14T00:00:00Z,22.420000,23.590000,24.030000,22.230000,3809311,reg
2025-08-15T00:00:00Z,23.620000,23.700000,24.150000,23.220000,2904705,reg
2025-08-18T00:00:00Z,23.500000,24.320000,24.535000,23.300000,3345631,reg
2025-08-19T00:00:00Z,24.100000,21.840000,24.100000,21.820000,3220831,reg
2025-08-20T00:00:00Z,21.730000,21.840000,21.895000,21.030100,2427742,reg
2025-08-21T00:00:00Z,22.000000,22.520000,22.800000,21.910000,2207964,reg
2025-08-22T00:00:00Z,22.470000,24.160000,24.315000,22.330000,2630169,reg
2025-08-25T00:00:00Z,24.000000,25.330000,26.090000,23.970000,4890557,reg
2025-08-26T00:00:00Z,25.325000,25.140000,26.022500,25.060000,3428498,reg
2025-08-27T00:00:00Z,25.040000,25.570000,25.840000,25.040000,3320460,reg
2025-08-28T00:00:00Z,25.600000,26.520000,26.650000,25.600000,3582471,reg
2025-08-29T00:00:00Z,26.630000,25.950000,26.630000,25.650000,2851135,reg
2025-09-02T00:00:00Z,24.810000,25.565000,25.580000,23.680000,3221391,reg
2025-09-03T00:00:00Z,25.370000,24.540000,25.915600,24.505000,2783040,reg
2025-09-04T00:00:00Z,24.550000,24.850000,25.100000,24.200000,3461710,reg
2025-09-05T00:00:00Z,25.010000,24.850000,25.160000,24.050000,2438340,reg
2025-09-08T00:00:00Z,24.915000,25.350000,25.880000,24.891000,3544745,reg
2025-09-09T00:00:00Z,25.565000,24.390000,25.675000,24.370000,2848851,reg
2025-09-10T00:00:00Z,24.340000,23.890000,24.340000,22.620000,4507410,reg
2025-09-11T00:00:00Z,24.050000,24.140000,24.280000,23.345000,2024046,reg
2025-09-12T00:00:00Z,24.000000,23.870000,24.500000,23.645000,1808360,reg
2025-09-15T00:00:00Z,23.940000,23.730000,24.240000,23.330000,1953404,reg
2025-09-16T00:00:00Z,23.600000,23.070000,23.600000,22.230000,3981457,reg
2025-09-17T00:00:00Z,23.070000,23.850000,24.200000,22.560000,2710383,reg
2025-09-18T00:00:00Z,23.920000,23.880000,24.080000,23.410000,2003573,reg
2025-09-19T00:00:00Z,23.850000,25.920000,26.115000,23.603400,8334700,reg
2025-09-22T00:00:00Z,25.960000,24.160000,26.190000,23.840000,4916919,reg
2025-09-23T00:00:00Z,24.180000,23.450000,24.300000,23.010000,3966857,reg
2025-09-24T00:00:00Z,23.510000,22.810000,23.600000,22.780000,1854393,reg
2025-09-25T00:00:00Z,22.220000,22.420000,22.960000,22.100000,2668951,reg
2025-09-26T00:00:00Z,22.510000,22.140000,22.780000,22.120000,1847146,reg
2025-09-29T00:00:00Z,22.250000,22.280000,22.630000,22.100000,2043604,reg
2025-09-30T00:00:00Z,22.350000,21.780000,22.670000,21.420000,2452492,reg
2025-10-01T00:00:00Z,21.570000,20.390000,22.135000,20.360000,4652528,reg
2025-10-02T00:00:00Z,20.470000,20.120000,20.630000,19.830000,2969873,reg
2025-10-03T00:00:00Z,20.180000,20.300000,20.790000,20.050000,2564246,reg
2025-10-06T00:00:00Z,20.160000,19.270000,20.280000,18.350000,4806971,reg
2025-10-07T00:00:00Z,19.400000,19.100000,19.710000,18.920000,2145019,reg
2025-10-08T00:00:00Z,19.060000,19.085000,19.350000,18.670000,2110135,reg
2025-10-09T00:00:00Z,18.960000,18.550000,19.270000,18.130000,2994895,reg
2025-10-10T00:00:00Z,18.550000,17.500000,18.690000,17.450000,2482290,reg
2025-10-13T00:00:00Z,18.120000,17.500000,18.150000,17.205000,3087758,reg
2025-10-14T00:00:00Z,17.110000,17.960000,17.970000,16.740000,2325698,reg
2025-10-15T00:00:00Z,18.120000,18.730000,18.740000,18.105000,2863458,reg
2025-10-16T00:00:00Z,18.690000,18.310000,19.400000,18.090000,2588889,reg
2025-10-17T00:00:00Z,18.210000,17.880000,18.309600,17.650000,2295603,reg
2025-10-20T00:00:00Z,18.180000,18.670000,18.945000,18.180000,1992678,reg
2025-10-21T00:00:00Z,18.600000,18.950000,19.070000,18.590000,1742390,reg
2025-10-22T00:00:00Z,18.970000,18.940000,19.318000,18.450000,1677036,reg
2025-10-23T00:00:00Z,18.770000,19.140000,19.400000,18.770000,1443012,reg
2025-10-24T00:00:00Z,19.640000,19.940000,20.275000,19.501300,2280348,reg
2025-10-27T00:00:00Z,20.090000,20.090000,20.360000,19.925000,1575504,reg
2025-10-28T00:00:00Z,20.070000,19.890000,20.269900,19.600000,1605026,reg
2025-10-29T00:00:00Z,19.820000,18.640000,20.016400,18.540000,3308964,reg
2025-10-30T00:00:00Z,18.600000,17.310000,18.850000,17.275000,3745744,reg
2025-10-31T00:00:00Z,17.460000,17.880000,18.230000,17.440000,3233879,reg
2025-11-03T00:00:00Z,18.150000,17.740000,18.410000,17.630000,2716071,reg
2025-11-04T00:00:00Z,17.310000,16.730000,17.550000,16.650000,3312575,reg
2025-11-05T00:00:00Z,16.760000,17.100000,17.970000,16.420000,6155240,reg
2025-11-06T00:00:00Z,14.995000,14.865000,15.530000,13.430000,12374205,reg
2025-11-07T00:00:00Z,14.520000,15.095000,15.220000,14.450000,4562808,reg
2025-11-10T00:00:00Z,15.430000,14.560000,15.550000,14.440000,3197119,reg
2025-11-11T00:00:00Z,14.560000,14.780000,14.970000,14.460000,1613016,reg
2025-11-12T00:00:00Z,14.780000,14.210000,15.010000,14.140000,1976349,reg
2025-11-13T00:00:00Z,14.010000,14.230000,14.425000,13.750000,2337411,reg
2025-11-14T00:00:00Z,13.870000,14.150000,14.430000,13.824400,2046093,reg
2025-11-17T00:00:00Z,14.040000,13.360000,14.114700,13.320000,2028192,reg
2025-11-18T00:00:00Z,13.220000,13.400000,13.580000,13.070000,1420988,reg
2025-11-19T00:00:00Z,13.400000,13.530000,13.615000,13.270000,1739056,reg
2025-11-20T00:00:00Z,13.870000,13.130000,13.980000,13.080000,2999323,reg
2025-11-21T00:00:00Z,13.320000,14.080000,14.365000,13.230000,4524874,reg
2025-11-24T00:00:00Z,13.920000,14.740000,14.810000,13.894200,4571221,reg
2025-11-25T00:00:00Z,14.740000,14.840000,15.140000,14.525000,3003505,reg
2025-11-26T00:00:00Z,14.890000,14.675000,15.100000,14.525000,2649991,reg
2025-11-28T00:00:00Z,14.850000,14.690000,14.925000,14.660000,1657411,reg
2025-12-01T00:00:00Z,14.310000,14.780000,15.250000,14.240000,2723689,reg
2025-12-02T00:00:00Z,14.780000,14.400000,14.780000,14.320000,1420873,reg
2025-12-03T00:00:00Z,14.440000,14.380000,14.560000,14.180800,1549753,reg
2025-12-04T00:00:00Z,14.430000,14.380000,14.490000,14.100000,1426405,reg
2025-12-05T00:00:00Z,14.340000,14.650000,15.012500,14.237300,2100224,reg
2025-12-08T00:00:00Z,14.870000,14.910000,15.110000,14.675000,1872537,reg
2025-12-09T00:00:00Z,14.780000,15.510000,15.681600,14.780000,1897196,reg
2025-12-10T00:00:00Z,15.400000,15.780000,15.940000,14.900000,3141772,reg
2025-12-11T00:00:00Z,15.690000,16.010000,16.085000,15.400000,3413808,reg
2025-12-12T00:00:00Z,15.990000,16.300000,16.725000,15.970000,4864711,reg
2025-12-15T00:00:00Z,16.270000,15.840000,16.460000,15.770000,2637378,reg
2025-12-16T00:00:00Z,15.790000,16.540000,16.675000,15.780000,3526837,reg
2025-12-17T00:00:00Z,16.720000,16.700000,17.210000,16.540000,3221395,reg
2025-12-18T00:00:00Z,16.960000,16.580000,17.150000,16.505000,1847042,reg
2025-12-19T00:00:00Z,16.710000,16.400000,16.830000,16.300000,2446289,reg
2025-12-22T00:00:00Z,16.500000,16.440000,16.860000,16.340000,1788816,reg
2025-12-23T00:00:00Z,16.320000,16.500000,16.590000,16.080100,1395516,reg
2025-12-24T00:00:00Z,16.460000,16.520000,16.700000,16.290000,869521,reg
2025-12-26T00:00:00Z,16.500000,16.450000,16.920000,16.330000,1185164,reg
2025-12-29T00:00:00Z,16.370000,16.450000,16.530000,16.290000,872456,reg
2025-12-30T00:00:00Z,16.400000,16.460000,16.620000,16.320000,1266810,reg
2025-12-31T00:00:00Z,16.460000,16.230000,16.660000,16.165000,1714585,reg
2026-01-02T00:00:00Z,16.280000,16.060000,16.380000,15.770000,1776050,reg
2026-01-05T00:00:00Z,16.190000,16.770000,17.150000,16.190000,2109794,reg
2026-01-06T00:00:00Z,16.620000,16.880000,17.410000,16.440000,3916341,reg
2026-01-07T00:00:00Z,16.880000,16.800000,17.040000,16.362700,1709134,reg
2026-01-08T00:00:00Z,16.800000,16.600000,16.823200,16.250300,1343750,reg
2026-01-09T00:00:00Z,16.810000,16.170000,16.810000,16.000000,3174549,reg
2026-01-12T00:00:00Z,16.160000,16.320000,16.780000,15.762300,1838481,reg
2026-01-13T00:00:00Z,16.320000,16.090000,16.725000,16.030000,1297923,reg
2026-01-14T00:00:00Z,16.030000,15.300000,16.240000,15.270000,2562432,reg
2026-01-15T00:00:00Z,15.430000,14.900000,15.950000,14.860000,3548177,reg
2026-01-16T00:00:00Z,14.930000,14.380000,15.100000,14.320000,3122772,reg
2026-01-20T00:00:00Z,13.885000,14.800000,14.810000,13.800000,2683632,reg
2026-01-21T00:00:00Z,14.860000,14.290000,14.935000,13.950000,2501403,reg
2026-01-22T00:00:00Z,14.680000,15.080000,15.150000,14.380000,1853361,reg
2026-01-23T00:00:00Z,15.040000,15.410000,15.950000,15.010000,2583374,reg
2026-01-26T00:00:00Z,15.430000,15.370000,15.430000,15.000000,1396603,reg
2026-01-27T00:00:00Z,15.370000,15.050000,15.400000,14.710000,2176144,reg
2026-01-28T00:00:00Z,15.070000,14.860000,15.280000,14.785000,1545404,reg
2026-01-29T00:00:00Z,14.750000,15.020000,15.020000,14.480100,1154510,reg
2026-01-30T00:00:00Z,14.830000,14.470000,15.010000,14.295000,1590605,reg
2026-02-02T00:00:00Z,14.320000,14.060000,14.720000,14.050000,1488308,reg
2026-02-03T00:00:00Z,14.030000,11.500000,14.030000,11.280000,9158137,reg
2026-02-04T00:00:00Z,11.560000,11.905000,12.120000,11.040000,4325326,reg
2026-02-05T00:00:00Z,11.680000,11.280000,12.220000,11.160000,2184202,reg
2026-02-06T00:00:00Z,11.380000,11.290000,11.555000,11.060000,2257000,reg
2026-02-09T00:00:00Z,11.380000,11.670000,11.750000,11.181100,1752944,reg
2026-02-10T00:00:00Z,11.880000,11.970000,12.585000,11.830000,2741806,reg
2026-02-11T00:00:00Z,12.125000,11.800000,12.180000,11.590000,2141318,reg
2026-02-12T00:00:00Z,11.730000,11.200000,11.810000,10.820000,2824232,reg
2026-02-13T00:00:00Z,11.320000,11.700000,11.760000,11.210000,1365224,reg
2026-02-17T00:00:00Z,11.530000,11.570000,11.790000,11.050000,1430087,reg
2026-02-18T00:00:00Z,11.948000,12.000000,12.085000,11.500000,1822307,reg
2026-02-19T00:00:00Z,11.870000,12.210000,12.260000,11.720000,1508769,reg
2026-02-20T00:00:00Z,12.150000,12.230000,12.650000,11.910000,1331726,reg
2026-02-23T00:00:00Z,12.010000,11.320000,12.230000,11.250000,2630190,reg
2026-02-24T00:00:00Z,11.330000,11.700000,11.840000,11.330000,2287953,reg
2026-02-25T00:00:00Z,11.770000,11.970000,12.040000,11.520000,3768967,reg
2026-02-26T00:00:00Z,12.440000,13.480000,13.680000,12.220000,7480762,reg
2026-02-27T00:00:00Z,13.425000,13.620000,13.740000,13.050000,3353505,reg
2026-03-02T00:00:00Z,12.920000,13.560000,13.645000,12.880100,2506422,reg
2026-03-03T00:00:00Z,13.170000,13.770000,13.970000,12.890000,2525786,reg
2026-03-04T00:00:00Z,13.630000,13.830000,14.255000,13.190000,2203603,reg
2026-03-05T00:00:00Z,13.990000,14.160000,14.480000,13.890000,2268123,reg
2026-03-06T00:00:00Z,13.910000,14.000000,14.110000,13.750000,1802976,reg
2026-03-09T00:00:00Z,13.630000,13.530000,13.670000,13.060000,1473212,reg
2026-03-10T00:00:00Z,13.600000,13.000000,13.600000,12.955000,1660775,reg
2026-03-11T00:00:00Z,13.090000,13.030000,13.250000,12.710000,1865893,reg
2026-03-12T00:00:00Z,12.880000,12.290000,13.090000,12.280000,1283697,reg
2026-03-13T00:00:00Z,12.290000,11.880000,12.290000,11.805000,1627982,reg
2026-03-16T00:00:00Z,12.010000,12.180000,12.400000,11.930000,2127499,reg
2026-03-17T00:00:00Z,12.260000,12.340000,12.865000,12.240000,1506885,reg
2026-03-18T00:00:00Z,12.120000,12.720000,12.890000,12.050000,2682691,reg
2026-03-19T00:00:00Z,12.530000,12.490000,13.040000,12.350000,2116450,reg
2026-03-20T00:00:00Z,12.550000,12.380000,12.580000,12.200000,2633328,reg
2026-03-23T00:00:00Z,12.670000,12.450000,12.750000,12.220000,1719991,reg
2026-03-24T00:00:00Z,12.370000,12.030000,12.520000,12.030000,1170609,reg
2026-03-25T00:00:00Z,12.290000,12.110000,12.440000,11.900000,1832284,reg
2026-03-26T00:00:00Z,12.000000,11.850000,12.255000,11.815000,2029611,reg
2026-03-27T00:00:00Z,11.765000,11.650000,11.816300,11.360000,1906055,reg
2026-03-30T00:00:00Z,11.715000,11.570000,11.858000,11.495000,2939873,reg
2026-03-31T00:00:00Z,11.740000,11.880000,12.090000,11.620000,2311560,reg
2026-04-01T00:00:00Z,12.115800,11.790000,12.115800,11.570000,1981771,reg
2026-04-02T00:00:00Z,11.405800,11.890000,12.020000,11.405800,1522171,reg
2026-04-06T00:00:00Z,11.930000,12.160000,12.360000,11.890000,1378663,reg
2026-04-07T00:00:00Z,12.020000,12.050000,12.243700,11.870000,1917200,reg
2026-04-08T00:00:00Z,12.670000,12.160000,12.790000,12.020000,1740213,reg
2026-04-09T00:00:00Z,12.100000,11.820000,12.120000,11.555000,2252278,reg
2026-04-10T00:00:00Z,11.980000,11.980000,12.190000,11.590000,1701509,reg
2026-04-13T00:00:00Z,11.800000,12.090000,12.220000,11.800000,1722302,reg
2026-04-14T00:00:00Z,12.140000,12.460000,12.850000,12.140000,1106221,reg
2026-04-15T00:00:00Z,12.460000,13.250000,13.405000,12.460000,2061138,reg
2026-04-16T00:00:00Z,13.445000,13.640000,13.750000,13.385000,1828080,reg
2026-04-17T00:00:00Z,13.815000,13.710000,14.040000,13.660000,2485135,reg
2026-04-20T00:00:00Z,13.580000,14.000000,14.110000,13.450000,1688103,reg
2026-04-21T00:00:00Z,13.590000,13.080000,13.850000,13.060000,3776832,reg
2026-04-22T00:00:00Z,13.230000,13.390000,13.480000,13.110000,1504239,reg
2026-04-23T00:00:00Z,13.170000,12.530000,13.234300,12.265000,2291731,reg
2026-04-24T00:00:00Z,12.530000,12.980000,13.015000,12.390000,1901718,reg
2026-04-27T00:00:00Z,13.250000,13.030000,13.600000,12.935000,2226276,reg
2026-04-28T00:00:00Z,13.050000,12.970000,13.270000,12.950000,1488446,reg
2026-04-29T00:00:00Z,12.780000,12.920000,13.090000,12.667400,1536299,reg
2026-04-30T00:00:00Z,12.890000,12.815000,13.060000,12.600000,1896436,reg
2026-05-01T00:00:00Z,13.170000,13.720000,13.795000,13.000000,4026910,reg
2026-05-04T00:00:00Z,13.780000,13.580000,13.929900,13.455000,2567351,reg
2026-05-05T00:00:00Z,13.580000,13.600000,13.695000,13.330000,1776907,reg
2026-05-06T00:00:00Z,13.600000,13.390000,13.600000,13.050000,2801494,reg
2026-05-07T00:00:00Z,12.700000,14.000000,14.000000,12.520100,6173480,reg
2026-05-08T00:00:00Z,13.740000,14.130000,14.319900,13.700000,4312973,reg
2026-05-11T00:00:00Z,14.080000,13.370000,14.230000,13.220000,3672322,reg
2026-05-12T00:00:00Z,13.510000,13.820000,13.930000,13.230000,2978223,reg
2026-05-13T00:00:00Z,13.730000,12.910000,13.730000,12.830100,3471776,reg
2026-05-14T00:00:00Z,12.950000,12.420000,13.080000,12.375000,3708723,reg
2026-05-15T00:00:00Z,12.370000,12.820000,12.975000,12.350000,2164924,reg
2026-05-18T00:00:00Z,12.750000,13.390000,13.580000,12.750000,3020728,reg
2026-05-19T00:00:00Z,13.450000,13.390000,13.805000,13.260100,2549026,reg
2026-05-20T00:00:00Z,13.220000,13.055000,13.275000,12.730000,2179682,reg
