begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-17T00:00:00Z,289.120000,289.840000,292.660000,285.340000,279882,reg
2025-07-18T00:00:00Z,292.810000,291.800000,292.810000,285.420000,272476,reg
2025-07-21T00:00:00Z,293.000000,284.150000,293.000000,283.740000,461108,reg
2025-07-22T00:00:00Z,282.460000,287.540000,289.590000,279.810000,335974,reg
2025-07-23T00:00:00Z,289.720000,291.180000,296.935000,288.355000,408678,reg
2025-07-24T00:00:00Z,294.550000,289.270000,296.460000,287.580000,228334,reg
2025-07-25T00:00:00Z,288.440000,292.240000,294.600000,285.240000,311702,reg
2025-07-28T00:00:00Z,294.000000,284.060000,295.000000,283.750000,402896,reg
2025-07-29T00:00:00Z,288.670000,280.450000,293.180000,276.040000,737506,reg
2025-07-30T00:00:00Z,281.870000,277.730000,281.870000,274.380000,547526,reg
2025-07-31T00:00:00Z,279.680000,262.290000,279.680000,261.940000,995875,reg
2025-08-01T00:00:00Z,257.050000,250.540000,257.550000,247.160000,1190377,reg
2025-08-04T00:00:00Z,254.760000,249.750000,256.700000,247.010000,873582,reg
2025-08-05T00:00:00Z,249.750000,249.960000,252.743100,246.771000,685475,reg
2025-08-06T00:00:00Z,259.400000,258.500000,263.480000,253.040000,1136051,reg
2025-08-07T00:00:00Z,263.110000,247.400000,264.000000,242.520000,1166968,reg
2025-08-08T00:00:00Z,251.450000,248.040000,252.860000,241.270000,1218450,reg
2025-08-11T00:00:00Z,188.340000,174.130000,189.359900,173.200000,9151051,reg
2025-08-12T00:00:00Z,180.150000,172.150000,183.490000,171.540000,4879822,reg
2025-08-13T00:00:00Z,176.280000,178.510000,182.565000,174.150000,3444065,reg
2025-08-14T00:00:00Z,178.250000,176.920000,179.500000,173.559000,2358633,reg
2025-08-15T00:00:00Z,176.920000,175.740000,180.300000,175.220000,1664449,reg
2025-08-18T00:00:00Z,175.750000,179.010000,180.510000,174.744800,1372524,reg
2025-08-19T00:00:00Z,180.125000,176.090000,181.750000,175.330000,1739258,reg
2025-08-20T00:00:00Z,175.930000,173.370000,176.340000,171.880000,1194509,reg
2025-08-21T00:00:00Z,166.740000,171.460000,172.480000,166.220000,1329350,reg
2025-08-22T00:00:00Z,171.010000,177.890000,178.890000,169.340000,1058022,reg
2025-08-25T00:00:00Z,178.050000,175.390000,179.900000,174.900000,836637,reg
2025-08-26T00:00:00Z,175.810000,175.910000,178.420000,173.580000,1258399,reg
2025-08-27T00:00:00Z,177.110000,181.800000,182.220000,176.350000,1261279,reg
2025-08-28T00:00:00Z,183.330000,189.510000,190.870000,182.675000,2044211,reg
2025-08-29T00:00:00Z,189.350000,193.000000,193.150000,189.090000,1624821,reg
2025-09-02T00:00:00Z,187.910000,187.340000,191.830000,184.260000,1936842,reg
2025-09-03T00:00:00Z,187.560000,185.170000,189.550000,182.670000,982415,reg
2025-09-04T00:00:00Z,182.500000,182.420000,183.270000,178.420000,1074466,reg
2025-09-05T00:00:00Z,185.160000,185.730000,187.320000,182.420000,956454,reg
2025-09-08T00:00:00Z,186.390000,190.680000,191.505000,185.720000,734102,reg
2025-09-09T00:00:00Z,192.500000,193.630000,194.710000,191.000000,908943,reg
2025-09-10T00:00:00Z,191.640000,187.340000,195.100000,186.590100,790339,reg
2025-09-11T00:00:00Z,189.400000,191.800000,192.490000,188.090000,867867,reg
2025-09-12T00:00:00Z,192.860000,191.950000,192.860000,189.087200,946719,reg
2025-09-15T00:00:00Z,192.190000,193.490000,195.940000,190.510000,1929844,reg
2025-09-16T00:00:00Z,193.280000,195.600000,196.235000,191.010000,1073446,reg
2025-09-17T00:00:00Z,198.870000,188.390000,201.320000,180.300000,2613678,reg
2025-09-18T00:00:00Z,192.190000,206.180000,206.860000,191.090000,2030066,reg
2025-09-19T00:00:00Z,207.780000,219.150000,220.320000,207.500000,2338344,reg
2025-09-22T00:00:00Z,217.700000,211.990000,218.450000,211.500000,1095222,reg
2025-09-23T00:00:00Z,214.670000,215.420000,218.145000,211.320000,1163404,reg
2025-09-24T00:00:00Z,216.000000,212.400000,220.800000,211.315000,1259114,reg
2025-09-25T00:00:00Z,209.600000,207.280000,210.000000,205.050000,1175591,reg
2025-09-26T00:00:00Z,207.300000,206.590000,209.040000,205.410000,595821,reg
2025-09-29T00:00:00Z,207.500000,201.570000,208.720000,200.604200,882839,reg
2025-09-30T00:00:00Z,202.420000,193.690000,202.420000,192.050000,1454295,reg
2025-10-01T00:00:00Z,192.530000,184.320000,196.929700,179.560000,2882465,reg
2025-10-02T00:00:00Z,184.590000,182.260000,186.979900,180.100000,2113947,reg
2025-10-03T00:00:00Z,183.370000,183.570000,187.389000,180.890000,912970,reg
2025-10-06T00:00:00Z,184.610000,188.660000,194.230000,182.080000,1356829,reg
2025-10-07T00:00:00Z,190.000000,178.960000,190.010000,177.775000,1413414,reg
2025-10-08T00:00:00Z,180.000000,184.190000,186.660000,177.850000,1365427,reg
2025-10-09T00:00:00Z,184.720000,190.610000,191.210000,184.100000,751632,reg
2025-10-10T00:00:00Z,190.800000,185.030000,192.185000,183.020000,779993,reg
2025-10-13T00:00:00Z,188.110000,185.650000,188.250000,181.310000,832349,reg
2025-10-14T00:00:00Z,184.050000,187.665000,188.975000,182.500000,848910,reg
2025-10-15T00:00:00Z,189.610000,180.910000,189.610000,179.150000,1174599,reg
2025-10-16T00:00:00Z,181.360000,176.940000,185.000000,176.000000,1005692,reg
2025-10-17T00:00:00Z,176.230000,181.580000,182.080000,176.000000,653587,reg
2025-10-20T00:00:00Z,182.530000,186.020000,186.720000,182.090000,660751,reg
2025-10-21T00:00:00Z,185.240000,192.280000,198.145000,185.240000,836812,reg
2025-10-22T00:00:00Z,192.500000,190.680000,193.420000,188.405000,676628,reg
2025-10-23T00:00:00Z,191.590000,196.230000,197.300000,191.315000,637637,reg
2025-10-24T00:00:00Z,199.000000,197.410000,202.000000,196.570000,473521,reg
2025-10-27T00:00:00Z,198.500000,198.780000,202.000000,197.100000,475529,reg
2025-10-28T00:00:00Z,198.000000,200.520000,202.310000,197.100000,486569,reg
2025-10-29T00:00:00Z,199.300000,195.940000,201.490000,195.820000,616065,reg
2025-10-30T00:00:00Z,194.970000,198.900000,205.600000,192.613100,723345,reg
2025-10-31T00:00:00Z,198.130000,205.240000,207.650000,198.130000,764877,reg
2025-11-03T00:00:00Z,205.580000,205.120000,210.490000,204.060000,938950,reg
2025-11-04T00:00:00Z,200.260000,192.670000,200.619900,192.120000,741405,reg
2025-11-05T00:00:00Z,192.860000,192.230000,194.910000,190.530000,796846,reg
2025-11-06T00:00:00Z,188.000000,181.020000,188.000000,178.100100,1713587,reg
2025-11-07T00:00:00Z,176.180000,189.590000,190.720000,176.180000,1646787,reg
2025-11-10T00:00:00Z,151.390000,166.210000,167.500000,151.000000,6418745,reg
2025-11-11T00:00:00Z,166.210000,165.180000,169.759900,163.510000,2863553,reg
2025-11-12T00:00:00Z,164.930000,159.110000,166.295000,157.000000,1825245,reg
2025-11-13T00:00:00Z,158.500000,160.610000,162.710000,157.430000,1222887,reg
2025-11-14T00:00:00Z,157.110000,160.540000,164.160000,156.350000,1921971,reg
2025-11-17T00:00:00Z,160.430000,150.340000,161.430000,149.880000,1870313,reg
2025-11-18T00:00:00Z,149.250000,153.175000,153.740000,147.170000,1256049,reg
2025-11-19T00:00:00Z,151.820000,148.920000,152.840000,147.140000,1316809,reg
2025-11-20T00:00:00Z,151.520000,145.230000,153.500000,144.530000,1055369,reg
2025-11-21T00:00:00Z,145.200000,146.850000,149.330000,141.580000,1543783,reg
2025-11-24T00:00:00Z,147.430000,145.235000,148.740000,143.260000,2176683,reg
2025-11-25T00:00:00Z,145.000000,147.780000,148.630000,143.520000,1561952,reg
2025-11-26T00:00:00Z,148.970000,144.970000,148.970000,144.250000,798280,reg
2025-11-28T00:00:00Z,146.050000,143.860000,147.880000,141.960100,940308,reg
2025-12-01T00:00:00Z,142.875000,149.910000,151.130000,141.200000,1563482,reg
