begins_at,open_price,close_price,high_price,low_price,volume,session
2025-08-01T00:00:00Z,390.405000,366.630000,392.640000,365.700000,21808902,reg
2025-08-04T00:00:00Z,372.770000,389.240000,390.020000,366.200100,12362382,reg
2025-08-05T00:00:00Z,384.175000,375.460000,388.305000,373.350000,8467080,reg
2025-08-06T00:00:00Z,374.750000,383.410000,384.420000,373.001000,7242638,reg
2025-08-07T00:00:00Z,388.400000,402.010000,406.240000,387.140000,13051194,reg
2025-08-08T00:00:00Z,397.600000,395.130000,409.650000,389.030000,11200116,reg
2025-08-11T00:00:00Z,403.920000,400.250000,414.360000,398.920000,10394429,reg
2025-08-12T00:00:00Z,400.500000,394.390000,401.670000,390.140000,8365108,reg
2025-08-13T00:00:00Z,397.730000,389.900000,399.440000,383.550000,10884943,reg
2025-08-14T00:00:00Z,380.000000,372.940000,381.000000,365.000000,16461651,reg
2025-08-15T00:00:00Z,372.210000,366.320000,372.620000,360.032200,13125281,reg
2025-08-18T00:00:00Z,359.945000,363.600000,367.565800,358.010000,9001954,reg
2025-08-19T00:00:00Z,363.190000,336.570000,364.630000,333.400000,18254611,reg
2025-08-20T00:00:00Z,339.380000,344.370000,345.500000,325.560000,13807212,reg
2025-08-21T00:00:00Z,340.000000,337.580000,343.270000,334.850000,8398545,reg
2025-08-22T00:00:00Z,335.200000,358.130000,359.530000,332.610000,17386939,reg
2025-08-25T00:00:00Z,344.910000,343.200000,351.510000,339.210900,10983426,reg
2025-08-26T00:00:00Z,341.805000,351.360000,351.990000,340.680000,9144162,reg
2025-08-27T00:00:00Z,348.680000,342.060000,351.770000,341.840000,8454295,reg
2025-08-28T00:00:00Z,346.160000,338.840000,348.169900,336.650000,8116129,reg
2025-08-29T00:00:00Z,334.600000,334.410000,339.630000,332.640000,10162267,reg
2025-09-02T00:00:00Z,334.930000,341.620000,348.600000,331.570000,11123010,reg
2025-09-03T00:00:00Z,341.770000,330.260000,344.500000,327.609000,9180195,reg
2025-09-04T00:00:00Z,330.000000,327.590000,332.560000,317.750400,10529990,reg
2025-09-05T00:00:00Z,334.810000,335.870000,337.200000,320.000000,14047603,reg
2025-09-08T00:00:00Z,328.110000,329.900000,333.096700,321.500000,9954514,reg
2025-09-09T00:00:00Z,330.230000,328.530000,331.960000,324.450000,6587817,reg
2025-09-10T00:00:00Z,332.800000,326.450000,340.010000,321.956000,9741359,reg
2025-09-11T00:00:00Z,326.870000,326.020000,329.750000,322.770000,7506896,reg
2025-09-12T00:00:00Z,329.150000,331.440000,336.130100,327.600000,10809904,reg
2025-09-15T00:00:00Z,329.400000,327.790000,331.330000,320.450000,9527674,reg
2025-09-16T00:00:00Z,328.750000,335.090000,335.440000,324.840000,8651259,reg
2025-09-17T00:00:00Z,335.250000,329.710000,340.110000,323.205000,9690985,reg
2025-09-18T00:00:00Z,335.860000,349.120000,358.250000,334.625000,19697259,reg
2025-09-19T00:00:00Z,347.450000,344.750000,352.920000,337.070000,17699698,reg
2025-09-22T00:00:00Z,337.020000,335.930000,341.590000,329.000000,10053535,reg
2025-09-23T00:00:00Z,337.060000,327.780000,339.000000,327.770000,9468789,reg
2025-09-24T00:00:00Z,330.630000,323.310000,337.059900,323.140000,9153097,reg
2025-09-25T00:00:00Z,316.610000,300.700000,317.000000,292.360000,22086992,reg
2025-09-26T00:00:00Z,301.300000,309.060000,310.000000,297.710000,11693362,reg
2025-09-29T00:00:00Z,313.730000,326.420000,327.990000,311.000000,12652008,reg
2025-09-30T00:00:00Z,320.835000,322.210000,324.499900,316.190000,7798818,reg
2025-10-01T00:00:00Z,332.470000,338.410000,343.730000,331.200000,13994829,reg
2025-10-02T00:00:00Z,348.570000,352.330000,353.220000,341.150000,13666759,reg
2025-10-03T00:00:00Z,350.865000,351.630000,358.540000,344.400000,12107918,reg
2025-10-06T00:00:00Z,362.950000,359.690000,365.210000,354.700000,9550967,reg
2025-10-07T00:00:00Z,358.880000,328.400000,359.440000,328.160000,19584106,reg
2025-10-08T00:00:00Z,335.615000,330.800000,336.360000,322.300000,12996276,reg
2025-10-09T00:00:00Z,327.400000,320.290000,328.990000,318.220000,11213175,reg
2025-10-10T00:00:00Z,323.175000,304.790000,323.430000,303.570000,13643730,reg
2025-10-13T00:00:00Z,306.670000,315.470000,315.950000,300.590000,11575024,reg
2025-10-14T00:00:00Z,301.000000,300.670000,312.709900,297.340000,11480498,reg
2025-10-15T00:00:00Z,303.600000,296.760000,308.880000,294.620000,10625605,reg
2025-10-16T00:00:00Z,299.900000,283.840000,301.580000,282.190000,13817949,reg
2025-10-17T00:00:00Z,279.270000,289.870000,292.800000,279.000000,13110673,reg
2025-10-20T00:00:00Z,297.210000,296.610000,306.160000,294.400000,9679688,reg
2025-10-21T00:00:00Z,293.950000,301.910000,305.989900,291.520000,7902814,reg
2025-10-22T00:00:00Z,293.020000,280.810000,297.960000,276.600000,15129499,reg
2025-10-23T00:00:00Z,285.470000,284.920000,289.070000,278.000000,9082117,reg
2025-10-24T00:00:00Z,290.430000,289.080000,292.150000,286.110000,7881709,reg
2025-10-27T00:00:00Z,299.500000,295.630000,299.800000,293.000100,8135934,reg
2025-10-28T00:00:00Z,295.140000,284.640000,297.200000,284.250000,7996793,reg
2025-10-29T00:00:00Z,284.375000,275.360000,286.175000,274.000000,10184055,reg
2025-10-30T00:00:00Z,269.985000,254.570000,271.365000,254.000000,15564196,reg
2025-10-31T00:00:00Z,269.980000,269.510000,276.319900,263.000000,14071785,reg
2025-11-03T00:00:00Z,264.190000,264.670000,270.360000,259.850000,11074628,reg
2025-11-04T00:00:00Z,255.160000,246.990000,258.210000,245.860000,15735129,reg
2025-11-05T00:00:00Z,250.200000,255.000000,255.360000,247.020100,9676192,reg
2025-11-06T00:00:00Z,252.140000,237.200000,252.340000,235.030000,14468335,reg
2025-11-07T00:00:00Z,222.660000,241.930000,243.732500,219.680000,16976057,reg
2025-11-10T00:00:00Z,249.680000,238.880000,249.960000,234.600000,9527228,reg
2025-11-11T00:00:00Z,236.455000,231.350000,239.240000,230.550000,8340252,reg
2025-11-12T00:00:00Z,233.900000,224.610000,234.840000,219.800000,10800418,reg
2025-11-13T00:00:00Z,223.800000,208.540000,226.000000,207.030000,16474524,reg
2025-11-14T00:00:00Z,200.580000,199.750000,208.840000,194.560000,23233803,reg
2025-11-17T00:00:00Z,197.025000,195.420000,204.150000,189.531500,19544953,reg
2025-11-18T00:00:00Z,196.360000,206.800000,213.830000,196.000000,22049488,reg
2025-11-19T00:00:00Z,202.360000,186.500000,203.950000,181.730000,28025372,reg
2025-11-20T00:00:00Z,192.440000,177.130000,193.530000,171.475000,27684354,reg
2025-11-21T00:00:00Z,172.740000,170.500000,181.190000,166.310000,29651281,reg
2025-11-24T00:00:00Z,171.620000,179.040000,179.840000,166.010000,23282608,reg
2025-11-25T00:00:00Z,173.710000,172.190000,176.760000,166.780100,19112667,reg
2025-11-26T00:00:00Z,173.690000,175.640000,180.630000,169.700000,20016529,reg
2025-11-28T00:00:00Z,182.990000,177.180000,187.290000,175.050100,15114321,reg
2025-12-01T00:00:00Z,168.260000,171.420000,172.175000,155.610000,42940226,reg
2025-12-02T00:00:00Z,177.750000,181.330000,188.370000,176.890000,31285555,reg
2025-12-03T00:00:00Z,183.400000,188.390000,190.440000,177.820000,26686140,reg
2025-12-04T00:00:00Z,186.020000,186.010000,191.000000,182.350000,16474436,reg
2025-12-05T00:00:00Z,183.335000,178.990000,185.390000,176.300000,20750666,reg
2025-12-08T00:00:00Z,182.100000,183.690000,185.590000,178.000000,16328140,reg
2025-12-09T00:00:00Z,181.490000,188.990000,198.399900,179.920000,24269606,reg
2025-12-10T00:00:00Z,189.320000,184.640000,191.070000,182.200000,22458960,reg
2025-12-11T00:00:00Z,179.790000,183.300000,183.500000,171.410000,19542363,reg
2025-12-12T00:00:00Z,182.970000,176.450000,185.250000,176.220000,14532100,reg
2025-12-15T00:00:00Z,176.000000,162.080000,176.500000,160.540000,25393373,reg
2025-12-16T00:00:00Z,164.970000,167.500000,171.489000,161.950000,21181041,reg
2025-12-17T00:00:00Z,167.745000,160.380000,171.163100,160.310000,19144896,reg
2025-12-18T00:00:00Z,167.810000,158.240000,169.510000,157.430000,17534711,reg
2025-12-19T00:00:00Z,163.400000,164.820000,167.750000,161.630000,22062408,reg
2025-12-22T00:00:00Z,168.820000,164.320000,170.670000,163.690000,19234491,reg
2025-12-23T00:00:00Z,162.250000,157.880000,162.730000,156.500000,15891201,reg
2025-12-24T00:00:00Z,157.200000,158.710000,159.280000,155.100000,7097556,reg
2025-12-26T00:00:00Z,159.890000,158.810000,159.910000,154.121900,12298168,reg
2025-12-29T00:00:00Z,157.945000,155.390000,162.930000,155.320000,14073500,reg
2025-12-30T00:00:00Z,155.820000,155.610000,159.380000,154.132100,12740204,reg
2025-12-31T00:00:00Z,156.240000,151.950000,156.800000,151.420000,15918113,reg
