begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,25.590000,25.180000,25.590000,24.985000,3529218,reg
2025-07-21T00:00:00Z,25.250000,24.580000,25.330000,24.565000,1154524,reg
2025-07-22T00:00:00Z,24.540000,24.400000,24.580000,24.260000,1372027,reg
2025-07-23T00:00:00Z,24.580000,24.560000,24.655000,24.400000,2048477,reg
2025-07-24T00:00:00Z,24.400000,24.750000,24.760000,24.165000,1359404,reg
2025-07-25T00:00:00Z,24.840000,25.150000,25.160000,24.610000,947359,reg
2025-07-28T00:00:00Z,25.260000,24.950000,25.260000,24.950000,758989,reg
2025-07-29T00:00:00Z,25.200000,24.640000,25.200000,24.640000,981258,reg
2025-07-30T00:00:00Z,24.770000,24.380000,24.820000,24.280000,1730115,reg
2025-07-31T00:00:00Z,24.190000,24.760000,25.060100,24.170000,1387974,reg
2025-08-01T00:00:00Z,24.250000,24.240000,24.360000,23.860000,1475125,reg
2025-08-04T00:00:00Z,24.260000,23.940000,24.435000,23.760000,1390706,reg
2025-08-05T00:00:00Z,25.790000,25.200000,26.655000,24.670000,3901242,reg
2025-08-06T00:00:00Z,25.300000,25.930000,25.930000,24.950000,2285895,reg
2025-08-07T00:00:00Z,26.160000,25.910000,26.310000,25.660000,1277484,reg
2025-08-08T00:00:00Z,25.910000,25.610000,25.985000,25.555000,939529,reg
2025-08-11T00:00:00Z,25.650000,25.680000,25.705000,25.400000,991256,reg
2025-08-12T00:00:00Z,25.960000,26.920000,26.995000,25.740000,1238605,reg
2025-08-13T00:00:00Z,27.100000,27.390000,27.435000,26.890000,1216108,reg
2025-08-14T00:00:00Z,27.110000,26.560000,27.310000,26.485000,733290,reg
2025-08-15T00:00:00Z,26.560000,26.240000,26.590000,26.140000,613153,reg
2025-08-18T00:00:00Z,26.180000,26.210000,26.360000,26.120000,588379,reg
2025-08-19T00:00:00Z,26.250000,26.400000,26.410000,26.030000,621543,reg
2025-08-20T00:00:00Z,26.400000,26.270000,26.460000,26.105000,597041,reg
2025-08-21T00:00:00Z,26.080000,25.970000,26.310000,25.930000,899874,reg
2025-08-22T00:00:00Z,26.240000,27.220000,27.420000,26.105000,1039777,reg
2025-08-25T00:00:00Z,27.190000,26.880000,27.305000,26.850000,828554,reg
2025-08-26T00:00:00Z,27.030000,27.120000,27.195000,26.910000,655025,reg
2025-08-27T00:00:00Z,27.050000,27.260000,27.360000,27.030000,637227,reg
2025-08-28T00:00:00Z,27.370000,26.930000,27.370000,26.760000,629891,reg
2025-08-29T00:00:00Z,26.990000,26.360000,26.990000,26.310000,801532,reg
2025-09-02T00:00:00Z,26.040000,26.390000,26.470000,25.910000,1653401,reg
2025-09-03T00:00:00Z,26.260000,26.070000,26.450000,25.965000,685214,reg
2025-09-04T00:00:00Z,26.150000,26.750000,26.750000,26.080000,550902,reg
2025-09-05T00:00:00Z,26.900000,26.780000,27.130000,26.550000,645318,reg
2025-09-08T00:00:00Z,26.800000,26.770000,27.025000,26.540900,773767,reg
2025-09-09T00:00:00Z,26.670000,24.650000,26.810000,24.605000,2075300,reg
2025-09-10T00:00:00Z,24.960000,24.670000,25.194800,24.420000,2381378,reg
2025-09-11T00:00:00Z,24.860000,25.480000,25.540000,24.780000,1075547,reg
2025-09-12T00:00:00Z,25.500000,25.040000,25.555000,25.030000,890844,reg
2025-09-15T00:00:00Z,25.070000,25.340000,25.350000,24.965000,1394608,reg
2025-09-16T00:00:00Z,25.480000,25.500000,25.630000,25.230000,1038039,reg
2025-09-17T00:00:00Z,25.600000,25.310000,26.000000,25.090000,1197408,reg
2025-09-18T00:00:00Z,25.420000,25.640000,25.890000,25.300000,1389552,reg
2025-09-19T00:00:00Z,25.500000,25.290000,25.550000,25.200000,4411734,reg
2025-09-22T00:00:00Z,25.280000,25.410000,25.525000,25.120000,806327,reg
2025-09-23T00:00:00Z,25.600000,25.320000,25.675500,25.165000,808247,reg
2025-09-24T00:00:00Z,25.260000,24.930000,25.375000,24.860000,720895,reg
2025-09-25T00:00:00Z,24.750000,24.910000,24.950000,24.500000,619104,reg
2025-09-26T00:00:00Z,24.970000,25.380000,25.390000,24.935000,642890,reg
2025-09-29T00:00:00Z,25.530000,25.340000,25.540000,25.195000,793659,reg
2025-09-30T00:00:00Z,25.430000,25.520000,25.570000,25.170000,769354,reg
2025-10-01T00:00:00Z,25.360000,25.520000,25.610000,25.190000,651599,reg
2025-10-02T00:00:00Z,25.590000,25.910000,25.960000,25.430000,980056,reg
2025-10-03T00:00:00Z,25.980000,25.960000,26.550000,25.900000,1159523,reg
2025-10-06T00:00:00Z,25.990000,25.710000,26.235000,25.590000,563080,reg
2025-10-07T00:00:00Z,25.710000,25.440000,25.845000,25.340000,839427,reg
2025-10-08T00:00:00Z,25.720000,25.740000,25.910000,25.580000,689060,reg
2025-10-09T00:00:00Z,25.770000,25.140000,25.790000,25.010000,667467,reg
2025-10-10T00:00:00Z,25.210000,24.920000,25.290000,24.690000,763502,reg
2025-10-13T00:00:00Z,25.220000,25.050000,25.315000,25.030000,642780,reg
2025-10-14T00:00:00Z,24.720000,25.360000,25.525000,24.720000,884004,reg
2025-10-15T00:00:00Z,25.800000,25.520000,26.020000,25.260000,1832297,reg
2025-10-16T00:00:00Z,25.520000,24.990000,25.530000,24.735000,1194409,reg
2025-10-17T00:00:00Z,24.860000,25.250000,25.445000,24.760000,3669725,reg
2025-10-20T00:00:00Z,25.470000,25.590000,25.655000,25.110000,1262677,reg
2025-10-21T00:00:00Z,25.520000,25.850000,25.951800,25.405000,908695,reg
2025-10-22T00:00:00Z,25.910000,25.510000,26.045000,25.510000,895719,reg
2025-10-23T00:00:00Z,25.630000,25.900000,25.910000,25.510000,524213,reg
2025-10-24T00:00:00Z,26.130000,25.920000,26.360000,25.890000,839808,reg
2025-10-27T00:00:00Z,26.050000,25.830000,26.280000,25.750000,686436,reg
2025-10-28T00:00:00Z,25.940000,25.870000,26.014700,25.668000,837182,reg
2025-10-29T00:00:00Z,25.860000,25.690000,26.310000,25.525000,1786283,reg
2025-10-30T00:00:00Z,25.680000,25.620000,26.050000,25.570000,2481709,reg
2025-10-31T00:00:00Z,25.530000,25.660000,25.840000,25.200000,1481758,reg
2025-11-03T00:00:00Z,25.530000,25.710000,25.710000,25.135000,1401722,reg
2025-11-04T00:00:00Z,25.490000,25.810000,25.820000,25.310000,1031964,reg
2025-11-05T00:00:00Z,25.670000,26.060000,26.125000,25.670000,1115588,reg
2025-11-06T00:00:00Z,26.020000,25.030000,26.250000,24.925000,1362388,reg
2025-11-07T00:00:00Z,24.270000,23.920000,24.790000,23.200000,2661805,reg
2025-11-10T00:00:00Z,23.920000,23.950000,24.340000,23.370000,1636105,reg
2025-11-11T00:00:00Z,23.950000,23.350000,24.030000,23.295000,1443403,reg
2025-11-12T00:00:00Z,23.540000,23.560000,23.870000,23.460000,1545601,reg
2025-11-13T00:00:00Z,23.550000,23.100000,23.780000,22.925000,2054950,reg
2025-11-14T00:00:00Z,23.000000,23.160000,23.245000,22.910000,1170869,reg
2025-11-17T00:00:00Z,23.090000,22.910000,23.160000,22.810000,1651580,reg
2025-11-18T00:00:00Z,22.830000,23.210000,23.295000,22.740000,1477266,reg
2025-11-19T00:00:00Z,23.290000,23.140000,23.370000,23.000000,2297697,reg
2025-11-20T00:00:00Z,23.520000,23.290000,23.760000,23.260000,1303116,reg
2025-11-21T00:00:00Z,23.390000,23.730000,23.835000,23.240100,1522175,reg
2025-11-24T00:00:00Z,23.560000,23.660000,23.790000,23.450000,1703698,reg
2025-11-25T00:00:00Z,23.850000,24.330000,24.485000,23.560000,1388567,reg
2025-11-26T00:00:00Z,24.210000,24.300000,24.605000,24.080000,1569751,reg
