begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,21.980000,22.200000,22.620000,21.745000,951565,reg
2025-07-21T00:00:00Z,22.540000,22.560000,23.040000,22.170000,881149,reg
2025-07-22T00:00:00Z,22.160000,22.930000,22.980000,22.000000,1186151,reg
2025-07-23T00:00:00Z,23.170000,23.980000,24.820000,22.790000,892867,reg
2025-07-24T00:00:00Z,23.990000,23.390000,24.060000,22.880000,782177,reg
2025-07-25T00:00:00Z,23.590000,23.600000,23.805000,22.790000,727617,reg
2025-07-28T00:00:00Z,23.750000,23.420000,24.180000,23.360000,573296,reg
2025-07-29T00:00:00Z,23.360000,22.780000,23.760000,22.470000,645212,reg
2025-07-30T00:00:00Z,23.360000,22.430000,23.590000,21.550000,1192780,reg
2025-07-31T00:00:00Z,22.430000,21.810000,22.880000,21.560000,655915,reg
2025-08-01T00:00:00Z,21.480000,21.280000,22.010000,21.135000,557855,reg
2025-08-04T00:00:00Z,21.420000,21.660000,21.840000,21.240000,422526,reg
2025-08-05T00:00:00Z,21.740000,21.730000,22.390000,21.620000,529027,reg
2025-08-06T00:00:00Z,21.650000,23.620000,23.650000,21.234100,931224,reg
2025-08-07T00:00:00Z,23.730000,22.960000,23.850000,22.260000,700386,reg
2025-08-08T00:00:00Z,23.350000,25.310000,25.850000,23.230000,1881907,reg
2025-08-11T00:00:00Z,24.880000,24.370000,25.059000,23.690000,948848,reg
2025-08-12T00:00:00Z,24.590000,25.000000,25.180000,24.090100,1140334,reg
2025-08-13T00:00:00Z,25.190000,25.760000,25.800000,24.950000,579932,reg
2025-08-14T00:00:00Z,25.720000,25.170000,25.720000,24.730000,655713,reg
2025-08-15T00:00:00Z,25.240000,25.070000,25.640000,24.880000,1028034,reg
2025-08-18T00:00:00Z,25.120000,25.400000,25.900500,24.715000,869599,reg
2025-08-19T00:00:00Z,25.190000,24.450000,25.466000,24.000000,761349,reg
2025-08-20T00:00:00Z,24.280000,24.320000,24.540000,23.880000,433239,reg
2025-08-21T00:00:00Z,24.120000,24.440000,24.640000,23.685000,769489,reg
2025-08-22T00:00:00Z,24.610000,25.000000,25.650000,24.350000,680321,reg
2025-08-25T00:00:00Z,25.440000,24.700000,25.490000,24.535000,530976,reg
2025-08-26T00:00:00Z,24.580000,25.190000,25.450000,24.550000,1261008,reg
2025-08-27T00:00:00Z,25.020000,24.470000,25.030000,24.120000,682179,reg
2025-08-28T00:00:00Z,24.610000,23.950000,24.805000,23.810000,874692,reg
2025-08-29T00:00:00Z,24.040000,24.050000,24.350000,23.700000,850991,reg
2025-09-02T00:00:00Z,24.030000,24.630000,25.025000,23.975000,538701,reg
