begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,124.196000,120.924000,124.650000,120.101000,106933060,reg
2025-07-21T00:00:00Z,120.600000,123.327000,123.710000,119.800000,56275910,reg
2025-07-22T00:00:00Z,123.038000,119.008000,123.237000,118.750000,50629700,reg
2025-07-23T00:00:00Z,118.981000,117.678000,119.261940,117.360000,45042640,reg
2025-07-24T00:00:00Z,117.780000,118.076000,118.350000,116.266010,38455700,reg
2025-07-25T00:00:00Z,117.841500,118.049000,118.732000,117.438250,26292600,reg
2025-07-28T00:00:00Z,118.120000,117.460000,119.778990,116.853000,34469580,reg
2025-07-29T00:00:00Z,117.900000,116.874000,117.960000,116.329000,27524890,reg
2025-07-30T00:00:00Z,116.855000,118.420000,118.485000,116.610000,29227310,reg
2025-07-31T00:00:00Z,118.480000,115.940000,119.000000,115.774000,37129490,reg
2025-08-01T00:00:00Z,116.301000,115.860000,117.850500,115.285000,38909500,reg
2025-08-04T00:00:00Z,116.765000,117.099000,117.700000,116.261500,22447020,reg
2025-08-05T00:00:00Z,117.100000,114.787000,117.171000,114.471000,26607350,reg
2025-08-06T00:00:00Z,115.352000,117.848000,118.137500,115.187010,33621610,reg
2025-08-07T00:00:00Z,118.176000,118.037000,119.122000,116.820000,26283210,reg
2025-08-08T00:00:00Z,118.319000,121.164000,121.411000,118.037010,38166890,reg
2025-08-11T00:00:00Z,121.401000,121.831000,122.307000,120.193000,24556480,reg
2025-08-12T00:00:00Z,122.500000,122.528000,123.199000,120.650500,22826270,reg
2025-08-13T00:00:00Z,123.400000,120.444000,123.712000,120.300000,27623550,reg
2025-08-14T00:00:00Z,120.989000,123.056000,124.409000,120.703000,39046680,reg
2025-08-15T00:00:00Z,123.404000,123.895000,124.694100,122.788000,27678040,reg
2025-08-18T00:00:00Z,123.563000,124.509000,125.115990,123.545000,21110870,reg
2025-08-19T00:00:00Z,124.020000,121.415000,124.099990,119.279000,37077310,reg
2025-08-20T00:00:00Z,121.800000,121.386000,122.299990,119.331010,24343980,reg
2025-08-21T00:00:00Z,121.143000,120.621000,122.139990,119.763500,20471780,reg
2025-08-22T00:00:00Z,120.888000,120.465000,121.362000,119.823000,31281330,reg
2025-08-25T00:00:00Z,120.165000,121.807000,123.380000,119.900000,28120360,reg
2025-08-26T00:00:00Z,122.021000,122.609000,123.149990,121.220000,19857140,reg
2025-08-27T00:00:00Z,122.361000,122.350000,122.921000,121.300000,16645260,reg
2025-08-28T00:00:00Z,122.279000,123.145000,123.789100,121.426810,19503360,reg
2025-08-29T00:00:00Z,122.797000,120.825000,122.879000,120.115000,32098170,reg
2025-09-02T00:00:00Z,119.700000,121.411000,121.540000,118.280000,23032690,reg
2025-09-03T00:00:00Z,120.514000,122.618000,122.699990,120.338000,24714950,reg
2025-09-04T00:00:00Z,122.320000,125.748000,125.748000,122.309000,30235060,reg
2025-09-05T00:00:00Z,126.000000,124.382000,126.710000,123.902010,23796730,reg
2025-09-08T00:00:00Z,124.854000,124.476000,125.204050,123.200000,19150530,reg
2025-09-09T00:00:00Z,124.667000,126.325000,126.572100,124.667000,22196550,reg
