begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,73.275000,72.470000,73.275000,72.120000,8801019,reg
2025-07-21T00:00:00Z,72.930000,74.020000,74.810000,72.910000,12743932,reg
2025-07-22T00:00:00Z,74.070000,75.390000,75.540000,74.040000,11297526,reg
2025-07-23T00:00:00Z,76.150000,76.750000,77.210000,75.820000,16428064,reg
2025-07-24T00:00:00Z,76.510000,75.420000,77.540000,75.405000,10037823,reg
2025-07-25T00:00:00Z,75.910000,76.270000,76.570000,75.530000,7208387,reg
2025-07-28T00:00:00Z,79.000000,79.240000,79.990000,77.560000,22631087,reg
2025-07-29T00:00:00Z,78.760000,78.330000,79.370000,77.762700,12885505,reg
2025-07-30T00:00:00Z,77.780000,76.680000,78.300000,75.963600,14601692,reg
2025-07-31T00:00:00Z,76.350000,74.690000,76.400000,74.310000,16700030,reg
2025-08-01T00:00:00Z,73.445000,74.620000,74.700000,72.530000,11911586,reg
2025-08-04T00:00:00Z,75.030000,74.820000,75.255000,74.160000,8839008,reg
2025-08-05T00:00:00Z,74.910000,74.380000,75.710000,74.240000,6533788,reg
2025-08-06T00:00:00Z,74.470000,75.480000,75.980000,74.250000,7579794,reg
2025-08-07T00:00:00Z,76.320000,74.350000,76.350000,74.000000,8717603,reg
2025-08-08T00:00:00Z,74.200000,74.190000,74.960000,73.390000,6738987,reg
2025-08-11T00:00:00Z,74.320000,74.020000,74.790000,73.050000,6985681,reg
2025-08-12T00:00:00Z,74.720000,74.900000,75.721600,74.340000,6399721,reg
2025-08-13T00:00:00Z,75.480000,77.200000,77.685000,75.185000,13472551,reg
2025-08-14T00:00:00Z,75.910000,76.390000,76.600000,75.350000,7990497,reg
2025-08-15T00:00:00Z,76.740000,76.970000,77.500000,76.160100,9767746,reg
2025-08-18T00:00:00Z,77.110000,77.430000,78.255000,76.850000,9069079,reg
2025-08-19T00:00:00Z,78.200000,76.880000,78.790000,76.675000,7684807,reg
2025-08-20T00:00:00Z,76.690000,76.260000,77.560000,76.160000,6282604,reg
2025-08-21T00:00:00Z,75.700000,76.180000,76.225400,75.133500,6354912,reg
2025-08-22T00:00:00Z,76.540000,78.380000,79.135000,76.250000,10985948,reg
2025-08-25T00:00:00Z,78.470000,79.170000,80.165000,78.390000,12488938,reg
2025-08-26T00:00:00Z,78.995000,78.650000,79.480000,78.380000,6874765,reg
2025-08-27T00:00:00Z,78.960000,78.060000,79.510000,77.650000,12636742,reg
2025-08-28T00:00:00Z,78.580000,77.920000,78.660000,77.725000,7478609,reg
2025-08-29T00:00:00Z,77.750000,77.370000,79.130000,77.120000,14208813,reg
2025-09-02T00:00:00Z,75.640000,74.290000,76.050000,74.000000,15078709,reg
2025-09-03T00:00:00Z,74.400000,74.740000,75.180000,73.910000,8300061,reg
2025-09-04T00:00:00Z,74.750000,75.350000,75.770000,74.510000,11096158,reg
