begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,523.350000,519.040000,528.270000,515.640000,874064,reg
2025-07-21T00:00:00Z,518.310000,515.290000,523.980000,514.390000,832867,reg
2025-07-22T00:00:00Z,536.010000,563.790000,567.123400,535.520000,2395123,reg
2025-07-23T00:00:00Z,562.350000,568.500000,568.670000,551.805000,1251078,reg
2025-07-24T00:00:00Z,568.250000,568.480000,576.860000,566.580100,974954,reg
2025-07-25T00:00:00Z,568.000000,569.740000,570.155000,563.305000,635756,reg
2025-07-28T00:00:00Z,569.240000,568.620000,570.000000,563.640000,679713,reg
2025-07-29T00:00:00Z,571.400000,573.220000,573.300000,568.190000,682782,reg
2025-07-30T00:00:00Z,572.940000,572.810000,573.809900,568.711000,661769,reg
2025-07-31T00:00:00Z,572.000000,576.610000,577.380000,568.890100,850666,reg
2025-08-01T00:00:00Z,577.135000,586.440000,587.880000,572.950000,1006502,reg
2025-08-04T00:00:00Z,585.690000,589.750000,592.160000,584.125000,970347,reg
2025-08-05T00:00:00Z,590.220000,589.950000,594.680000,586.010000,905822,reg
2025-08-06T00:00:00Z,590.000000,589.290000,593.480000,586.700000,992555,reg
2025-08-07T00:00:00Z,583.210000,587.380000,588.230000,580.000000,626641,reg
2025-08-08T00:00:00Z,587.710000,581.110000,591.070000,579.150000,749480,reg
2025-08-11T00:00:00Z,579.810000,580.240000,583.775000,575.450000,744795,reg
2025-08-12T00:00:00Z,579.210000,580.800000,581.625000,577.620000,643893,reg
2025-08-13T00:00:00Z,582.490000,582.090000,586.886600,576.220000,745676,reg
2025-08-14T00:00:00Z,583.890000,583.720000,585.285000,580.935000,543334,reg
2025-08-15T00:00:00Z,583.410000,583.960000,586.750000,580.918600,667579,reg
2025-08-18T00:00:00Z,587.470000,584.820000,592.225000,583.540300,922401,reg
2025-08-19T00:00:00Z,584.000000,586.230000,589.480000,582.222500,470841,reg
2025-08-20T00:00:00Z,589.840000,592.540000,595.320000,587.770000,610481,reg
2025-08-21T00:00:00Z,593.000000,597.210000,598.830000,591.313000,610288,reg
2025-08-22T00:00:00Z,599.790000,592.440000,600.990000,591.367400,616735,reg
2025-08-25T00:00:00Z,592.000000,586.740000,595.400000,586.050000,478197,reg
2025-08-26T00:00:00Z,588.390000,593.020000,595.850000,588.115000,1002304,reg
2025-08-27T00:00:00Z,594.550000,586.610000,594.550000,585.037573,679475,reg
2025-08-28T00:00:00Z,586.610000,587.900000,587.940000,580.900000,479159,reg
2025-08-29T00:00:00Z,587.900000,590.040000,591.571800,587.080000,528588,reg
2025-09-02T00:00:00Z,591.880000,589.320000,596.164700,585.260000,635899,reg
2025-09-03T00:00:00Z,586.530000,581.010000,588.000000,577.690000,463170,reg
2025-09-04T00:00:00Z,581.710000,579.760000,581.940000,576.000000,505548,reg
2025-09-05T00:00:00Z,579.340000,580.800000,581.165000,574.820000,633710,reg
2025-09-08T00:00:00Z,574.990000,581.900000,582.130000,571.365000,814129,reg
2025-09-09T00:00:00Z,580.460000,571.630000,580.490000,571.440000,482591,reg
2025-09-10T00:00:00Z,571.240000,579.870000,580.840000,570.000000,547458,reg
2025-09-11T00:00:00Z,579.310000,582.950000,585.760000,578.000000,901131,reg
2025-09-12T00:00:00Z,582.340000,575.960000,583.130000,575.180000,717913,reg
2025-09-15T00:00:00Z,574.000000,574.540000,576.470000,571.115000,804620,reg
2025-09-16T00:00:00Z,578.000000,579.360000,587.240000,575.950000,1104597,reg
2025-09-17T00:00:00Z,579.100000,577.080000,585.000000,576.390100,790271,reg
2025-09-18T00:00:00Z,572.000000,573.750000,576.980000,568.320000,798950,reg
2025-09-19T00:00:00Z,571.910000,573.030000,576.150000,565.500000,1478380,reg
2025-09-22T00:00:00Z,573.690000,576.150000,577.647500,570.260000,566750,reg
2025-09-23T00:00:00Z,576.000000,577.080000,580.665000,571.080000,656281,reg
2025-09-24T00:00:00Z,580.640000,586.270000,589.600000,577.000000,784174,reg
2025-09-25T00:00:00Z,590.000000,585.770000,593.750000,582.485000,1074102,reg
2025-09-26T00:00:00Z,589.490000,594.520000,594.960000,586.850000,511016,reg
2025-09-29T00:00:00Z,598.310000,593.990000,604.125000,591.510000,777141,reg
2025-09-30T00:00:00Z,593.100000,609.320000,610.120000,593.100000,803097,reg
2025-10-01T00:00:00Z,607.220000,605.420000,610.850000,603.010000,558360,reg
2025-10-02T00:00:00Z,603.800000,605.010000,607.263500,601.960000,453946,reg
2025-10-03T00:00:00Z,607.000000,609.540000,610.640000,605.300000,435952,reg
2025-10-06T00:00:00Z,609.120000,618.520000,619.710000,609.000000,540307,reg
