begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,191.610000,192.680000,192.703000,189.946000,5778790,reg
2025-07-21T00:00:00Z,191.906000,191.982000,193.819420,191.600000,5563860,reg
2025-07-22T00:00:00Z,192.756000,192.474000,194.792000,191.368000,5878685,reg
2025-07-23T00:00:00Z,189.572000,191.286000,193.370000,189.572000,9920150,reg
2025-07-24T00:00:00Z,206.932000,199.236000,210.200000,196.400000,20350260,reg
2025-07-25T00:00:00Z,200.024000,193.758000,200.200000,192.816260,9998140,reg
2025-07-28T00:00:00Z,195.200000,197.150000,199.208000,195.196000,7374005,reg
2025-07-29T00:00:00Z,198.306000,198.640000,201.150000,196.456000,6038695,reg
2025-07-30T00:00:00Z,198.318000,195.496000,198.605000,194.600000,5470860,reg
2025-07-31T00:00:00Z,196.400000,188.624000,196.400000,188.012000,10659520,reg
2025-08-01T00:00:00Z,187.458000,182.874000,187.458000,181.897000,9055625,reg
2025-08-04T00:00:00Z,183.703000,184.600000,185.916940,183.052000,6427550,reg
2025-08-05T00:00:00Z,184.400000,181.024000,185.100000,180.890000,7242325,reg
2025-08-06T00:00:00Z,182.320000,182.462000,182.610000,180.566000,5342810,reg
2025-08-07T00:00:00Z,184.400000,174.824000,184.577000,172.400000,13993435,reg
2025-08-08T00:00:00Z,175.678000,174.502000,176.400000,172.428000,9514095,reg
2025-08-11T00:00:00Z,173.584000,171.274000,175.995800,170.179000,11848975,reg
2025-08-12T00:00:00Z,171.562000,170.686000,171.946000,168.006000,14351995,reg
2025-08-13T00:00:00Z,172.114000,172.660000,172.880120,168.540000,12267840,reg
2025-08-14T00:00:00Z,171.232000,170.172000,172.596000,169.268020,8941340,reg
2025-08-15T00:00:00Z,170.354000,173.448000,173.588000,169.724000,8794060,reg
2025-08-18T00:00:00Z,173.290000,178.410000,178.448000,173.074000,12886925,reg
2025-08-19T00:00:00Z,178.680000,177.356000,180.182000,176.191460,10921115,reg
