begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-18T00:00:00Z,140.850000,140.630000,141.195000,139.260000,1492271,reg
2025-07-21T00:00:00Z,143.080000,142.150000,144.115000,141.745000,1362104,reg
2025-07-22T00:00:00Z,142.130000,143.770000,144.440000,141.308100,1473494,reg
2025-07-23T00:00:00Z,144.470000,145.000000,146.147800,144.160000,1685220,reg
2025-07-24T00:00:00Z,143.680000,141.430000,144.420000,140.630000,2069762,reg
2025-07-25T00:00:00Z,141.810000,145.830000,146.000000,140.300000,1983687,reg
2025-07-28T00:00:00Z,145.830000,144.520000,147.150000,144.060000,2404202,reg
2025-07-29T00:00:00Z,134.750000,140.640000,141.040000,134.033100,4232670,reg
2025-07-30T00:00:00Z,140.670000,142.950000,143.680000,139.100000,2675237,reg
2025-07-31T00:00:00Z,142.560000,143.070000,144.670000,141.450000,2753314,reg
2025-08-01T00:00:00Z,139.380000,138.670000,140.290000,137.310000,1721233,reg
2025-08-04T00:00:00Z,138.710000,136.980000,139.890000,136.900000,1190932,reg
2025-08-05T00:00:00Z,137.050000,139.450000,139.940000,136.683300,1035332,reg
2025-08-06T00:00:00Z,138.730000,138.520000,139.500000,137.740100,851970,reg
2025-08-07T00:00:00Z,140.490000,137.790000,141.650000,136.360000,1226002,reg
2025-08-08T00:00:00Z,138.760000,138.980000,139.785000,137.830000,1066787,reg
2025-08-11T00:00:00Z,138.580000,137.720000,138.650000,135.800000,1474306,reg
2025-08-12T00:00:00Z,139.000000,141.430000,142.390000,138.450100,1011360,reg
2025-08-13T00:00:00Z,142.000000,145.840000,146.100000,141.710000,1342692,reg
2025-08-14T00:00:00Z,143.330000,144.350000,144.560000,141.610000,1155067,reg
2025-08-15T00:00:00Z,151.000000,145.410000,151.319900,144.840000,2180300,reg
2025-08-18T00:00:00Z,145.680000,144.650000,147.650000,144.290000,1118470,reg
2025-08-19T00:00:00Z,145.210000,145.910000,147.450000,144.230000,1383684,reg
2025-08-20T00:00:00Z,146.220000,143.470000,146.220000,143.150000,1190858,reg
2025-08-21T00:00:00Z,142.740000,143.250000,143.970000,142.400000,986532,reg
2025-08-22T00:00:00Z,143.330000,147.930000,148.988300,143.330000,1410287,reg
2025-08-25T00:00:00Z,148.330000,149.550000,150.305000,148.305000,1083741,reg
2025-08-26T00:00:00Z,149.200000,147.950000,151.050000,147.440000,1469438,reg
2025-08-27T00:00:00Z,147.450000,150.330000,150.660000,147.200000,943354,reg
2025-08-28T00:00:00Z,151.060000,149.800000,151.160000,148.040000,1083528,reg
2025-08-29T00:00:00Z,149.890000,148.730000,150.750000,148.287500,911785,reg
2025-09-02T00:00:00Z,145.960000,146.400000,147.000000,144.049900,1202548,reg
2025-09-03T00:00:00Z,146.190000,145.210000,146.190000,142.730000,1125013,reg
2025-09-04T00:00:00Z,144.900000,144.940000,145.160000,142.300000,1141327,reg
2025-09-05T00:00:00Z,146.530000,147.260000,150.240000,145.280000,1374922,reg
2025-09-08T00:00:00Z,147.580000,144.020000,147.580000,143.530000,2331288,reg
2025-09-09T00:00:00Z,144.720000,141.020000,146.115000,140.980000,1689721,reg
2025-09-10T00:00:00Z,141.420000,141.880000,143.750000,141.170000,1439174,reg
2025-09-11T00:00:00Z,141.780000,143.750000,145.665000,141.580000,1515286,reg
2025-09-12T00:00:00Z,143.280000,141.350000,143.580000,141.260000,930141,reg
2025-09-15T00:00:00Z,141.100000,141.570000,142.170000,139.220000,1548027,reg
2025-09-16T00:00:00Z,142.640000,142.930000,144.920000,141.990000,2037451,reg
