begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-21T00:00:00Z,92.260000,94.150000,94.640000,92.185000,5306847,reg
2025-07-22T00:00:00Z,93.935000,95.350000,95.580000,93.760000,5070320,reg
2025-07-23T00:00:00Z,95.090000,95.420000,95.520000,94.430000,5144720,reg
2025-07-24T00:00:00Z,95.780000,98.160000,100.100000,95.330000,8587195,reg
2025-07-25T00:00:00Z,99.240000,97.660000,99.650000,97.430000,5514115,reg
2025-07-28T00:00:00Z,97.650000,97.330000,98.440000,97.080000,3657812,reg
2025-07-29T00:00:00Z,97.650000,98.900000,99.590000,97.455000,4922472,reg
2025-07-30T00:00:00Z,99.010000,99.380000,100.600000,98.810000,5164975,reg
2025-07-31T00:00:00Z,98.760000,98.320000,99.970000,98.100000,5581758,reg
2025-08-01T00:00:00Z,99.100000,99.120000,99.795000,97.880000,4719271,reg
2025-08-04T00:00:00Z,99.410000,101.370000,101.740000,99.120000,4339358,reg
2025-08-05T00:00:00Z,101.390000,102.230000,102.480000,101.160000,4039066,reg
2025-08-06T00:00:00Z,102.660000,104.440000,104.670000,102.560000,6061792,reg
2025-08-07T00:00:00Z,104.830000,103.470000,104.860000,102.920000,5632707,reg
2025-08-08T00:00:00Z,103.380000,103.330000,104.180000,103.190000,3677004,reg
2025-08-11T00:00:00Z,103.360000,103.600000,103.708100,102.800000,4004921,reg
2025-08-12T00:00:00Z,103.250000,101.890000,103.490000,101.415000,4259072,reg
2025-08-13T00:00:00Z,101.950000,102.640000,103.240000,101.910000,4102007,reg
2025-08-14T00:00:00Z,102.940000,101.500000,103.335400,101.400000,7244503,reg
2025-08-15T00:00:00Z,101.860000,101.540000,101.910000,100.840000,4281308,reg
2025-08-18T00:00:00Z,101.910000,101.390000,102.120000,100.990000,4170676,reg
2025-08-19T00:00:00Z,101.560000,103.060000,103.100000,101.410000,4250099,reg
2025-08-20T00:00:00Z,103.890000,104.000000,104.530000,103.135000,5341050,reg
2025-08-21T00:00:00Z,103.710000,102.870000,104.500000,102.840000,4173782,reg
2025-08-22T00:00:00Z,103.370000,102.310000,104.000000,102.030000,3483902,reg
2025-08-25T00:00:00Z,102.320000,102.470000,102.871400,101.807500,3102470,reg
2025-08-26T00:00:00Z,102.430000,103.180000,103.980000,102.000000,4899048,reg
2025-08-27T00:00:00Z,103.525000,104.050000,104.135000,103.040100,3139205,reg
2025-08-28T00:00:00Z,103.830000,103.990000,104.120000,103.270500,2961195,reg
2025-08-29T00:00:00Z,104.190000,103.680000,104.415000,103.350000,2952723,reg
2025-09-02T00:00:00Z,103.750000,103.190000,104.350000,102.870000,3698028,reg
2025-09-03T00:00:00Z,103.120000,103.840000,103.950000,102.950000,3123283,reg
2025-09-04T00:00:00Z,104.020000,105.040000,105.130000,103.770000,3597911,reg
2025-09-05T00:00:00Z,105.315000,104.840000,105.315000,103.595000,4202700,reg
2025-09-08T00:00:00Z,104.940000,106.400000,106.545000,104.890000,4361074,reg
2025-09-09T00:00:00Z,105.740000,106.920000,107.080000,105.020000,3533874,reg
2025-09-10T00:00:00Z,106.660000,105.110000,107.200000,104.650000,4999967,reg
2025-09-11T00:00:00Z,105.660000,107.820000,108.070000,105.510000,5271967,reg
2025-09-12T00:00:00Z,107.430000,107.500000,108.420000,107.200000,4783128,reg
