begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-21T00:00:00Z,23.050000,23.840000,23.950000,21.500000,25902,reg
2025-07-22T00:00:00Z,23.630000,23.120000,23.630000,23.120000,22887,reg
2025-07-23T00:00:00Z,20.010000,20.840000,21.740000,19.950100,1485369,reg
2025-07-24T00:00:00Z,20.760000,20.050000,21.300000,20.045000,275734,reg
2025-07-25T00:00:00Z,20.300000,20.620000,20.640000,19.705000,709620,reg
2025-07-28T00:00:00Z,20.680000,20.000000,20.950000,19.880000,120513,reg
2025-07-29T00:00:00Z,20.220000,19.610000,20.220000,19.400000,47192,reg
2025-07-30T00:00:00Z,19.610000,19.790000,20.350000,19.190000,109598,reg
2025-07-31T00:00:00Z,19.535000,19.880000,20.490000,19.260000,69310,reg
2025-08-01T00:00:00Z,19.830000,20.000000,20.210000,19.120000,145311,reg
2025-08-04T00:00:00Z,20.030000,21.235000,21.800000,20.030000,165357,reg
2025-08-05T00:00:00Z,20.950000,21.000000,22.300000,20.755000,117893,reg
2025-08-06T00:00:00Z,20.880000,21.230000,22.120000,20.880000,50880,reg
2025-08-07T00:00:00Z,20.480000,20.320000,21.480000,20.060000,93425,reg
2025-08-08T00:00:00Z,20.230000,20.120000,20.870000,19.580800,123961,reg
2025-08-11T00:00:00Z,19.950000,20.840000,20.930000,19.560000,99718,reg
2025-08-12T00:00:00Z,21.070000,21.090000,21.250000,20.360000,60385,reg
2025-08-13T00:00:00Z,21.580000,21.430000,21.759900,21.010000,26051,reg
2025-08-14T00:00:00Z,21.270000,22.990000,23.090000,21.010100,75804,reg
2025-08-15T00:00:00Z,23.190000,22.300000,23.731700,22.070000,167398,reg
2025-08-18T00:00:00Z,22.110000,22.160000,22.535000,21.560000,49775,reg
2025-08-19T00:00:00Z,22.140000,23.260000,23.732700,21.900000,366716,reg
2025-08-20T00:00:00Z,23.110000,23.000000,23.988900,22.600000,96835,reg
2025-08-21T00:00:00Z,22.710000,23.350000,24.010000,22.710000,158956,reg
2025-08-22T00:00:00Z,23.670000,23.120000,23.770000,22.855000,53502,reg
2025-08-25T00:00:00Z,23.050000,23.650000,24.960000,22.935000,116527,reg
2025-08-26T00:00:00Z,23.730400,24.000000,24.270000,23.730000,323333,reg
2025-08-27T00:00:00Z,24.130000,23.780000,24.520000,23.600000,39052,reg
2025-08-28T00:00:00Z,23.995000,22.840000,24.000000,22.840000,43606,reg
2025-08-29T00:00:00Z,22.830000,21.650000,23.370000,21.340000,141990,reg
2025-09-02T00:00:00Z,21.500000,22.500000,22.964100,21.500000,141715,reg
2025-09-03T00:00:00Z,22.520000,21.910000,22.850000,21.910000,73840,reg
2025-09-04T00:00:00Z,21.950000,21.980000,22.560000,21.410000,94393,reg
2025-09-05T00:00:00Z,21.780000,23.050000,23.480000,21.420000,259519,reg
2025-09-08T00:00:00Z,23.990000,21.830000,23.990000,21.780000,119117,reg
2025-09-09T00:00:00Z,21.910000,23.940000,24.230000,21.500000,228400,reg
2025-09-10T00:00:00Z,23.700000,23.250000,24.830000,23.220000,61502,reg
2025-09-11T00:00:00Z,23.390000,23.500000,24.070000,23.390000,61075,reg
2025-09-12T00:00:00Z,23.530000,23.200000,23.730000,23.200000,55526,reg
2025-09-15T00:00:00Z,24.020000,23.380000,24.020000,23.231000,74157,reg
2025-09-16T00:00:00Z,23.680000,23.810000,23.960000,23.300000,157557,reg
2025-09-17T00:00:00Z,24.000000,24.080000,24.750000,23.605000,637756,reg
2025-09-18T00:00:00Z,24.000000,24.540000,25.120000,23.960000,135399,reg
2025-09-19T00:00:00Z,24.410000,25.360000,25.390000,23.955000,382967,reg
2025-09-22T00:00:00Z,25.880000,24.990000,25.880000,24.470000,314197,reg
2025-09-23T00:00:00Z,24.770000,24.900000,25.350000,24.710000,201361,reg
2025-09-24T00:00:00Z,25.160000,24.420000,25.500000,24.420000,545429,reg
2025-09-25T00:00:00Z,24.260000,24.580000,25.180000,24.010000,131211,reg
2025-09-26T00:00:00Z,24.510000,24.165000,24.935000,23.860000,81484,reg
2025-09-29T00:00:00Z,24.400000,24.260000,24.730000,23.325000,243721,reg
2025-09-30T00:00:00Z,24.270000,24.950000,25.565000,24.050000,865302,reg
2025-10-01T00:00:00Z,25.000000,24.060000,25.440000,24.055000,106904,reg
