begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-21T00:00:00Z,91.220000,89.950000,91.870000,89.645000,410112,reg
2025-07-22T00:00:00Z,89.950000,89.920000,90.450000,89.140000,425493,reg
2025-07-23T00:00:00Z,89.930000,90.790000,91.060000,89.280000,291957,reg
2025-07-24T00:00:00Z,90.500000,89.410000,90.850000,89.310000,329654,reg
2025-07-25T00:00:00Z,89.800000,89.230000,90.820000,88.695000,369306,reg
2025-07-28T00:00:00Z,89.800000,90.750000,90.950000,89.450000,444948,reg
2025-07-29T00:00:00Z,92.270000,90.400000,92.660000,89.990000,664903,reg
2025-07-30T00:00:00Z,90.460000,89.990000,92.040000,89.781000,964048,reg
2025-07-31T00:00:00Z,88.620000,81.200000,90.080000,80.775000,2307847,reg
2025-08-01T00:00:00Z,79.200000,76.530000,79.235000,76.295000,1368627,reg
2025-08-04T00:00:00Z,77.260000,78.750000,79.330000,76.860000,1371753,reg
2025-08-05T00:00:00Z,78.700000,76.950000,78.830000,76.350000,1553767,reg
2025-08-06T00:00:00Z,76.500000,75.560000,77.000000,74.880000,2571840,reg
2025-08-07T00:00:00Z,77.000000,74.620000,77.000000,73.815000,1305055,reg
2025-08-08T00:00:00Z,75.410000,73.630000,75.410000,73.560000,981844,reg
2025-08-11T00:00:00Z,74.090000,73.380000,75.070000,73.340000,983167,reg
2025-08-12T00:00:00Z,74.150000,75.140000,75.540000,73.280000,1044972,reg
2025-08-13T00:00:00Z,76.000000,76.390000,76.542500,75.185000,736521,reg
2025-08-14T00:00:00Z,75.750000,74.800000,76.220000,74.230000,660139,reg
2025-08-15T00:00:00Z,75.130000,74.560000,75.630000,74.330000,737583,reg
2025-08-18T00:00:00Z,74.800000,75.710000,75.790000,74.520000,968618,reg
2025-08-19T00:00:00Z,75.720000,75.350000,76.070000,74.685000,756915,reg
2025-08-20T00:00:00Z,74.930000,75.460000,75.630000,74.705000,590740,reg
2025-08-21T00:00:00Z,75.470000,75.640000,75.850000,74.630000,591259,reg
2025-08-22T00:00:00Z,76.330000,79.520000,80.140000,75.780000,1043099,reg
2025-08-25T00:00:00Z,79.000000,77.310000,79.107500,77.110000,626840,reg
2025-08-26T00:00:00Z,77.170000,76.720000,78.110000,76.530000,1170153,reg
2025-08-27T00:00:00Z,76.810000,78.150000,78.190000,76.665000,631856,reg
2025-08-28T00:00:00Z,78.850000,78.830000,79.420000,78.310000,559547,reg
2025-08-29T00:00:00Z,78.760000,78.730000,79.155000,78.025000,727684,reg
2025-09-02T00:00:00Z,77.280000,76.730000,77.750000,75.910000,1143363,reg
2025-09-03T00:00:00Z,76.590000,77.400000,77.520000,76.040000,639428,reg
2025-09-04T00:00:00Z,77.400000,77.270000,77.585000,76.110000,716289,reg
2025-09-05T00:00:00Z,78.000000,78.810000,79.605000,77.630000,713557,reg
2025-09-08T00:00:00Z,81.670000,84.040000,84.960000,79.950000,3177882,reg
2025-09-09T00:00:00Z,83.700000,84.150000,84.620000,82.910000,1244644,reg
2025-09-10T00:00:00Z,84.320000,82.110000,85.190000,81.905000,1216428,reg
2025-09-11T00:00:00Z,82.480000,82.720000,83.240000,81.860000,1041944,reg
2025-09-12T00:00:00Z,82.480000,82.180000,83.130000,81.265000,890214,reg
2025-09-15T00:00:00Z,82.600000,82.910000,83.730000,82.300000,894557,reg
2025-09-16T00:00:00Z,82.670000,81.540000,82.870000,81.400000,1025296,reg
2025-09-17T00:00:00Z,82.010000,82.990000,85.130000,81.540000,1092373,reg
2025-09-18T00:00:00Z,83.940000,84.240000,85.010000,83.330000,2639856,reg
2025-09-19T00:00:00Z,84.430000,78.180000,84.700000,77.570000,13172996,reg
2025-09-22T00:00:00Z,78.150000,78.800000,79.390000,77.280000,1414035,reg
2025-09-23T00:00:00Z,78.730000,76.750000,79.180000,76.220000,1428431,reg
