begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-21T00:00:00Z,543.440000,545.530000,552.980000,542.500000,709159,reg
2025-07-22T00:00:00Z,546.920000,560.930000,563.000000,546.920000,976733,reg
2025-07-23T00:00:00Z,568.120000,572.390000,576.700000,563.005000,891360,reg
2025-07-24T00:00:00Z,572.540000,564.640000,577.729900,563.670000,1037662,reg
2025-07-25T00:00:00Z,565.410000,563.100000,567.210300,555.500000,755848,reg
2025-07-28T00:00:00Z,563.530000,558.630000,567.948300,558.540000,588433,reg
2025-07-29T00:00:00Z,558.000000,558.145000,559.610000,552.000000,814915,reg
2025-07-30T00:00:00Z,560.450000,554.580000,563.590000,550.490000,564909,reg
2025-07-31T00:00:00Z,550.010000,545.460000,558.130000,541.612500,1413850,reg
2025-08-01T00:00:00Z,583.010000,558.870000,583.280000,542.890000,1656806,reg
2025-08-04T00:00:00Z,566.980000,571.540000,577.210000,562.010000,1362681,reg
2025-08-05T00:00:00Z,570.250000,569.900000,579.820000,568.500000,993471,reg
2025-08-06T00:00:00Z,569.000000,555.130000,573.465000,550.495000,865190,reg
2025-08-07T00:00:00Z,557.660000,559.800000,565.480000,553.050000,811334,reg
2025-08-08T00:00:00Z,559.800000,563.000000,567.690000,558.061800,1024326,reg
2025-08-11T00:00:00Z,561.520000,545.940000,572.579900,544.160000,1104021,reg
2025-08-12T00:00:00Z,547.940000,556.555000,562.743400,547.085000,766066,reg
2025-08-13T00:00:00Z,557.080000,561.550000,565.500000,552.000000,1096184,reg
2025-08-14T00:00:00Z,560.900000,565.970000,573.486000,558.000000,976320,reg
2025-08-15T00:00:00Z,577.960000,580.410000,581.950000,570.840000,1122244,reg
2025-08-18T00:00:00Z,582.090000,573.910000,585.000000,573.810000,769389,reg
2025-08-19T00:00:00Z,575.300000,571.780000,581.688500,570.800000,854756,reg
2025-08-20T00:00:00Z,572.330000,591.010000,596.922400,570.390000,1298657,reg
2025-08-21T00:00:00Z,586.870000,598.160000,605.180000,585.103400,1010305,reg
2025-08-22T00:00:00Z,602.350000,589.480000,610.450000,585.500000,1439350,reg
2025-08-25T00:00:00Z,591.060000,572.380000,594.880000,572.250000,881012,reg
2025-08-26T00:00:00Z,573.000000,587.650000,588.100000,567.080000,1614497,reg
2025-08-27T00:00:00Z,591.870000,586.960000,597.020000,585.500000,584150,reg
2025-08-28T00:00:00Z,586.430000,579.610000,590.955000,575.040000,616620,reg
2025-08-29T00:00:00Z,577.150000,580.700000,581.245000,575.887100,574375,reg
2025-09-02T00:00:00Z,580.540000,577.900000,585.490000,570.350000,1020575,reg
2025-09-03T00:00:00Z,581.990000,563.800000,588.699900,562.785000,1118627,reg
2025-09-04T00:00:00Z,568.010000,567.220000,581.980000,559.620000,1124613,reg
2025-09-05T00:00:00Z,565.150000,573.380000,577.750000,565.000000,960386,reg
2025-09-08T00:00:00Z,571.200000,558.440000,571.200000,552.810000,1250565,reg
2025-09-09T00:00:00Z,557.000000,556.530000,563.565000,554.800000,873267,reg
2025-09-10T00:00:00Z,555.210000,555.830000,560.000000,552.980000,874725,reg
2025-09-11T00:00:00Z,555.810000,568.200000,570.760000,555.810000,868393,reg
2025-09-12T00:00:00Z,567.340000,560.000000,570.000000,559.450000,602753,reg
2025-09-15T00:00:00Z,558.540000,572.590000,573.690000,558.540000,995857,reg
2025-09-16T00:00:00Z,573.430000,575.060000,579.400000,567.305000,708090,reg
2025-09-17T00:00:00Z,576.310000,585.500000,587.670000,576.310000,921792,reg
2025-09-18T00:00:00Z,589.520000,598.710000,600.000000,583.920000,1267122,reg
2025-09-19T00:00:00Z,602.540000,591.990000,603.465000,591.000000,2178008,reg
2025-09-22T00:00:00Z,593.000000,595.680000,600.750000,588.673400,904972,reg
2025-09-23T00:00:00Z,580.000000,567.890000,581.999900,565.450000,1362191,reg
2025-09-24T00:00:00Z,567.890000,576.980000,577.980000,566.000000,777700,reg
2025-09-25T00:00:00Z,577.300000,555.510000,579.000000,549.200000,1394243,reg
2025-09-26T00:00:00Z,562.000000,563.900000,564.610000,550.710100,838628,reg
2025-09-29T00:00:00Z,563.900000,560.750000,564.910000,557.340000,922537,reg
2025-09-30T00:00:00Z,560.580000,562.270000,574.040000,555.000100,1662880,reg
2025-10-01T00:00:00Z,570.870000,599.940000,615.390000,569.990000,2083171,reg
2025-10-02T00:00:00Z,600.420000,600.000000,605.412500,596.600000,1096615,reg
2025-10-03T00:00:00Z,602.090000,600.000000,618.010000,599.870000,1154866,reg
2025-10-06T00:00:00Z,602.000000,585.480000,603.650000,584.406300,1072437,reg
2025-10-07T00:00:00Z,587.590000,583.240000,591.449900,578.420000,656378,reg
2025-10-08T00:00:00Z,584.010000,563.860000,605.000000,560.970000,1415840,reg
2025-10-09T00:00:00Z,569.020000,569.900000,574.720000,563.510000,853522,reg
2025-10-10T00:00:00Z,569.290000,564.630000,577.170000,555.545000,1495028,reg
2025-10-13T00:00:00Z,551.500000,557.730000,563.770000,541.000000,1426513,reg
2025-10-14T00:00:00Z,556.920000,572.600000,576.180000,553.865000,1010700,reg
2025-10-15T00:00:00Z,575.030000,576.420000,584.865000,569.020000,927747,reg
2025-10-16T00:00:00Z,583.010000,569.170000,589.080000,564.000000,842249,reg
2025-10-17T00:00:00Z,570.350000,578.050000,579.045000,566.110000,745708,reg
2025-10-20T00:00:00Z,579.410000,576.770000,582.645000,574.230000,639173,reg
2025-10-21T00:00:00Z,574.600000,579.340000,582.405000,572.820000,651765,reg
2025-10-22T00:00:00Z,580.210000,584.740000,588.705000,578.600000,691262,reg
2025-10-23T00:00:00Z,579.680000,575.690000,584.001000,572.745400,779106,reg
