begins_at,open_price,close_price,high_price,low_price,volume,session
2025-07-21T00:00:00Z,199.150000,194.670000,199.150000,192.440000,738428,reg
2025-07-22T00:00:00Z,196.020000,212.790000,213.660000,194.695000,1925813,reg
2025-07-23T00:00:00Z,215.200000,221.000000,223.540000,215.200000,1280430,reg
2025-07-24T00:00:00Z,218.450000,212.740000,224.220000,211.750000,901288,reg
2025-07-25T00:00:00Z,213.160000,213.800000,215.353000,208.570000,749765,reg
2025-07-28T00:00:00Z,217.790000,218.170000,222.490000,212.000000,825124,reg
2025-07-29T00:00:00Z,216.550000,211.530000,219.550000,210.180000,730656,reg
2025-07-30T00:00:00Z,214.790000,207.720000,216.720000,205.080000,862801,reg
2025-07-31T00:00:00Z,206.000000,205.620000,209.040000,203.035000,762535,reg
2025-08-01T00:00:00Z,199.860000,200.760000,204.140000,191.590100,1315081,reg
2025-08-04T00:00:00Z,208.500000,216.890000,220.920000,207.410000,1454192,reg
2025-08-05T00:00:00Z,217.680000,217.990000,221.000000,212.190100,855363,reg
2025-08-06T00:00:00Z,217.330000,213.020000,220.610000,212.770000,591144,reg
2025-08-07T00:00:00Z,223.085000,213.060000,229.850000,208.200000,1390300,reg
2025-08-08T00:00:00Z,214.350000,215.040000,216.000000,211.670000,613917,reg
2025-08-11T00:00:00Z,215.000000,214.920000,219.000000,213.650000,804469,reg
2025-08-12T00:00:00Z,218.450000,237.290000,238.090000,217.505000,1590860,reg
2025-08-13T00:00:00Z,239.000000,245.680000,248.380000,233.890000,1386811,reg
2025-08-14T00:00:00Z,236.050000,235.100000,237.000000,229.170000,1146033,reg
2025-08-15T00:00:00Z,237.000000,233.760000,240.000000,233.340000,552489,reg
2025-08-18T00:00:00Z,233.470000,229.210000,235.318600,228.690000,690856,reg
2025-08-19T00:00:00Z,233.140000,231.530000,240.959900,228.100000,839064,reg
2025-08-20T00:00:00Z,228.375000,216.610000,228.375000,213.760000,1422427,reg
2025-08-21T00:00:00Z,212.890000,218.790000,219.135000,210.500000,919099,reg
2025-08-22T00:00:00Z,222.460000,243.710000,245.250000,219.800000,1819037,reg
2025-08-25T00:00:00Z,225.540000,230.720000,233.450000,219.260100,1956731,reg
2025-08-26T00:00:00Z,229.660000,221.190000,233.990000,218.310000,1072963,reg
2025-08-27T00:00:00Z,224.940000,228.000000,231.911400,222.040000,1049953,reg
2025-08-28T00:00:00Z,231.690000,229.220000,233.800000,226.000000,586443,reg
2025-08-29T00:00:00Z,228.700000,225.670000,230.699900,224.560000,586859,reg
2025-09-02T00:00:00Z,218.885000,221.720000,223.900000,218.000000,612436,reg
2025-09-03T00:00:00Z,220.000000,221.220000,224.030000,217.670000,731689,reg
2025-09-04T00:00:00Z,220.840000,235.240000,235.840000,219.635000,1022063,reg
2025-09-05T00:00:00Z,248.700000,251.000000,257.000000,246.375000,1656257,reg
2025-09-08T00:00:00Z,252.310000,240.990000,253.050000,237.600000,1198439,reg
2025-09-09T00:00:00Z,240.040000,232.980000,240.375000,228.510000,1005305,reg
2025-09-10T00:00:00Z,236.100000,228.930000,238.000000,226.890000,867900,reg
2025-09-11T00:00:00Z,231.120000,228.120000,232.437600,226.250000,3101722,reg
2025-09-12T00:00:00Z,218.180000,217.620000,232.000000,214.915000,4111677,reg
2025-09-15T00:00:00Z,218.700000,222.830000,226.630000,215.510000,987076,reg
2025-09-16T00:00:00Z,223.000000,230.700000,231.350000,219.000000,1008208,reg
2025-09-17T00:00:00Z,233.310000,229.510000,248.440000,229.490000,1407761,reg
2025-09-18T00:00:00Z,230.410000,233.460000,234.350000,225.000000,1012021,reg
2025-09-19T00:00:00Z,234.120000,224.700000,237.000000,224.670000,1198586,reg
2025-09-22T00:00:00Z,221.160000,217.790000,223.380000,217.646400,1022080,reg
2025-09-23T00:00:00Z,218.980000,218.440000,224.684400,216.340000,858960,reg
2025-09-24T00:00:00Z,218.440000,212.620000,221.709900,212.570000,998752,reg
2025-09-25T00:00:00Z,207.520000,211.300000,216.690000,205.450000,1118478,reg
2025-09-26T00:00:00Z,208.950000,202.500000,214.540000,201.110000,1582117,reg
2025-09-29T00:00:00Z,200.630000,197.840000,202.020000,191.571000,1479989,reg
2025-09-30T00:00:00Z,204.050000,203.160000,207.680000,197.700000,1008648,reg
2025-10-01T00:00:00Z,202.610000,200.800000,204.014600,195.690000,683849,reg
2025-10-02T00:00:00Z,197.000000,203.790000,205.950000,196.100000,673769,reg
2025-10-03T00:00:00Z,207.010000,207.500000,212.360000,205.840000,833627,reg
2025-10-06T00:00:00Z,209.280000,200.000000,209.999900,199.720000,878481,reg
2025-10-07T00:00:00Z,201.680000,196.440000,201.680000,195.179000,672279,reg
2025-10-08T00:00:00Z,196.670000,199.260000,200.340000,194.060000,549259,reg
2025-10-09T00:00:00Z,198.150000,185.310000,199.499900,184.645000,1519490,reg
2025-10-10T00:00:00Z,185.480000,173.370000,186.075000,171.220000,1748436,reg
2025-10-13T00:00:00Z,178.120000,181.560000,183.170000,175.980100,1292415,reg
2025-10-14T00:00:00Z,176.800000,183.140000,186.105000,175.290000,861216,reg
2025-10-15T00:00:00Z,184.000000,176.560000,186.290000,176.520000,797022,reg
2025-10-16T00:00:00Z,180.360000,176.160000,180.360000,172.560000,721898,reg
2025-10-17T00:00:00Z,175.670000,174.270000,176.420000,172.120000,693097,reg
2025-10-20T00:00:00Z,176.600000,179.680000,180.075000,175.363100,855557,reg
2025-10-21T00:00:00Z,178.100000,185.700000,186.750000,176.390100,920757,reg
2025-10-22T00:00:00Z,183.470000,178.810000,184.950000,175.000000,869241,reg
2025-10-23T00:00:00Z,178.800000,180.590000,182.499900,175.740000,558242,reg
2025-10-24T00:00:00Z,185.000000,180.960000,186.499900,180.225000,677786,reg
2025-10-27T00:00:00Z,184.500000,188.230000,191.390000,184.210000,961859,reg
2025-10-28T00:00:00Z,193.875000,193.250000,202.400000,188.720000,1538615,reg
2025-10-29T00:00:00Z,189.660000,184.310000,193.839900,183.450000,759876,reg
2025-10-30T00:00:00Z,181.260000,175.450000,182.520000,175.180000,869535,reg
2025-10-31T00:00:00Z,175.670000,172.490000,176.649800,171.050000,811374,reg
2025-11-03T00:00:00Z,169.430000,170.070000,171.889900,167.500000,835746,reg
2025-11-04T00:00:00Z,168.000000,163.710000,169.000000,163.030000,797635,reg
2025-11-05T00:00:00Z,164.450000,166.190000,173.850000,161.010000,1267613,reg
2025-11-06T00:00:00Z,163.900000,158.060000,166.490000,156.670000,1005961,reg
2025-11-07T00:00:00Z,155.720000,162.180000,163.610000,155.509100,930012,reg
2025-11-10T00:00:00Z,163.870000,157.770000,164.900000,155.600000,898945,reg
2025-11-11T00:00:00Z,158.270000,162.180000,167.600000,156.000000,954707,reg
2025-11-12T00:00:00Z,163.840000,161.020000,166.379900,159.660000,538176,reg
2025-11-13T00:00:00Z,161.030000,158.320000,165.007900,157.500000,714503,reg
2025-11-14T00:00:00Z,155.160000,149.410000,156.050000,148.000000,1163331,reg
2025-11-17T00:00:00Z,148.930000,142.500000,149.907900,140.880000,1043665,reg
2025-11-18T00:00:00Z,139.890000,141.550000,145.050000,139.000100,931125,reg
2025-11-19T00:00:00Z,142.860000,146.750000,151.419900,141.010000,1111780,reg
2025-11-20T00:00:00Z,148.170000,139.540000,150.699900,139.010000,1002923,reg
2025-11-21T00:00:00Z,140.810000,153.080000,154.840000,140.780000,1403510,reg
2025-11-24T00:00:00Z,153.500000,149.480000,154.170000,148.500100,922470,reg
2025-11-25T00:00:00Z,152.520000,159.610000,162.370000,150.040000,963372,reg
2025-11-26T00:00:00Z,159.900000,159.440000,164.400000,159.275000,729323,reg
2025-11-28T00:00:00Z,158.280000,157.590000,159.315000,155.805000,419642,reg
2025-12-01T00:00:00Z,155.090000,160.680000,163.790000,153.170000,981757,reg
2025-12-02T00:00:00Z,161.060000,157.020000,162.000000,156.020000,777321,reg
2025-12-03T00:00:00Z,156.330000,162.310000,164.660000,156.330000,713230,reg
2025-12-04T00:00:00Z,165.120000,159.940000,165.120000,158.080000,569539,reg
2025-12-05T00:00:00Z,161.770000,161.060000,166.520000,159.590100,643547,reg
2025-12-08T00:00:00Z,162.250000,155.680000,164.280000,154.420000,981120,reg
2025-12-09T00:00:00Z,154.000000,158.030000,161.000000,154.000000,816257,reg
2025-12-10T00:00:00Z,157.000000,157.220000,161.510000,152.220000,1240899,reg
2025-12-11T00:00:00Z,158.960000,153.310000,162.000000,151.705000,2657959,reg
2025-12-12T00:00:00Z,161.750000,162.010000,173.780000,158.000000,3588416,reg
2025-12-15T00:00:00Z,165.000000,163.670000,165.870000,159.740000,1212522,reg
2025-12-16T00:00:00Z,165.320000,167.590000,175.700000,163.000100,2030327,reg
2025-12-17T00:00:00Z,167.660000,170.440000,171.710000,163.920000,1100029,reg
2025-12-18T00:00:00Z,176.250000,172.630000,181.720000,170.000000,1247875,reg
2025-12-19T00:00:00Z,171.190000,170.980000,174.300000,168.000000,1021818,reg
2025-12-22T00:00:00Z,172.210000,179.490000,179.610000,171.070000,979401,reg
2025-12-23T00:00:00Z,179.410000,182.370000,183.205000,173.870000,909268,reg
2025-12-24T00:00:00Z,181.090000,182.980000,186.180000,180.990000,406843,reg
2025-12-26T00:00:00Z,183.800000,185.650000,186.320000,181.950000,656141,reg
2025-12-29T00:00:00Z,183.640000,184.630000,189.675000,182.000100,892493,reg
2025-12-30T00:00:00Z,183.050000,181.930000,184.720000,181.000100,543247,reg
2025-12-31T00:00:00Z,180.140000,179.150000,182.640000,178.610000,493429,reg
2026-01-02T00:00:00Z,191.550000,193.410000,198.499900,187.800000,1973626,reg
2026-01-05T00:00:00Z,190.330000,197.210000,205.499900,190.000000,1434985,reg
2026-01-06T00:00:00Z,196.870000,210.200000,213.970000,196.050100,1381504,reg
2026-01-07T00:00:00Z,213.450000,206.500000,217.610000,202.900000,1244321,reg
2026-01-08T00:00:00Z,204.470000,214.940000,222.000000,202.220100,1657536,reg
2026-01-09T00:00:00Z,218.380000,219.000000,222.275000,204.470000,1619111,reg
2026-01-12T00:00:00Z,215.690000,218.180000,220.782200,211.110100,699231,reg
2026-01-13T00:00:00Z,218.720000,222.740000,223.480000,215.610000,755243,reg
2026-01-14T00:00:00Z,217.940000,217.240000,230.110000,216.210000,1063855,reg
2026-01-15T00:00:00Z,218.650000,223.580000,227.000000,218.010100,873673,reg
2026-01-16T00:00:00Z,224.810000,232.900000,233.820000,222.000000,1151125,reg
2026-01-20T00:00:00Z,228.230000,219.440000,228.700000,218.110000,1362223,reg
2026-01-21T00:00:00Z,222.140000,229.330000,232.290000,217.510000,888173,reg
