begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,652.880000,663.960000,664.539500,651.129300,1299412,reg
2025-05-29T00:00:00Z,659.850000,636.670000,665.000000,634.260000,1942420,reg
2025-05-30T00:00:00Z,645.000000,665.140000,669.260000,637.200100,3167384,reg
2025-06-02T00:00:00Z,660.000000,672.000000,674.998900,656.840000,1861415,reg
2025-06-03T00:00:00Z,675.760000,671.070000,678.569900,665.900000,1496994,reg
2025-06-04T00:00:00Z,677.000000,701.080000,708.190000,676.025000,2524650,reg
2025-06-05T00:00:00Z,704.180000,712.820000,717.870000,700.920000,2006615,reg
2025-06-06T00:00:00Z,714.250000,712.260000,716.640000,707.480000,937201,reg
2025-06-09T00:00:00Z,708.690000,699.110000,710.855000,689.590000,1145516,reg
2025-06-10T00:00:00Z,704.230000,693.320000,706.025000,672.360200,1695213,reg
2025-06-11T00:00:00Z,695.000000,709.140000,714.710000,692.000000,1238556,reg
2025-06-12T00:00:00Z,707.010000,702.820000,710.000000,696.000000,1021668,reg
2025-06-13T00:00:00Z,694.760000,710.850000,710.890000,691.210000,1125775,reg
2025-06-16T00:00:00Z,709.150000,715.570000,723.700000,709.150000,1340037,reg
2025-06-17T00:00:00Z,717.550000,721.280000,728.800000,710.705000,1099357,reg
2025-06-18T00:00:00Z,719.470000,710.190000,723.990000,703.480000,1602388,reg
2025-06-20T00:00:00Z,714.500000,707.420000,723.710000,706.910000,1528746,reg
2025-06-23T00:00:00Z,707.180000,731.150000,732.860000,702.000000,1855511,reg
2025-06-24T00:00:00Z,733.900000,749.910000,754.212300,729.795000,1591104,reg
2025-06-25T00:00:00Z,752.700000,736.300000,759.170000,735.606500,1159632,reg
2025-06-26T00:00:00Z,744.580000,775.900000,777.385000,742.625000,2555256,reg
2025-06-27T00:00:00Z,780.300000,772.600000,785.000000,767.017400,2793907,reg
2025-06-30T00:00:00Z,776.990000,767.340000,778.330000,750.280000,1933251,reg
2025-07-01T00:00:00Z,766.930000,722.350000,769.710400,718.030000,2725725,reg
2025-07-02T00:00:00Z,725.000000,709.500000,734.000000,703.980000,2788473,reg
2025-07-03T00:00:00Z,713.000000,725.050000,725.550000,704.550000,1078903,reg
2025-07-07T00:00:00Z,721.720000,736.290000,737.690000,712.000000,1556397,reg
2025-07-08T00:00:00Z,738.450000,721.390000,743.990000,709.990000,1774509,reg
2025-07-09T00:00:00Z,722.440000,722.120000,731.980000,713.500000,1362432,reg
2025-07-10T00:00:00Z,720.570000,709.950000,726.824200,699.000000,1338494,reg
2025-07-11T00:00:00Z,709.000000,709.150000,714.100000,699.825000,1267747,reg
2025-07-14T00:00:00Z,711.890000,717.490000,723.870000,707.150000,1257006,reg
2025-07-15T00:00:00Z,717.490000,710.460000,718.240000,696.660000,1809742,reg
2025-07-16T00:00:00Z,705.490000,705.550000,712.850000,698.635000,1337145,reg
2025-07-17T00:00:00Z,703.080000,720.910000,724.775000,693.480000,1658809,reg
2025-07-18T00:00:00Z,713.150000,695.480000,719.000000,685.470000,2149882,reg
2025-07-21T00:00:00Z,692.750000,706.880000,707.510000,689.132600,1296378,reg
2025-07-22T00:00:00Z,709.490000,675.740000,713.170000,674.990000,2041674,reg
2025-07-23T00:00:00Z,680.000000,674.460000,680.000000,665.250000,2190334,reg
2025-07-24T00:00:00Z,694.150000,681.420000,699.500000,678.190000,1906040,reg
2025-07-25T00:00:00Z,681.530000,693.100000,702.300000,678.730000,1757532,reg
2025-07-28T00:00:00Z,686.220000,700.980000,710.000000,686.067700,2030399,reg
2025-07-29T00:00:00Z,657.530000,620.010000,663.990000,615.630000,11468148,reg
2025-07-30T00:00:00Z,623.000000,650.470000,657.780000,619.000000,5872186,reg
2025-07-31T00:00:00Z,654.810000,626.540000,662.000000,624.495000,3678684,reg
2025-08-01T00:00:00Z,622.000000,627.150000,641.250000,618.923900,2531546,reg
2025-08-04T00:00:00Z,661.000000,658.590000,677.000000,658.580000,3764875,reg
2025-08-05T00:00:00Z,655.000000,647.000000,659.645000,637.430000,2135927,reg
2025-08-06T00:00:00Z,651.780000,666.810000,667.237100,645.970000,2208167,reg
2025-08-07T00:00:00Z,668.000000,686.740000,690.410000,668.000000,2444948,reg
2025-08-08T00:00:00Z,692.920000,705.890000,717.270000,690.500000,2361986,reg
2025-08-11T00:00:00Z,705.000000,689.230000,705.000000,689.220000,1314345,reg
2025-08-12T00:00:00Z,694.150000,689.350000,695.350000,673.770000,1142136,reg
2025-08-13T00:00:00Z,689.720000,695.000000,695.630000,682.090100,1360257,reg
2025-08-14T00:00:00Z,693.710000,698.500000,707.170000,687.010100,1423767,reg
2025-08-15T00:00:00Z,725.000000,732.810000,748.300000,721.000000,3005971,reg
2025-08-18T00:00:00Z,734.000000,728.070000,743.774500,723.000000,1477151,reg
2025-08-19T00:00:00Z,725.000000,719.350000,736.679900,719.162900,1568211,reg
2025-08-20T00:00:00Z,715.540000,703.790000,718.650000,688.500000,1566835,reg
2025-08-21T00:00:00Z,703.790000,689.470000,704.000000,679.990000,1614493,reg
2025-08-22T00:00:00Z,690.000000,692.990000,701.094200,685.089500,937181,reg
2025-08-25T00:00:00Z,699.090000,694.790000,714.800000,694.100000,1270293,reg
2025-08-26T00:00:00Z,694.790000,696.470000,698.335000,680.700000,1731531,reg
2025-08-27T00:00:00Z,694.060000,692.990000,699.370000,686.910000,901880,reg
2025-08-28T00:00:00Z,691.730000,687.800000,695.780000,682.320000,1017159,reg
2025-08-29T00:00:00Z,688.960000,681.880000,690.890000,673.500000,1004480,reg
2025-09-02T00:00:00Z,669.810000,689.620000,691.700000,663.060000,1044706,reg
2025-09-03T00:00:00Z,693.690000,697.330000,711.175000,689.100900,1133942,reg
2025-09-04T00:00:00Z,694.200000,703.850000,707.650000,694.150000,1336944,reg
2025-09-05T00:00:00Z,711.000000,707.190000,716.500000,690.320000,1211479,reg
2025-09-08T00:00:00Z,710.900000,718.280000,720.550000,706.310000,1183444,reg
2025-09-09T00:00:00Z,715.570000,719.160000,726.999900,710.490000,945638,reg
2025-09-10T00:00:00Z,720.780000,704.090000,725.000000,700.000000,1181022,reg
2025-09-11T00:00:00Z,701.130000,690.310000,703.500000,677.070000,2153728,reg
2025-09-12T00:00:00Z,691.870000,696.400000,697.800000,686.000000,1170558,reg
2025-09-15T00:00:00Z,698.870000,703.100000,712.000000,696.400000,1221276,reg
2025-09-16T00:00:00Z,715.000000,704.060000,715.000000,693.700000,1573668,reg
2025-09-17T00:00:00Z,706.230000,707.190000,710.195000,688.960000,1156150,reg
2025-09-18T00:00:00Z,715.000000,734.120000,745.000000,711.340000,2515064,reg
2025-09-19T00:00:00Z,730.920000,734.920000,738.870000,728.165000,1546037,reg
2025-09-22T00:00:00Z,730.250000,738.530000,740.201200,726.720100,989179,reg
2025-09-23T00:00:00Z,736.140000,718.940000,740.000000,716.850000,991755,reg
2025-09-24T00:00:00Z,715.350000,708.650000,719.740000,699.320000,1405694,reg
2025-09-25T00:00:00Z,698.760000,712.620000,719.750000,695.970000,1238285,reg
2025-09-26T00:00:00Z,712.620000,716.530000,716.530000,704.440000,1198582,reg
2025-09-29T00:00:00Z,726.910000,728.470000,740.000000,720.275000,965761,reg
2025-09-30T00:00:00Z,705.260000,698.000000,711.000000,677.990000,4130566,reg
2025-10-01T00:00:00Z,699.500000,700.680000,721.670000,697.780000,2172340,reg
2025-10-02T00:00:00Z,700.000000,707.300000,716.860000,698.490000,1347175,reg
2025-10-03T00:00:00Z,706.440000,680.500000,708.550000,680.240000,1731800,reg
2025-10-06T00:00:00Z,684.270000,680.280000,698.850000,675.450000,1289524,reg
2025-10-07T00:00:00Z,679.980000,680.440000,683.000000,670.500000,1255718,reg
2025-10-08T00:00:00Z,689.380000,674.750000,696.500000,673.500000,1431566,reg
2025-10-09T00:00:00Z,673.700000,673.660000,675.040000,666.000100,1164659,reg
2025-10-10T00:00:00Z,673.720000,685.290000,689.549900,670.000000,1377250,reg
2025-10-13T00:00:00Z,680.080000,692.040000,694.970000,675.265000,1038990,reg
2025-10-14T00:00:00Z,684.760000,683.510000,700.120000,674.939000,1214893,reg
2025-10-15T00:00:00Z,689.840000,671.300000,689.840000,670.810000,1103694,reg
2025-10-16T00:00:00Z,671.800000,664.460000,679.040000,661.000000,1293506,reg
2025-10-17T00:00:00Z,660.000000,671.520000,675.350000,656.250000,1200868,reg
2025-10-20T00:00:00Z,670.130000,675.530000,682.250000,667.500000,1077499,reg
2025-10-21T00:00:00Z,685.000000,689.210000,696.949900,682.470000,1540888,reg
2025-10-22T00:00:00Z,680.000000,675.620000,686.680000,656.510000,1683059,reg
2025-10-23T00:00:00Z,680.000000,673.860000,683.960000,668.010000,1294668,reg
2025-10-24T00:00:00Z,676.200000,645.780000,676.670000,644.830000,2131497,reg
2025-10-27T00:00:00Z,648.440000,657.800000,661.540100,640.400000,2317360,reg
2025-10-28T00:00:00Z,660.930000,653.430000,669.700000,653.180000,1600592,reg
2025-10-29T00:00:00Z,651.430000,665.670000,673.160000,650.940000,1590806,reg
2025-10-30T00:00:00Z,661.990000,656.680000,670.420000,651.560000,1165688,reg
2025-10-31T00:00:00Z,661.880000,655.320000,668.170000,654.840000,1609875,reg
2025-11-03T00:00:00Z,653.150000,644.090000,661.690000,640.560000,3972503,reg
2025-11-04T00:00:00Z,625.180000,629.600000,650.581300,603.150000,4318433,reg
2025-11-05T00:00:00Z,626.000000,620.000000,650.740000,617.000000,2131380,reg
2025-11-06T00:00:00Z,620.000000,618.200000,629.800000,611.680000,1839856,reg
2025-11-07T00:00:00Z,610.460000,616.910000,620.650000,606.206000,1845524,reg
2025-11-10T00:00:00Z,620.000000,622.930000,626.655000,614.790000,1658716,reg
2025-11-11T00:00:00Z,620.560000,639.580000,641.620000,620.480000,1217577,reg
2025-11-12T00:00:00Z,641.110000,647.870000,654.600000,631.100000,1327859,reg
2025-11-13T00:00:00Z,651.010000,645.330000,668.495000,637.500000,2067328,reg
2025-11-14T00:00:00Z,637.790000,635.750000,654.680000,633.110100,1440764,reg
2025-11-17T00:00:00Z,633.260000,640.620000,644.570000,629.000000,1343065,reg
2025-11-18T00:00:00Z,634.230000,636.450000,641.660000,625.630100,982816,reg
2025-11-19T00:00:00Z,636.000000,618.530000,639.110000,617.020000,958931,reg
2025-11-20T00:00:00Z,619.650000,589.230000,622.750000,587.070000,2498922,reg
2025-11-21T00:00:00Z,585.000000,583.610000,592.810000,581.448400,2035442,reg
2025-11-24T00:00:00Z,582.610000,584.980000,586.170000,567.530000,4137584,reg
2025-11-25T00:00:00Z,596.680000,585.470000,602.370000,577.779000,2683443,reg
2025-11-26T00:00:00Z,590.000000,592.690000,601.020000,587.960000,1916806,reg
2025-11-28T00:00:00Z,596.620000,598.870000,603.190000,591.170000,810570,reg
2025-12-01T00:00:00Z,594.160000,578.890000,595.425000,576.766500,2278863,reg
2025-12-02T00:00:00Z,580.185000,576.790000,582.000000,573.430100,1855597,reg
2025-12-03T00:00:00Z,572.910000,557.170000,575.000000,554.240000,2883775,reg
2025-12-04T00:00:00Z,557.220000,560.970000,561.080000,550.120000,2293998,reg
2025-12-05T00:00:00Z,562.990000,564.930000,576.790000,559.780000,1883514,reg
2025-12-08T00:00:00Z,566.000000,572.350000,572.570000,548.730000,2698843,reg
2025-12-09T00:00:00Z,577.000000,589.670000,596.205000,574.000000,3067469,reg
2025-12-10T00:00:00Z,590.000000,609.410000,609.590000,584.990000,2953683,reg
2025-12-11T00:00:00Z,606.800000,598.870000,619.959000,598.080000,1754495,reg
2025-12-12T00:00:00Z,598.900000,597.800000,606.490000,597.050000,1570412,reg
2025-12-15T00:00:00Z,595.750000,577.150000,596.990000,573.080100,1775213,reg
2025-12-16T00:00:00Z,575.000000,579.070000,582.500000,563.300600,1593658,reg
2025-12-17T00:00:00Z,580.000000,566.230000,588.000000,562.280000,1935945,reg
2025-12-18T00:00:00Z,569.750000,563.820000,576.700000,562.720000,1368556,reg
2025-12-19T00:00:00Z,571.190000,582.160000,587.930000,568.000000,1966497,reg
2025-12-22T00:00:00Z,580.000000,578.800000,585.000000,576.590000,1285106,reg
2025-12-23T00:00:00Z,580.550000,579.390000,581.810000,578.000000,670215,reg
2025-12-24T00:00:00Z,576.590000,586.570000,587.910000,576.310000,665166,reg
2025-12-26T00:00:00Z,585.070000,584.350000,588.520000,580.020000,565251,reg
2025-12-29T00:00:00Z,583.880000,581.190000,586.530000,577.300000,1322375,reg
2025-12-30T00:00:00Z,577.350000,576.680000,584.980000,575.770000,781033,reg
2025-12-31T00:00:00Z,574.690000,580.710000,582.790000,573.550000,720202,reg
2026-01-02T00:00:00Z,585.880000,575.000000,585.880000,570.795000,1515175,reg
2026-01-05T00:00:00Z,582.250000,593.390000,609.200000,579.870000,2703545,reg
2026-01-06T00:00:00Z,595.380000,571.430000,596.160000,570.760000,1989761,reg
2026-01-07T00:00:00Z,570.000000,569.620000,580.200000,566.000000,1292217,reg
2026-01-08T00:00:00Z,567.500000,553.680000,567.500000,544.070000,2781694,reg
2026-01-09T00:00:00Z,553.580000,539.370000,554.345000,536.130000,3600749,reg
2026-01-12T00:00:00Z,539.460000,530.000000,541.000000,529.600000,2144333,reg
2026-01-13T00:00:00Z,536.710000,534.640000,540.000000,527.170000,3131136,reg
2026-01-14T00:00:00Z,537.000000,528.920000,540.000000,516.000000,2354195,reg
2026-01-15T00:00:00Z,542.350000,508.040000,548.550000,505.430000,5377893,reg
2026-01-16T00:00:00Z,508.000000,504.500000,511.130000,500.820000,3711943,reg
2026-01-20T00:00:00Z,504.260000,511.330000,514.980000,503.540000,2773733,reg
2026-01-21T00:00:00Z,509.000000,502.190000,512.310000,495.820000,3528197,reg
2026-01-22T00:00:00Z,505.500000,498.640000,506.257100,491.300000,2546456,reg
2026-01-23T00:00:00Z,510.630000,513.210000,516.980000,505.900000,2900752,reg
2026-01-26T00:00:00Z,516.020000,512.600000,520.000000,511.700000,1973847,reg
2026-01-27T00:00:00Z,512.490000,511.700000,518.480000,510.110100,1680591,reg
2026-01-28T00:00:00Z,512.340000,508.700000,519.015000,507.126000,1788238,reg
2026-01-29T00:00:00Z,502.680000,503.920000,505.970000,493.310000,1997226,reg
2026-01-30T00:00:00Z,509.680000,500.350000,515.120000,498.120000,1730165,reg
2026-02-02T00:00:00Z,497.020000,508.580000,512.280000,495.530000,2018713,reg
2026-02-03T00:00:00Z,504.750000,473.990000,507.449900,464.240000,4589984,reg
2026-02-04T00:00:00Z,465.000000,440.530000,466.335000,438.710000,6821945,reg
2026-02-05T00:00:00Z,436.880000,412.750000,440.000000,405.000000,6747412,reg
2026-02-06T00:00:00Z,423.830000,422.610000,426.620000,408.110000,5534276,reg
2026-02-09T00:00:00Z,430.820000,414.840000,431.988300,410.210100,4726404,reg
2026-02-10T00:00:00Z,462.780000,476.020000,495.940000,462.780000,10859504,reg
2026-02-11T00:00:00Z,489.735000,487.170000,504.830000,480.286300,5389219,reg
2026-02-12T00:00:00Z,479.180000,445.790000,481.460000,438.000000,6899721,reg
2026-02-13T00:00:00Z,448.510000,458.340000,462.000000,443.290000,3681914,reg
2026-02-17T00:00:00Z,461.950000,462.820000,472.900000,455.335600,3247630,reg
2026-02-18T00:00:00Z,469.330000,477.580000,487.230000,460.000000,3906506,reg
2026-02-19T00:00:00Z,481.210000,485.290000,492.650000,481.090000,2499294,reg
2026-02-20T00:00:00Z,485.330000,490.600000,497.520000,481.670000,2124258,reg
2026-02-23T00:00:00Z,483.780000,467.830000,487.320000,466.200000,2051590,reg
2026-02-24T00:00:00Z,462.500000,465.660000,481.830000,454.000000,2741643,reg
2026-02-25T00:00:00Z,460.320000,463.280000,470.050000,453.680000,2399688,reg
2026-02-26T00:00:00Z,469.000000,495.650000,498.990000,464.050000,3462823,reg
2026-02-27T00:00:00Z,490.890000,514.940000,515.980000,490.890000,3986082,reg
