begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-23T00:00:00Z,595.040000,600.150000,600.540000,591.890000,87426039,reg
2025-06-24T00:00:00Z,604.330000,606.780000,607.849900,603.410000,67735293,reg
2025-06-25T00:00:00Z,607.910000,607.120000,608.610000,605.540000,62114767,reg
2025-06-26T00:00:00Z,608.990000,611.870000,612.310000,608.370000,78548361,reg
2025-06-27T00:00:00Z,612.880000,614.910000,616.390000,610.830000,86258398,reg
2025-06-30T00:00:00Z,617.380000,617.850000,619.220000,615.040000,92502541,reg
2025-07-01T00:00:00Z,616.360000,617.650000,618.830000,615.520000,70030140,reg
2025-07-02T00:00:00Z,617.240000,620.450000,620.490000,616.610000,66510374,reg
2025-07-03T00:00:00Z,622.450000,625.340000,626.280000,622.430000,51065789,reg
2025-07-07T00:00:00Z,623.360000,620.680000,624.030000,617.870000,74814505,reg
2025-07-08T00:00:00Z,621.350000,620.340000,622.110000,619.520000,59024585,reg
2025-07-09T00:00:00Z,622.770000,624.060000,624.720000,620.910500,66113326,reg
2025-07-10T00:00:00Z,624.200000,625.820000,626.870100,623.010000,57528960,reg
2025-07-11T00:00:00Z,622.740000,623.620000,624.860000,621.530000,63670226,reg
2025-07-14T00:00:00Z,623.160000,624.810000,625.158100,621.799900,51898518,reg
2025-07-15T00:00:00Z,627.520000,622.140000,627.860000,622.060000,74317260,reg
2025-07-16T00:00:00Z,623.740000,624.220000,624.730000,618.050000,88987511,reg
2025-07-17T00:00:00Z,624.400000,628.040000,628.404800,624.180000,68885683,reg
2025-07-18T00:00:00Z,629.300000,627.580000,629.470000,626.460000,65621645,reg
2025-07-21T00:00:00Z,628.770000,628.770000,631.540000,628.340000,63374984,reg
2025-07-22T00:00:00Z,629.100000,628.860000,629.730000,626.190000,60046288,reg
2025-07-23T00:00:00Z,631.550000,634.210000,634.210000,629.730000,70511036,reg
2025-07-24T00:00:00Z,634.600000,634.420000,636.150000,633.990000,71307134,reg
2025-07-25T00:00:00Z,635.090000,637.100000,637.579900,634.840000,56865364,reg
2025-07-28T00:00:00Z,637.480000,636.940000,638.040000,635.540000,54917102,reg
2025-07-29T00:00:00Z,638.350000,635.260000,638.670000,634.335000,60556278,reg
2025-07-30T00:00:00Z,635.920000,634.460000,637.680000,631.540000,80418851,reg
2025-07-31T00:00:00Z,639.455000,632.080000,639.850000,630.765000,103385246,reg
2025-08-01T00:00:00Z,626.300000,621.720000,626.340000,619.290000,140103572,reg
2025-08-04T00:00:00Z,625.670000,631.170000,631.215000,625.580000,73218015,reg
2025-08-05T00:00:00Z,631.790000,627.970000,632.605200,627.040000,68051401,reg
2025-08-06T00:00:00Z,629.050000,632.780000,633.440000,628.130000,64357525,reg
2025-08-07T00:00:00Z,636.240000,632.250000,636.980000,629.110000,74205791,reg
2025-08-08T00:00:00Z,634.060000,637.180000,637.645000,633.740000,64051626,reg
2025-08-11T00:00:00Z,637.460000,635.920000,638.950000,634.660000,58742300,reg
2025-08-12T00:00:00Z,638.290000,642.690000,642.850000,636.790000,64821798,reg
2025-08-13T00:00:00Z,644.910000,644.890000,646.190000,642.680000,60092790,reg
2025-08-14T00:00:00Z,642.790000,644.950000,645.620000,642.340000,59327466,reg
2025-08-15T00:00:00Z,645.990000,643.440000,646.090000,642.515300,68592507,reg
2025-08-18T00:00:00Z,642.860000,643.300000,644.000000,642.180000,43804914,reg
2025-08-19T00:00:00Z,643.120000,639.810000,644.105000,638.480000,69750731,reg
2025-08-20T00:00:00Z,639.400000,638.110000,639.660000,632.950000,88890298,reg
2025-08-21T00:00:00Z,636.280000,635.550000,637.970000,633.810000,54805775,reg
2025-08-22T00:00:00Z,637.760000,645.310000,646.500000,637.250000,84083214,reg
2025-08-25T00:00:00Z,644.040000,642.470000,645.290000,642.350000,51274332,reg
2025-08-26T00:00:00Z,642.200000,645.160000,645.510000,641.570000,51581565,reg
2025-08-27T00:00:00Z,644.570000,646.630000,647.370000,644.420000,48341069,reg
2025-08-28T00:00:00Z,647.240000,648.920000,649.480000,645.340000,61519461,reg
2025-08-29T00:00:00Z,647.470000,645.050000,647.840000,643.140000,74522192,reg
2025-09-02T00:00:00Z,637.500000,640.270000,640.490000,634.920000,81983545,reg
2025-09-03T00:00:00Z,642.670000,643.740000,644.210000,640.460000,70820898,reg
2025-09-04T00:00:00Z,644.420000,649.120000,649.150000,643.510000,65219228,reg
2025-09-05T00:00:00Z,651.480000,647.240000,652.210000,643.330000,85178935,reg
2025-09-08T00:00:00Z,648.620000,648.830000,649.840000,647.230000,63133104,reg
2025-09-09T00:00:00Z,648.970000,650.330000,650.860000,647.220000,66133856,reg
2025-09-10T00:00:00Z,653.620000,652.210000,654.550000,650.630000,78034529,reg
2025-09-11T00:00:00Z,654.180000,657.630000,658.330000,653.590000,69934360,reg
2025-09-12T00:00:00Z,657.600000,657.410000,659.110000,656.900000,72780135,reg
2025-09-15T00:00:00Z,659.640000,660.910000,661.040000,659.340000,63772412,reg
2025-09-16T00:00:00Z,661.470000,660.000000,661.780000,659.210000,61168953,reg
2025-09-17T00:00:00Z,660.010000,659.180000,661.720000,654.300000,101952244,reg
2025-09-18T00:00:00Z,661.890000,662.260000,664.890000,660.270000,90459242,reg
2025-09-19T00:00:00Z,662.330000,663.700000,664.550000,660.370000,97945620,reg
2025-09-22T00:00:00Z,662.200000,666.840000,667.290000,662.170000,69452201,reg
2025-09-23T00:00:00Z,666.720000,663.210000,667.340000,661.980000,81708872,reg
2025-09-24T00:00:00Z,664.510000,661.100000,664.610000,659.670000,68082229,reg
2025-09-25T00:00:00Z,657.940000,658.050000,659.405600,654.405000,89622067,reg
2025-09-26T00:00:00Z,659.510000,661.820000,662.370000,657.880000,69179209,reg
2025-09-29T00:00:00Z,664.360000,663.680000,665.280000,661.860000,73499015,reg
2025-09-30T00:00:00Z,662.930000,666.180000,666.650000,661.610000,86288028,reg
2025-10-01T00:00:00Z,663.170000,668.450000,669.370000,663.060000,72545369,reg
2025-10-02T00:00:00Z,670.450000,669.220000,670.565000,666.780000,56895993,reg
2025-10-03T00:00:00Z,669.990000,669.210000,672.675000,668.160000,70494350,reg
2025-10-06T00:00:00Z,671.620000,671.610000,672.510000,669.455000,54623260,reg
2025-10-07T00:00:00Z,672.540000,669.120000,672.990000,667.670000,72020067,reg
2025-10-08T00:00:00Z,670.250000,673.110000,673.205600,669.420000,60702241,reg
2025-10-09T00:00:00Z,673.530000,671.160000,673.940000,669.210000,66501941,reg
2025-10-10T00:00:00Z,672.130000,653.020000,673.950000,652.840000,159422589,reg
2025-10-13T00:00:00Z,660.650000,663.040000,665.130000,659.767900,79560517,reg
2025-10-14T00:00:00Z,657.170000,662.230000,665.830000,653.170000,88779560,reg
2025-10-15T00:00:00Z,666.820000,665.170000,670.230000,658.930000,81702555,reg
2025-10-16T00:00:00Z,666.820000,660.640000,668.710000,657.110000,110563346,reg
2025-10-17T00:00:00Z,659.500000,664.390000,665.755000,658.140000,96500870,reg
2025-10-20T00:00:00Z,667.320000,671.300000,672.210000,667.270000,60493350,reg
2025-10-21T00:00:00Z,671.440000,671.290000,672.990000,669.981000,56249034,reg
2025-10-22T00:00:00Z,672.000000,667.800000,672.000000,663.300000,80564006,reg
2025-10-23T00:00:00Z,668.120000,671.760000,672.710100,667.800000,65604461,reg
2025-10-24T00:00:00Z,676.460000,677.250000,678.470000,675.650000,74356527,reg
2025-10-27T00:00:00Z,682.730000,685.240000,685.540000,682.115000,63339790,reg
2025-10-28T00:00:00Z,687.050000,687.060000,688.905000,684.830000,61738073,reg
2025-10-29T00:00:00Z,688.720000,687.390000,689.700000,682.870000,85362207,reg
2025-10-30T00:00:00Z,683.900000,679.830000,685.940000,679.830000,76335751,reg
2025-10-31T00:00:00Z,685.040000,682.060000,685.080000,679.240000,87164122,reg
2025-11-03T00:00:00Z,685.670000,683.340000,685.800000,679.940000,57315025,reg
2025-11-04T00:00:00Z,676.110000,675.240000,679.960000,674.580000,78426969,reg
2025-11-05T00:00:00Z,674.980000,677.580000,680.860000,674.170000,74402376,reg
2025-11-06T00:00:00Z,676.470000,670.310000,677.380000,668.720000,85035298,reg
2025-11-07T00:00:00Z,667.910000,670.970000,671.080000,661.205000,100592443,reg
2025-11-10T00:00:00Z,677.235000,681.440000,682.180000,675.030000,75842888,reg
2025-11-11T00:00:00Z,679.950000,683.000000,683.570000,678.730000,58953385,reg
2025-11-12T00:00:00Z,684.790000,683.380000,684.960000,680.945000,62312484,reg
2025-11-13T00:00:00Z,680.500000,672.040000,680.860000,670.520000,103457788,reg
2025-11-14T00:00:00Z,665.380000,671.930000,675.660000,663.265000,96846672,reg
2025-11-17T00:00:00Z,669.700000,665.670000,673.710000,662.170000,90456105,reg
2025-11-18T00:00:00Z,662.095000,660.080000,665.120000,655.860000,114467488,reg
2025-11-19T00:00:00Z,660.780000,662.630000,667.340000,658.745000,94702955,reg
2025-11-20T00:00:00Z,672.910000,652.530000,675.560000,651.890000,165293521,reg
2025-11-21T00:00:00Z,655.050000,659.030000,664.550000,650.850000,123956203,reg
2025-11-24T00:00:00Z,662.690000,668.730000,670.060000,661.590000,80437940,reg
2025-11-25T00:00:00Z,668.630000,675.020000,676.210000,664.480000,81077088,reg
2025-11-26T00:00:00Z,677.630000,679.680000,681.700000,676.720000,71879597,reg
2025-11-28T00:00:00Z,680.860000,683.390000,683.665000,680.500000,49212030,reg
2025-12-01T00:00:00Z,678.810000,680.270000,682.990000,678.740000,61201193,reg
2025-12-02T00:00:00Z,681.920000,681.530000,683.820000,679.327500,62953844,reg
2025-12-03T00:00:00Z,680.570000,683.890000,684.910000,679.690000,57238481,reg
2025-12-04T00:00:00Z,685.300000,684.390000,685.370000,681.340000,61970336,reg
2025-12-05T00:00:00Z,685.470000,685.690000,688.390000,684.580000,79241045,reg
2025-12-08T00:00:00Z,686.590000,683.630000,686.640000,681.570000,55231462,reg
2025-12-09T00:00:00Z,683.150000,683.040000,685.385000,682.590000,58310055,reg
2025-12-10T00:00:00Z,682.560000,687.570000,688.970000,681.310000,85671334,reg
2025-12-11T00:00:00Z,685.140000,689.170000,689.250000,682.165000,86173678,reg
2025-12-12T00:00:00Z,688.170000,681.760000,688.880000,679.174400,113160347,reg
2025-12-15T00:00:00Z,685.740000,680.730000,685.760000,679.250000,90810952,reg
2025-12-16T00:00:00Z,679.230000,678.870000,681.080000,674.980000,122030631,reg
2025-12-17T00:00:00Z,679.890000,671.400000,680.435000,671.195000,110625198,reg
