begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,117.240000,117.340000,118.630000,116.815000,4093977,reg
2025-05-29T00:00:00Z,117.560000,118.140000,118.200000,116.280000,2447169,reg
2025-05-30T00:00:00Z,117.170000,117.940000,119.130000,116.670000,4352685,reg
2025-06-02T00:00:00Z,117.010000,119.150000,119.755400,116.782000,3097690,reg
2025-06-03T00:00:00Z,119.100000,123.230000,124.040000,118.750000,4835199,reg
2025-06-04T00:00:00Z,123.730000,127.640000,127.690000,123.730000,5769179,reg
2025-06-05T00:00:00Z,127.910000,127.700000,129.950000,127.360000,4765890,reg
2025-06-06T00:00:00Z,128.900000,126.970000,129.960000,126.760000,4377572,reg
2025-06-09T00:00:00Z,129.540000,130.170000,132.225000,128.876900,5425757,reg
2025-06-10T00:00:00Z,129.970000,127.990000,130.685000,126.345000,6119653,reg
2025-06-11T00:00:00Z,129.050000,126.490000,129.080000,125.710000,4553154,reg
2025-06-12T00:00:00Z,126.155000,126.070000,127.350000,125.786700,3005037,reg
2025-06-13T00:00:00Z,125.170000,127.270000,128.310000,124.630100,3000982,reg
2025-06-16T00:00:00Z,128.700000,131.040000,131.490000,127.610100,3530344,reg
2025-06-17T00:00:00Z,130.450000,130.870000,133.500000,130.000000,3410882,reg
2025-06-18T00:00:00Z,130.870000,131.260000,133.760000,130.360000,2816793,reg
2025-06-20T00:00:00Z,132.170000,130.960000,132.610000,130.325000,6027515,reg
2025-06-23T00:00:00Z,132.330000,133.080000,133.890000,130.918400,4372694,reg
2025-06-24T00:00:00Z,134.000000,136.310000,137.540000,133.850000,4670484,reg
2025-06-25T00:00:00Z,137.670000,138.540000,138.690000,136.280000,3574853,reg
2025-06-26T00:00:00Z,138.540000,140.690000,140.800000,138.000000,3047106,reg
2025-06-27T00:00:00Z,141.580000,141.440000,142.470000,140.295000,4651135,reg
2025-06-30T00:00:00Z,142.000000,144.330000,144.480000,141.583800,3663826,reg
2025-07-01T00:00:00Z,143.640000,145.040000,145.730000,142.630000,4951376,reg
2025-07-02T00:00:00Z,145.040000,151.940000,152.050000,144.790000,6703596,reg
2025-07-03T00:00:00Z,152.000000,149.440000,152.155000,149.240000,3619715,reg
2025-07-07T00:00:00Z,149.470000,148.390000,151.800000,147.740000,3661675,reg
2025-07-08T00:00:00Z,149.060000,144.470000,149.710000,143.430000,4599061,reg
2025-07-09T00:00:00Z,145.920000,142.010000,145.920000,141.710000,6198769,reg
2025-07-10T00:00:00Z,144.500000,144.500000,146.235000,142.450000,5593932,reg
2025-07-11T00:00:00Z,144.000000,147.180000,147.910000,143.500000,2868745,reg
2025-07-14T00:00:00Z,148.550000,149.080000,149.955000,145.620000,2856683,reg
2025-07-15T00:00:00Z,150.310000,149.050000,150.960000,147.800000,2461421,reg
2025-07-16T00:00:00Z,148.980000,147.120000,149.000000,145.510000,2694636,reg
2025-07-17T00:00:00Z,147.120000,146.720000,149.645000,146.350000,5155524,reg
2025-07-18T00:00:00Z,147.610000,149.075000,149.910000,146.224000,3336593,reg
2025-07-21T00:00:00Z,149.460000,149.630000,150.920000,148.030000,3454105,reg
2025-07-22T00:00:00Z,149.000000,146.590000,149.280000,144.760000,3045025,reg
2025-07-23T00:00:00Z,147.150000,152.760000,152.830000,147.000000,4024938,reg
2025-07-24T00:00:00Z,152.230000,152.730000,153.880000,151.076100,2429724,reg
2025-07-25T00:00:00Z,152.400000,150.890000,153.330000,148.435000,3125993,reg
2025-07-28T00:00:00Z,151.480000,150.460000,152.040000,149.740000,2585241,reg
2025-07-29T00:00:00Z,151.750000,152.680000,155.520000,150.000000,6242766,reg
2025-07-30T00:00:00Z,141.000000,147.420000,148.540000,138.300000,12025065,reg
2025-07-31T00:00:00Z,148.300000,157.010000,157.450000,146.900000,7049757,reg
2025-08-01T00:00:00Z,153.360000,154.810000,156.610000,150.916500,3827642,reg
2025-08-04T00:00:00Z,156.790000,154.810000,157.618000,152.400000,2510001,reg
2025-08-05T00:00:00Z,156.800000,151.740000,157.400000,147.210000,3449766,reg
2025-08-06T00:00:00Z,153.000000,147.270000,153.000000,146.850000,3776636,reg
2025-08-07T00:00:00Z,144.980000,148.100000,148.550000,144.750000,3472524,reg
2025-08-08T00:00:00Z,149.500000,150.450000,151.080000,148.560000,1901692,reg
2025-08-11T00:00:00Z,151.610000,151.690000,156.100000,151.230000,2759416,reg
2025-08-12T00:00:00Z,152.230000,155.590000,158.000000,152.230000,2362349,reg
2025-08-13T00:00:00Z,156.350000,156.920000,157.500000,154.860000,2052634,reg
2025-08-14T00:00:00Z,155.260000,155.730000,156.835000,154.200000,2319683,reg
2025-08-15T00:00:00Z,155.750000,154.430000,155.750000,152.050100,1431837,reg
