begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,32.560000,32.150000,32.770000,32.100000,249916,reg
2025-05-29T00:00:00Z,32.270000,31.680000,32.360000,31.580000,521773,reg
2025-05-30T00:00:00Z,31.610000,31.700000,31.900000,31.410000,750724,reg
2025-06-02T00:00:00Z,31.780000,31.910000,32.020000,31.320000,409484,reg
2025-06-03T00:00:00Z,31.900000,32.230000,32.275000,31.460000,499581,reg
2025-06-04T00:00:00Z,32.250000,32.300000,32.410000,31.815000,367976,reg
2025-06-05T00:00:00Z,32.280000,32.340000,32.620000,31.990000,296078,reg
2025-06-06T00:00:00Z,32.720000,33.150000,33.200000,32.330000,354750,reg
2025-06-09T00:00:00Z,33.280000,33.270000,33.681200,32.860000,494719,reg
2025-06-10T00:00:00Z,33.480000,33.260000,33.700000,33.110000,388855,reg
2025-06-11T00:00:00Z,33.280000,33.150000,33.655000,32.960000,1058904,reg
2025-06-12T00:00:00Z,32.930000,32.770000,33.270000,32.310000,743983,reg
2025-06-13T00:00:00Z,32.360000,32.030000,32.910000,31.885000,590662,reg
2025-06-16T00:00:00Z,32.370000,32.470000,33.150000,31.795000,1197331,reg
2025-06-17T00:00:00Z,32.280000,32.325000,33.090000,31.560000,784137,reg
2025-06-18T00:00:00Z,32.330000,32.930000,33.260000,32.010000,583113,reg
2025-06-20T00:00:00Z,32.960000,32.280000,33.300000,32.240000,909394,reg
2025-06-23T00:00:00Z,32.190000,31.990000,32.490000,31.460000,836215,reg
2025-06-24T00:00:00Z,32.180000,31.670000,32.670000,31.380000,742712,reg
2025-06-25T00:00:00Z,31.550000,31.240000,31.690000,30.830000,1053523,reg
2025-06-26T00:00:00Z,31.320000,31.200000,31.760000,31.029000,492509,reg
2025-06-27T00:00:00Z,31.230000,31.160000,31.385000,30.930000,1104227,reg
2025-06-30T00:00:00Z,31.240000,31.520000,31.810000,31.155000,534855,reg
2025-07-01T00:00:00Z,31.420000,31.820000,32.780000,31.370000,856921,reg
2025-07-02T00:00:00Z,31.810000,32.070000,32.220000,31.617500,474543,reg
2025-07-03T00:00:00Z,32.140000,31.980000,32.550000,31.745000,212566,reg
2025-07-07T00:00:00Z,31.780000,31.450000,32.120000,31.350000,682248,reg
2025-07-08T00:00:00Z,31.430000,32.090000,32.720000,31.370000,1204649,reg
2025-07-09T00:00:00Z,32.250000,32.670000,32.950000,32.150000,874019,reg
2025-07-10T00:00:00Z,32.710000,33.140000,33.800000,32.545000,875179,reg
2025-07-11T00:00:00Z,33.030000,33.120000,33.370000,32.495000,461128,reg
2025-07-14T00:00:00Z,33.080000,33.960000,33.980000,33.080000,594612,reg
2025-07-15T00:00:00Z,33.870000,33.510000,34.120000,33.080000,677062,reg
2025-07-16T00:00:00Z,33.670000,33.520000,34.050000,32.910000,1200451,reg
2025-07-17T00:00:00Z,33.380000,33.590000,34.400000,33.380000,945863,reg
2025-07-18T00:00:00Z,33.830000,32.340000,33.830000,32.200000,690515,reg
2025-07-21T00:00:00Z,32.340000,33.230000,33.440000,32.205000,869764,reg
2025-07-22T00:00:00Z,33.240000,32.670000,33.720000,32.520000,728575,reg
2025-07-23T00:00:00Z,32.850000,32.970000,33.370000,32.705000,498099,reg
2025-07-24T00:00:00Z,32.900000,32.850000,33.410000,32.510000,540348,reg
2025-07-25T00:00:00Z,32.940000,33.580000,33.640000,32.530000,640360,reg
2025-07-28T00:00:00Z,33.370000,33.410000,34.210000,33.180000,583037,reg
2025-07-29T00:00:00Z,33.520000,33.450000,33.930000,32.940000,805564,reg
2025-07-30T00:00:00Z,34.260000,33.560000,34.610000,33.480100,555792,reg
2025-07-31T00:00:00Z,32.830000,35.100000,35.920000,32.830000,1679755,reg
2025-08-01T00:00:00Z,34.660000,35.505000,35.690000,34.640000,858699,reg
2025-08-04T00:00:00Z,35.580000,37.050000,37.100000,35.510000,747349,reg
2025-08-05T00:00:00Z,36.830000,37.530000,37.875000,36.460000,1132242,reg
2025-08-06T00:00:00Z,39.150000,42.440000,43.615000,38.260000,3814761,reg
2025-08-07T00:00:00Z,42.410000,41.460000,42.410000,40.430000,1934538,reg
2025-08-08T00:00:00Z,41.330000,41.230000,41.760000,40.260000,1045064,reg
2025-08-11T00:00:00Z,41.250000,40.570000,41.600000,40.320000,877607,reg
2025-08-12T00:00:00Z,41.120000,41.240000,41.700000,40.500000,897639,reg
2025-08-13T00:00:00Z,41.310000,42.640000,42.960000,41.010000,1080213,reg
2025-08-14T00:00:00Z,42.310000,42.170000,42.650000,41.760000,804436,reg
2025-08-15T00:00:00Z,42.240000,42.690000,43.580000,42.035000,996286,reg
2025-08-18T00:00:00Z,42.760000,42.990000,43.730000,42.470000,682108,reg
2025-08-19T00:00:00Z,42.950000,42.000000,43.070000,41.960000,623199,reg
2025-08-20T00:00:00Z,42.150000,42.680000,42.960000,41.783000,812613,reg
2025-08-21T00:00:00Z,42.720000,43.320000,43.540000,42.670000,719021,reg
2025-08-22T00:00:00Z,43.490000,44.880000,45.010000,43.490000,1047668,reg
2025-08-25T00:00:00Z,44.950000,44.430000,45.600000,44.370000,645741,reg
2025-08-26T00:00:00Z,44.190000,44.320000,44.680000,43.840000,372840,reg
2025-08-27T00:00:00Z,44.090000,45.070000,45.100000,43.770000,680753,reg
2025-08-28T00:00:00Z,45.070000,45.370000,45.420000,44.165000,468822,reg
2025-08-29T00:00:00Z,45.580000,45.120000,45.580000,44.980000,481773,reg
2025-09-02T00:00:00Z,44.950000,44.540000,45.940000,44.100000,861818,reg
2025-09-03T00:00:00Z,44.620000,44.930000,45.175000,44.525000,553192,reg
2025-09-04T00:00:00Z,44.990000,45.430000,45.500000,44.680000,600880,reg
2025-09-05T00:00:00Z,45.390000,46.000000,46.100000,45.190100,657578,reg
2025-09-08T00:00:00Z,45.920000,45.820000,46.785000,45.600000,595381,reg
2025-09-09T00:00:00Z,45.730000,46.030000,46.215000,45.385000,561794,reg
2025-09-10T00:00:00Z,46.000000,46.210000,46.230000,45.260000,661933,reg
2025-09-11T00:00:00Z,46.230000,46.660000,46.720000,45.870000,470462,reg
2025-09-12T00:00:00Z,46.470000,45.460000,46.670000,45.390000,415075,reg
2025-09-15T00:00:00Z,45.190000,43.990000,45.825000,43.900000,794454,reg
2025-09-16T00:00:00Z,43.960000,43.990000,44.200000,43.440000,1063607,reg
2025-09-17T00:00:00Z,44.040000,44.800000,45.160000,43.885200,629009,reg
2025-09-18T00:00:00Z,44.640000,46.130000,46.235000,44.285000,849927,reg
2025-09-19T00:00:00Z,46.770000,46.040000,46.770000,45.750000,1365793,reg
2025-09-22T00:00:00Z,46.200000,46.980000,47.070000,45.760100,681901,reg
2025-09-23T00:00:00Z,46.700000,46.830000,47.650000,46.425000,736536,reg
2025-09-24T00:00:00Z,46.880000,47.100000,47.170000,46.440000,459628,reg
2025-09-25T00:00:00Z,46.970000,47.180000,47.520000,46.315000,726113,reg
2025-09-26T00:00:00Z,47.440000,47.030000,48.000000,46.860000,594768,reg
2025-09-29T00:00:00Z,47.180000,47.600000,48.150000,46.765000,705333,reg
2025-09-30T00:00:00Z,48.010000,47.790000,48.440000,47.375000,497513,reg
2025-10-01T00:00:00Z,47.620000,48.040000,48.270000,47.290000,470082,reg
2025-10-02T00:00:00Z,47.930000,47.960000,48.640000,47.405000,592627,reg
2025-10-03T00:00:00Z,47.970000,48.350000,49.660000,47.970000,939438,reg
2025-10-06T00:00:00Z,48.350000,48.310000,48.840000,47.340000,728053,reg
2025-10-07T00:00:00Z,48.320000,48.070000,48.480000,47.585000,564144,reg
2025-10-08T00:00:00Z,48.040000,48.000000,48.240000,47.265000,584456,reg
2025-10-09T00:00:00Z,51.080000,49.510000,51.777500,49.350000,2131210,reg
2025-10-10T00:00:00Z,49.390000,49.000000,49.815000,48.270000,1047266,reg
2025-10-13T00:00:00Z,49.190000,48.380000,49.350000,48.193800,561138,reg
2025-10-14T00:00:00Z,48.310000,49.220000,49.480000,47.980000,656198,reg
2025-10-15T00:00:00Z,49.160000,49.270000,49.670000,48.815000,565363,reg
2025-10-16T00:00:00Z,49.220000,49.760000,49.770000,48.970000,374877,reg
2025-10-17T00:00:00Z,49.690000,50.170000,50.850000,49.440000,630165,reg
2025-10-20T00:00:00Z,50.440000,51.590000,52.150000,50.105000,741230,reg
2025-10-21T00:00:00Z,51.430000,50.670000,51.599900,50.330000,422142,reg
2025-10-22T00:00:00Z,50.720000,50.670000,51.470000,49.950000,561904,reg
2025-10-23T00:00:00Z,51.070000,52.020000,53.040000,50.700000,891616,reg
2025-10-24T00:00:00Z,52.300000,52.830000,53.280000,52.300000,840147,reg
2025-10-27T00:00:00Z,54.000000,52.720000,54.785000,52.610000,507584,reg
2025-10-28T00:00:00Z,52.720000,53.170000,53.380000,51.840000,410434,reg
2025-10-29T00:00:00Z,54.900000,55.680000,55.945000,53.160000,2314768,reg
