begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,127.590000,126.220000,128.430000,126.070000,4344776,reg
2025-05-29T00:00:00Z,127.350000,127.070000,127.930000,126.700000,6410908,reg
2025-05-30T00:00:00Z,127.150000,126.900000,127.290000,126.200000,9365166,reg
2025-06-02T00:00:00Z,126.250000,128.430000,128.460000,125.875000,6270989,reg
2025-06-03T00:00:00Z,128.240000,128.120000,128.400000,126.830000,5132559,reg
2025-06-04T00:00:00Z,128.220000,128.070000,129.070000,127.550000,4437320,reg
2025-06-05T00:00:00Z,128.060000,127.370000,128.192400,126.530000,4693663,reg
2025-06-06T00:00:00Z,127.940000,128.450000,128.790000,127.300000,4612870,reg
2025-06-09T00:00:00Z,128.010000,126.350000,128.080000,125.740000,4755003,reg
2025-06-10T00:00:00Z,125.700000,126.040000,126.582000,125.460000,4684992,reg
2025-06-11T00:00:00Z,126.210000,124.530000,126.210000,124.300000,4146157,reg
2025-06-12T00:00:00Z,124.470000,124.460000,124.940000,123.555000,4087897,reg
2025-06-13T00:00:00Z,123.500000,123.910000,124.969600,123.250000,3786976,reg
2025-06-16T00:00:00Z,124.560000,124.270000,125.320000,124.080000,4930204,reg
2025-06-17T00:00:00Z,123.470000,123.010000,124.595000,122.720000,4264617,reg
2025-06-18T00:00:00Z,123.450000,122.540000,123.500000,122.410000,4924817,reg
2025-06-20T00:00:00Z,123.050000,123.500000,123.780000,122.500000,6729669,reg
2025-06-23T00:00:00Z,123.450000,124.760000,124.970000,122.719500,4073068,reg
2025-06-24T00:00:00Z,124.950000,124.600000,125.550000,124.180100,4546246,reg
2025-06-25T00:00:00Z,124.490000,122.480000,124.745000,122.450000,4669739,reg
2025-06-26T00:00:00Z,122.770000,122.140000,122.770000,119.900000,8415076,reg
2025-06-27T00:00:00Z,121.980000,123.380000,123.790000,121.640000,9786277,reg
2025-06-30T00:00:00Z,123.990000,123.490000,123.990000,122.260000,6228031,reg
2025-07-01T00:00:00Z,123.670000,125.160000,125.650000,123.160000,5126182,reg
2025-07-02T00:00:00Z,125.390000,125.310000,125.630000,124.310000,4790567,reg
2025-07-03T00:00:00Z,125.350000,125.860000,126.110000,124.770000,2986646,reg
2025-07-07T00:00:00Z,125.950000,125.170000,126.200000,124.720000,3945047,reg
2025-07-08T00:00:00Z,125.020000,125.260000,125.650000,124.145000,5683325,reg
2025-07-09T00:00:00Z,125.520000,125.450000,125.950000,124.350000,3818359,reg
2025-07-10T00:00:00Z,125.020000,124.160000,125.365000,123.985000,5051203,reg
2025-07-11T00:00:00Z,123.730000,123.710000,124.170000,123.370000,4146140,reg
2025-07-14T00:00:00Z,123.150000,123.560000,123.690000,122.520000,4651235,reg
2025-07-15T00:00:00Z,123.190000,121.740000,123.790000,121.720000,4720512,reg
2025-07-16T00:00:00Z,122.130000,121.350000,122.290000,119.840500,6152040,reg
2025-07-17T00:00:00Z,121.050000,122.170000,122.390000,121.000000,3828349,reg
2025-07-18T00:00:00Z,122.300000,122.170000,122.820000,122.000000,3464578,reg
2025-07-21T00:00:00Z,122.485000,124.940000,125.172200,122.300000,4722225,reg
2025-07-22T00:00:00Z,125.080000,125.600000,126.430000,124.230300,4284929,reg
2025-07-23T00:00:00Z,126.190000,126.360000,127.040000,125.925000,4367663,reg
2025-07-24T00:00:00Z,126.070000,126.260000,126.720000,125.400000,4722811,reg
2025-07-25T00:00:00Z,126.760000,126.440000,127.020000,125.960000,5143326,reg
2025-07-28T00:00:00Z,126.340000,125.390000,127.130000,124.850000,6114609,reg
2025-07-29T00:00:00Z,126.100000,126.370000,127.000000,125.500000,5543462,reg
2025-07-30T00:00:00Z,126.630000,125.810000,127.080000,125.280200,3193317,reg
2025-07-31T00:00:00Z,124.940000,124.530000,125.765000,124.380000,4652988,reg
2025-08-01T00:00:00Z,124.110000,126.000000,126.230000,123.780000,4855593,reg
2025-08-04T00:00:00Z,126.420000,129.220000,129.220000,126.300000,4807802,reg
2025-08-05T00:00:00Z,129.230000,128.770000,129.850000,128.480000,5178507,reg
2025-08-06T00:00:00Z,128.910000,132.100000,132.160000,128.630000,4839543,reg
2025-08-07T00:00:00Z,132.710000,131.980000,132.890000,130.980000,6154837,reg
2025-08-08T00:00:00Z,132.080000,131.370000,132.749900,131.360000,4629746,reg
2025-08-11T00:00:00Z,131.790000,132.400000,132.450000,130.880000,3304220,reg
2025-08-12T00:00:00Z,132.810000,133.390000,133.660000,132.330000,4284878,reg
2025-08-13T00:00:00Z,133.345000,134.100000,134.230000,133.160000,5594084,reg
2025-08-14T00:00:00Z,133.020000,132.950000,134.015000,132.710000,3763283,reg
2025-08-15T00:00:00Z,133.130000,132.620000,133.610000,132.010000,4796194,reg
2025-08-18T00:00:00Z,132.930000,133.060000,134.130000,132.630000,6225921,reg
2025-08-19T00:00:00Z,133.340000,134.620000,134.970000,133.340000,6727275,reg
2025-08-20T00:00:00Z,143.535000,138.270000,145.580000,137.760000,13223171,reg
2025-08-21T00:00:00Z,136.460000,137.510000,138.760000,136.315000,7054329,reg
2025-08-22T00:00:00Z,137.970000,136.540000,139.377400,135.920000,5776666,reg
2025-08-25T00:00:00Z,136.110000,135.500000,137.070000,135.360000,4734604,reg
2025-08-26T00:00:00Z,135.670000,136.680000,136.740000,134.745000,6531555,reg
2025-08-27T00:00:00Z,136.680000,137.230000,137.500000,136.220000,4521962,reg
2025-08-28T00:00:00Z,137.550000,137.120000,137.900000,136.300200,5139011,reg
2025-08-29T00:00:00Z,137.270000,136.610000,137.480000,135.895000,4118560,reg
2025-09-02T00:00:00Z,136.200000,138.570000,138.595000,136.200000,5282939,reg
2025-09-03T00:00:00Z,138.570000,139.470000,139.580000,138.390000,4799064,reg
2025-09-04T00:00:00Z,139.870000,141.020000,141.100000,139.710000,4172463,reg
2025-09-05T00:00:00Z,141.420000,139.260000,141.500000,138.930000,6735961,reg
2025-09-08T00:00:00Z,139.230000,140.840000,141.000000,139.150000,4801504,reg
2025-09-09T00:00:00Z,139.780000,139.970000,140.525000,139.060000,3453325,reg
2025-09-10T00:00:00Z,139.560000,139.860000,140.040000,138.710000,3573599,reg
2025-09-11T00:00:00Z,140.380000,140.830000,141.250000,139.790000,5197897,reg
2025-09-12T00:00:00Z,140.520000,139.480000,141.355000,138.900000,5173257,reg
2025-09-15T00:00:00Z,139.800000,141.170000,141.240000,139.470000,4186780,reg
2025-09-16T00:00:00Z,140.670000,139.550000,141.110000,138.830000,3786539,reg
2025-09-17T00:00:00Z,139.990000,140.040000,140.890000,139.215000,4617144,reg
2025-09-18T00:00:00Z,139.970000,139.930000,141.020000,139.370000,4794889,reg
2025-09-19T00:00:00Z,140.185000,139.780000,140.420000,139.095000,7503971,reg
2025-09-22T00:00:00Z,139.790000,139.410000,139.790000,138.670000,3683346,reg
2025-09-23T00:00:00Z,139.450000,139.720000,139.860000,138.900000,3308555,reg
2025-09-24T00:00:00Z,139.510000,140.440000,141.450000,139.000000,5027665,reg
2025-09-25T00:00:00Z,140.870000,141.460000,141.570000,140.300000,4119956,reg
2025-09-26T00:00:00Z,141.870000,143.090000,143.220000,141.445000,4224433,reg
2025-09-29T00:00:00Z,143.190000,143.520000,143.650000,142.045000,4260517,reg
2025-09-30T00:00:00Z,143.310000,144.540000,144.830000,143.310000,6435854,reg
2025-10-01T00:00:00Z,144.080000,144.320000,145.115000,143.535000,6703906,reg
2025-10-02T00:00:00Z,143.670000,142.490000,144.490000,142.200000,4449477,reg
2025-10-03T00:00:00Z,142.490000,141.330000,143.250000,141.150000,2994107,reg
2025-10-06T00:00:00Z,141.240000,143.110000,143.640000,141.240000,6309617,reg
2025-10-07T00:00:00Z,142.740000,142.660000,143.650000,140.110000,6700979,reg
2025-10-08T00:00:00Z,142.720000,140.710000,142.950000,140.380000,5158356,reg
2025-10-09T00:00:00Z,140.730000,138.560000,141.470000,138.450000,3750950,reg
2025-10-10T00:00:00Z,138.710000,140.380000,141.065000,138.225000,4261186,reg
2025-10-13T00:00:00Z,140.230000,141.390000,141.905000,139.780000,4144525,reg
