begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,128.560000,128.620000,130.100000,126.710000,599768,reg
2025-05-29T00:00:00Z,130.220000,127.690000,130.480000,126.710000,547139,reg
2025-05-30T00:00:00Z,127.500000,127.120000,128.440000,125.310000,776513,reg
2025-06-02T00:00:00Z,126.390000,123.940000,126.840000,120.300000,1074496,reg
2025-06-03T00:00:00Z,125.160000,128.740000,131.270000,123.270000,895131,reg
2025-06-04T00:00:00Z,128.850000,129.810000,131.750000,128.340000,790623,reg
2025-06-05T00:00:00Z,130.000000,135.590000,135.700000,128.620000,808216,reg
2025-06-06T00:00:00Z,137.110000,139.050000,139.660000,135.000000,784540,reg
2025-06-09T00:00:00Z,139.800000,139.400000,140.680000,136.110000,636706,reg
2025-06-10T00:00:00Z,140.000000,140.860000,143.545000,139.665000,921678,reg
2025-06-11T00:00:00Z,140.505000,142.880000,145.500000,140.080000,978358,reg
2025-06-12T00:00:00Z,142.280000,143.045000,143.816700,140.400000,495417,reg
2025-06-13T00:00:00Z,140.210000,142.880000,145.300000,139.310000,456770,reg
2025-06-16T00:00:00Z,143.550000,141.960000,145.500000,139.560000,829355,reg
2025-06-17T00:00:00Z,140.150000,136.200000,141.900000,136.050000,930098,reg
2025-06-18T00:00:00Z,135.940000,123.950000,135.940000,123.000000,2099346,reg
2025-06-20T00:00:00Z,124.000000,123.560000,125.940000,121.300000,1292308,reg
2025-06-23T00:00:00Z,123.000000,127.530000,128.199900,120.360000,1016596,reg
2025-06-24T00:00:00Z,128.590000,132.640000,133.490000,126.290000,735249,reg
2025-06-25T00:00:00Z,133.350000,128.580000,133.350000,128.000000,711772,reg
2025-06-26T00:00:00Z,129.000000,130.060000,131.350000,128.130000,441007,reg
2025-06-27T00:00:00Z,130.790000,131.450000,133.020000,129.660000,623724,reg
2025-06-30T00:00:00Z,132.100000,134.010000,135.820000,132.100000,575149,reg
2025-07-01T00:00:00Z,133.800000,130.100000,136.630000,128.610000,754730,reg
2025-07-02T00:00:00Z,129.920000,127.690000,130.700000,125.100000,714359,reg
2025-07-03T00:00:00Z,127.370000,129.190000,129.190000,124.500000,369545,reg
2025-07-07T00:00:00Z,127.840000,125.165000,128.005000,123.250100,699858,reg
2025-07-08T00:00:00Z,125.160000,124.730000,128.055000,124.230000,739338,reg
2025-07-09T00:00:00Z,125.000000,126.410000,126.540000,122.480000,636856,reg
2025-07-10T00:00:00Z,125.970000,124.780000,127.970000,123.795000,651769,reg
2025-07-11T00:00:00Z,122.700000,112.460000,123.499900,109.590000,2556635,reg
2025-07-14T00:00:00Z,112.180000,116.880000,119.460000,111.925000,1285123,reg
2025-07-15T00:00:00Z,118.440000,115.680000,120.450000,114.740000,740768,reg
2025-07-16T00:00:00Z,117.370000,113.320000,118.370000,113.040000,715738,reg
2025-07-17T00:00:00Z,113.200000,112.520000,115.370000,112.260000,568313,reg
2025-07-18T00:00:00Z,113.910000,109.880000,114.630000,109.660000,790010,reg
2025-07-21T00:00:00Z,108.360000,103.610000,109.800000,103.260000,1968682,reg
2025-07-22T00:00:00Z,102.560000,105.600000,107.080000,98.890000,1823521,reg
2025-07-23T00:00:00Z,109.050000,109.970000,111.700000,107.260000,1121676,reg
2025-07-24T00:00:00Z,111.000000,106.790000,112.250000,105.900000,988352,reg
2025-07-25T00:00:00Z,106.950000,108.120000,108.660000,105.060100,652874,reg
2025-07-28T00:00:00Z,109.350000,105.240000,110.000000,105.000000,885762,reg
2025-07-29T00:00:00Z,105.900000,104.830000,106.900000,104.710000,1108949,reg
2025-07-30T00:00:00Z,106.140000,107.700000,109.900000,105.900000,2162867,reg
2025-07-31T00:00:00Z,123.610000,118.970000,124.500000,111.300000,3869076,reg
2025-08-01T00:00:00Z,117.910000,120.550000,122.760000,114.280000,1778026,reg
2025-08-04T00:00:00Z,125.510000,128.500000,131.850000,123.096100,1903736,reg
2025-08-05T00:00:00Z,128.500000,125.740000,128.750000,122.626500,1110694,reg
2025-08-06T00:00:00Z,124.910000,118.800000,124.910000,116.580000,1171379,reg
2025-08-07T00:00:00Z,120.175000,116.050000,120.325000,114.330000,872329,reg
2025-08-08T00:00:00Z,115.500000,114.500000,118.680000,114.303300,760469,reg
2025-08-11T00:00:00Z,125.970000,127.260000,133.175000,125.000000,2081683,reg
2025-08-12T00:00:00Z,128.530000,131.130000,133.000000,125.887900,1240541,reg
2025-08-13T00:00:00Z,132.090000,132.040000,133.540000,127.700000,996422,reg
2025-08-14T00:00:00Z,129.500000,129.740000,131.990000,126.780000,876387,reg
2025-08-15T00:00:00Z,129.580000,127.550000,130.016300,126.230000,601765,reg
2025-08-18T00:00:00Z,127.720000,125.650000,129.010000,124.680000,563892,reg
2025-08-19T00:00:00Z,125.550000,122.680000,127.480000,122.170100,661343,reg
2025-08-20T00:00:00Z,121.590000,121.880000,122.770000,118.250000,834645,reg
2025-08-21T00:00:00Z,120.710000,118.810000,121.755000,117.427700,697035,reg
2025-08-22T00:00:00Z,118.370000,119.850000,121.794200,117.170000,1033556,reg
2025-08-25T00:00:00Z,120.500000,114.970000,122.850000,114.720000,905906,reg
2025-08-26T00:00:00Z,115.370000,115.180000,116.650000,113.900000,686253,reg
2025-08-27T00:00:00Z,115.190000,117.380000,118.810000,114.560000,669710,reg
2025-08-28T00:00:00Z,118.380000,116.725000,118.470000,114.560000,522676,reg
2025-08-29T00:00:00Z,116.580000,114.960000,117.050000,112.820000,666538,reg
2025-09-02T00:00:00Z,112.000000,111.550000,113.679900,109.590000,1013032,reg
2025-09-03T00:00:00Z,111.730000,106.940000,112.150000,106.450000,1365570,reg
2025-09-04T00:00:00Z,105.570000,104.050000,106.050000,101.860000,1371162,reg
2025-09-05T00:00:00Z,104.120000,104.010000,105.746700,101.000000,997267,reg
2025-09-08T00:00:00Z,104.350000,105.580000,108.120000,103.651500,1322357,reg
2025-09-09T00:00:00Z,113.950000,108.280000,117.957600,106.540000,2090643,reg
2025-09-10T00:00:00Z,108.500000,107.790000,109.150000,105.000000,1037588,reg
2025-09-11T00:00:00Z,108.240000,116.990000,119.360000,108.000000,1491103,reg
2025-09-12T00:00:00Z,115.380000,114.565000,116.395000,112.495000,793943,reg
2025-09-15T00:00:00Z,114.840000,114.290000,117.239900,113.840000,676501,reg
2025-09-16T00:00:00Z,115.250000,119.150000,119.500000,115.170000,703558,reg
2025-09-17T00:00:00Z,119.150000,119.810000,121.000000,117.700000,778136,reg
2025-09-18T00:00:00Z,119.400000,121.100000,122.050000,114.907500,1022638,reg
2025-09-19T00:00:00Z,121.530000,122.290000,125.567000,120.670000,2097677,reg
2025-09-22T00:00:00Z,122.500000,125.150000,127.430000,122.000000,839292,reg
2025-09-23T00:00:00Z,127.010000,120.530000,128.740000,119.810000,1001491,reg
2025-09-24T00:00:00Z,120.300000,117.430000,121.620000,116.186100,637784,reg
2025-09-25T00:00:00Z,114.010000,113.900000,114.949900,111.050000,821253,reg
2025-09-26T00:00:00Z,114.120000,113.870000,114.910000,112.100000,557272,reg
2025-09-29T00:00:00Z,115.050000,112.640000,115.900000,111.600000,619705,reg
2025-09-30T00:00:00Z,112.390000,112.200000,112.690000,109.770000,749664,reg
2025-10-01T00:00:00Z,111.320000,114.890000,114.890000,110.050000,607248,reg
2025-10-02T00:00:00Z,115.000000,116.070000,117.145000,112.250000,572556,reg
2025-10-03T00:00:00Z,115.860000,115.690000,119.780000,115.100000,757364,reg
2025-10-06T00:00:00Z,116.670000,113.930000,117.060000,112.750000,1484564,reg
2025-10-07T00:00:00Z,113.800000,115.180000,120.280000,113.600000,869820,reg
