begins_at,open_price,close_price,high_price,low_price,volume,session
2025-05-28T00:00:00Z,243.100000,241.510000,243.510000,241.060000,2468609,reg
2025-05-29T00:00:00Z,241.820000,239.300000,241.820000,236.740000,3127730,reg
2025-05-30T00:00:00Z,239.580000,242.200000,243.320000,238.430000,8313482,reg
2025-06-02T00:00:00Z,239.570000,243.060000,243.370000,238.900000,2579028,reg
2025-06-03T00:00:00Z,241.970000,243.880000,244.430000,241.430000,3630852,reg
2025-06-04T00:00:00Z,244.480000,241.960000,245.200000,241.950000,3414332,reg
2025-06-05T00:00:00Z,241.890000,244.900000,246.260000,241.160000,2855732,reg
2025-06-06T00:00:00Z,246.880000,245.860000,247.550000,244.520000,2022635,reg
2025-06-09T00:00:00Z,244.660000,237.950000,244.920000,237.870000,4538561,reg
2025-06-10T00:00:00Z,237.000000,236.980000,237.770000,234.670000,3767187,reg
2025-06-11T00:00:00Z,236.310000,230.940000,236.490000,229.810000,6709614,reg
2025-06-12T00:00:00Z,232.490000,228.700000,232.490000,227.520000,5368961,reg
2025-06-13T00:00:00Z,228.500000,228.000000,229.670000,226.150000,4380070,reg
2025-06-16T00:00:00Z,228.260000,230.990000,231.610000,227.810000,3777799,reg
2025-06-17T00:00:00Z,221.900000,221.430000,222.500000,220.000000,12423640,reg
2025-06-18T00:00:00Z,222.225000,220.805000,223.000000,220.560000,5600251,reg
2025-06-20T00:00:00Z,222.110000,221.520000,223.200000,220.900000,8936710,reg
2025-06-23T00:00:00Z,223.000000,226.980000,227.630000,222.485000,7469028,reg
2025-06-24T00:00:00Z,227.590000,229.820000,230.340000,226.590000,5128441,reg
2025-06-25T00:00:00Z,229.420000,230.900000,231.290000,228.759000,5428764,reg
2025-06-26T00:00:00Z,231.000000,231.420000,231.596700,229.000000,4342378,reg
2025-06-27T00:00:00Z,230.720000,235.250000,236.340000,230.420000,6496255,reg
2025-06-30T00:00:00Z,234.490000,238.260000,238.620000,234.230300,5118676,reg
2025-07-01T00:00:00Z,238.410000,241.510000,243.280000,238.075000,4536552,reg
2025-07-02T00:00:00Z,240.000000,237.420000,240.995500,236.800000,3414433,reg
2025-07-03T00:00:00Z,236.965000,240.750000,241.350000,236.600000,1998845,reg
2025-07-07T00:00:00Z,239.970000,237.630000,240.265000,236.600000,2958403,reg
2025-07-08T00:00:00Z,236.210000,235.970000,236.790000,233.610000,3020983,reg
2025-07-09T00:00:00Z,234.930000,232.310000,235.200000,231.400000,3938436,reg
2025-07-10T00:00:00Z,231.500000,228.150000,231.500000,227.020000,5528996,reg
2025-07-11T00:00:00Z,228.380000,227.760000,229.110000,226.100000,3093922,reg
2025-07-14T00:00:00Z,227.690000,228.150000,229.637000,227.480000,3118265,reg
2025-07-15T00:00:00Z,226.670000,226.020000,227.080000,225.280000,3429778,reg
2025-07-16T00:00:00Z,226.500000,228.740000,229.370000,226.465000,5793133,reg
2025-07-17T00:00:00Z,227.610000,227.030000,229.290000,225.940000,3509333,reg
2025-07-18T00:00:00Z,228.710000,227.210000,228.791000,226.240000,3773702,reg
2025-07-21T00:00:00Z,229.830000,232.620000,233.970000,229.605000,4431060,reg
2025-07-22T00:00:00Z,233.640000,233.250000,238.160000,232.780000,4004438,reg
2025-07-23T00:00:00Z,233.170000,233.930000,234.950000,230.720000,5621034,reg
2025-07-24T00:00:00Z,244.000000,247.500000,251.750000,243.500000,8623233,reg
2025-07-25T00:00:00Z,248.260000,243.550000,249.910000,243.100000,5205385,reg
2025-07-28T00:00:00Z,242.580000,238.190000,242.955000,237.280000,3703102,reg
2025-07-29T00:00:00Z,239.165000,239.250000,241.300000,237.800000,3563743,reg
2025-07-30T00:00:00Z,239.325000,241.580000,242.790000,238.585000,4213030,reg
2025-07-31T00:00:00Z,239.380000,238.410000,242.050000,238.120000,4079203,reg
2025-08-01T00:00:00Z,240.440000,237.200000,242.010000,236.910000,3481439,reg
2025-08-04T00:00:00Z,237.740000,241.010000,241.400000,237.080000,3755453,reg
2025-08-05T00:00:00Z,240.930000,238.930000,241.490000,236.825000,3775576,reg
2025-08-06T00:00:00Z,238.340000,239.220000,241.900000,235.560000,5160209,reg
2025-08-07T00:00:00Z,239.610000,242.930000,243.175000,238.505000,4061823,reg
2025-08-08T00:00:00Z,243.220000,244.980000,246.750000,242.950000,4261735,reg
2025-08-11T00:00:00Z,245.740000,248.870000,249.010000,245.480000,3976232,reg
2025-08-12T00:00:00Z,249.500000,252.280000,252.590000,248.300000,4620956,reg
2025-08-13T00:00:00Z,252.500000,250.840000,254.030000,250.450000,3152581,reg
2025-08-14T00:00:00Z,251.580000,250.310000,252.495000,249.280000,2951696,reg
2025-08-15T00:00:00Z,251.120000,254.630000,256.190000,250.300000,3939554,reg
2025-08-18T00:00:00Z,255.610000,255.180000,256.730000,254.040000,3309218,reg
2025-08-19T00:00:00Z,255.150000,258.220000,258.460000,254.200000,3641879,reg
2025-08-20T00:00:00Z,259.940000,259.010000,261.560000,258.730000,3875918,reg
2025-08-21T00:00:00Z,258.060000,258.160000,259.500000,257.010000,3330441,reg
2025-08-22T00:00:00Z,259.960000,251.950000,261.250000,251.140000,3985117,reg
2025-08-25T00:00:00Z,253.100000,251.740000,253.390000,249.880000,4295664,reg
2025-08-26T00:00:00Z,251.580000,251.200000,251.830000,249.418000,6515220,reg
2025-08-27T00:00:00Z,249.780000,251.360000,252.270000,249.570000,3212404,reg
2025-08-28T00:00:00Z,250.720000,250.560000,251.650000,249.380000,3595126,reg
2025-08-29T00:00:00Z,249.030000,251.990000,253.150000,248.863800,3204940,reg
2025-09-02T00:00:00Z,251.695000,255.890000,258.660000,251.200000,4055565,reg
2025-09-03T00:00:00Z,253.310000,252.660000,254.410000,251.320000,3823074,reg
2025-09-04T00:00:00Z,254.210000,252.120000,256.690000,250.750000,3349355,reg
2025-09-05T00:00:00Z,252.830000,252.760000,255.735000,251.610000,3294248,reg
2025-09-08T00:00:00Z,241.125000,242.900000,247.250000,237.400000,6313593,reg
2025-09-09T00:00:00Z,242.530000,242.720000,243.720000,240.840000,3651761,reg
2025-09-10T00:00:00Z,241.890000,240.380000,242.900000,238.495000,4942169,reg
2025-09-11T00:00:00Z,240.240000,241.390000,242.340000,239.520100,4321893,reg
2025-09-12T00:00:00Z,240.090000,241.720000,242.820000,239.680000,3085772,reg
2025-09-15T00:00:00Z,241.390000,239.740000,244.240000,238.415000,3062654,reg
2025-09-16T00:00:00Z,239.880000,237.620000,240.145000,236.150000,3639601,reg
2025-09-17T00:00:00Z,238.900000,239.450000,240.820000,238.330100,3422251,reg
2025-09-18T00:00:00Z,237.530000,238.830000,240.740000,237.208500,3545539,reg
