begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-25,342.700000,327.550000,343.000000,320.400000,119845050,reg
2025-06-26,324.610000,325.780000,331.050000,323.610000,80440907,reg
2025-06-27,324.510000,323.630000,329.339300,317.495000,89067049,reg
2025-06-30,319.900000,317.660000,325.579900,316.600000,76695081,reg
2025-07-01,298.460000,300.710000,305.890000,293.210000,145085665,reg
2025-07-02,312.630000,315.650000,316.832000,303.820000,119483730,reg
2025-07-03,317.990000,315.350000,318.450000,312.760000,58042302,reg
2025-07-07,291.370000,293.940000,296.150000,288.770100,131177949,reg
2025-07-08,297.000000,297.810000,304.049900,294.350000,103246742,reg
2025-07-09,297.550000,295.880000,300.150000,293.550000,75586771,reg
2025-07-10,300.050000,309.870000,310.480000,300.000000,104365271,reg
2025-07-11,307.890000,313.510000,314.090000,305.650000,79236442,reg
2025-07-14,317.730000,316.900000,322.598600,312.670000,78043430,reg
2025-07-15,319.675000,310.780000,321.200000,310.500000,77556346,reg
2025-07-16,312.800000,321.670000,323.500000,312.620000,97284786,reg
2025-07-17,323.150000,319.410000,324.340000,317.060100,73922870,reg
2025-07-18,321.660000,329.650000,330.900000,321.420000,94254993,reg
2025-07-21,334.400000,328.490000,338.000000,326.880000,75768797,reg
2025-07-22,329.740000,332.110000,335.409800,321.550000,77370371,reg
2025-07-23,330.900000,332.560000,336.200000,328.670000,92553756,reg
2025-07-24,310.000000,305.300000,310.150000,300.410000,156966023,reg
2025-07-25,308.740000,316.060000,323.630000,308.010000,148227027,reg
2025-07-28,318.450000,325.590000,330.490000,315.690000,112673755,reg
2025-07-29,325.550000,321.200000,326.250000,318.250000,87358861,reg
2025-07-30,322.180000,319.040000,324.449900,311.616400,83931942,reg
2025-07-31,319.605000,308.270000,321.370000,306.100000,85270919,reg
2025-08-01,306.205000,302.630000,309.310000,297.820000,89121446,reg
2025-08-04,309.080000,309.260000,312.118600,303.000100,78683905,reg
2025-08-05,308.950000,308.720000,312.449900,305.500000,57961278,reg
2025-08-06,307.890000,319.910000,320.470000,306.934500,78523579,reg
2025-08-07,319.790000,322.270000,322.400000,316.160000,66658672,reg
2025-08-08,321.430000,329.650000,335.150000,320.980000,91200319,reg
2025-08-11,335.000000,339.030000,346.640000,334.150000,105320174,reg
2025-08-12,345.000000,340.840000,345.260000,332.940000,80690111,reg
2025-08-13,341.500000,339.380000,348.980000,338.200000,67838892,reg
2025-08-14,335.760000,335.580000,340.469900,330.400000,75000662,reg
2025-08-15,337.655000,330.560000,339.300000,327.020000,74319792,reg
2025-08-18,329.620000,335.160000,336.270000,329.590000,56956552,reg
2025-08-19,335.790000,329.310000,340.550000,327.850000,75956002,reg
2025-08-20,329.220000,323.900000,331.370000,314.600000,77481768,reg
2025-08-21,322.080000,320.110000,324.900000,318.680000,55744445,reg
2025-08-22,321.660000,340.010000,340.250000,319.690000,94016347,reg
2025-08-25,338.900000,346.600000,349.530000,335.030000,86670037,reg
2025-08-26,344.930000,351.670000,351.900000,343.720000,76651550,reg
2025-08-27,351.940000,349.600000,355.390000,349.156000,65519012,reg
2025-08-28,350.910000,345.980000,353.550000,340.260000,67903224,reg
2025-08-29,347.230000,333.870000,348.749900,331.700000,81145660,reg
2025-09-02,328.230000,329.360000,333.330000,325.600000,58391952,reg
2025-09-03,335.200000,334.090000,343.330000,328.510000,88733288,reg
2025-09-04,336.150000,338.530000,338.890000,331.480000,60711033,reg
2025-09-05,348.000000,350.840000,355.870000,344.680100,108989785,reg
2025-09-08,354.640000,346.400000,358.440000,344.840000,75208290,reg
2025-09-09,348.440000,346.970000,350.770000,343.820000,53815991,reg
2025-09-10,350.550000,347.790000,356.330000,346.070000,72121679,reg
2025-09-11,350.170000,368.810000,368.990000,347.600000,103756010,reg
2025-09-12,370.940000,395.940000,396.689900,370.240000,168156391,reg
2025-09-15,423.130000,410.040000,425.700000,402.430000,163823667,reg
2025-09-16,414.495000,421.620000,423.250000,411.430000,104285721,reg
2025-09-17,415.750000,425.860000,428.312095,409.670000,106133532,reg
2025-09-18,428.865000,416.850000,432.219900,416.560000,90454509,reg
2025-09-19,421.820000,426.070000,429.470000,421.720000,93131034,reg
2025-09-22,431.110000,434.210000,444.980000,429.130000,97108777,reg
2025-09-23,439.880000,425.850000,440.970000,423.720000,83422691,reg
2025-09-24,429.830000,442.790000,444.210000,429.030100,93133570,reg
2025-09-25,435.240000,423.390000,435.350000,419.080000,96746426,reg
2025-09-26,428.300000,440.400000,440.470000,421.020000,101628160,reg
2025-09-29,444.350000,443.210000,450.980000,439.500000,79491510,reg
2025-09-30,441.520000,444.720000,445.000000,433.120000,74357960,reg
2025-10-01,443.800000,459.460000,462.290000,440.750000,98122285,reg
2025-10-02,470.540000,436.000000,470.750000,435.570000,137008950,reg
2025-10-03,443.285000,429.830000,446.770000,416.575000,133188180,reg
2025-10-06,440.750000,453.250000,453.550000,436.690000,85324878,reg
2025-10-07,447.820000,433.090000,452.680000,432.450100,102296082,reg
2025-10-08,437.570000,438.690000,441.330000,425.230000,71192128,reg
2025-10-09,431.810000,435.540000,436.350000,426.180000,69339928,reg
2025-10-10,436.540000,413.490000,443.130000,411.450000,112107870,reg
2025-10-13,423.530000,435.900000,436.890000,419.700000,79552785,reg
2025-10-14,426.790000,429.240000,434.200000,417.860000,72669438,reg
2025-10-15,434.900000,435.150000,440.510000,426.330100,71558185,reg
2025-10-16,434.730000,428.750000,439.350000,421.310100,77189889,reg
2025-10-17,425.500000,439.310000,441.455800,423.600000,89331578,reg
2025-10-20,443.865000,447.430000,449.800000,440.610000,63718971,reg
2025-10-21,445.755000,442.600000,449.300000,442.050000,54412169,reg
2025-10-22,443.450000,438.970000,445.539000,429.000000,84023458,reg
2025-10-23,420.000000,448.980000,449.399900,413.900000,126709833,reg
2025-10-24,446.830000,433.720000,451.680000,430.170000,94727774,reg
2025-10-27,439.980000,452.420000,460.160000,438.690000,105867547,reg
2025-10-28,454.775000,460.550000,467.000000,451.600000,80185667,reg
2025-10-29,462.500000,461.510000,465.700000,452.650000,67983544,reg
2025-10-30,451.050000,440.100000,455.060700,439.610000,72447938,reg
2025-10-31,446.750000,456.560000,458.000000,443.685500,83135787,reg
2025-11-03,455.990000,468.370000,474.070000,453.800000,84595244,reg
2025-11-04,454.460000,444.260000,460.220000,443.600000,87756644,reg
2025-11-05,452.050000,462.070000,466.329900,440.710000,85573015,reg
2025-11-06,461.960000,445.910000,467.450000,435.090000,109622907,reg
2025-11-07,437.920000,429.520000,439.360000,421.880000,103471495,reg
2025-11-10,439.600000,445.230000,449.671500,433.360000,76515907,reg
2025-11-11,439.400000,439.620000,442.490000,432.360000,60533237,reg
2025-11-12,442.150000,430.600000,442.329000,426.560000,58513520,reg
2025-11-13,423.130000,401.990000,424.500000,396.340000,118948032,reg
2025-11-14,386.300000,404.350000,412.190000,382.780000,105506682,reg
2025-11-17,398.740000,408.920000,423.960000,398.740000,102214259,reg
2025-11-18,405.380000,401.250000,408.900000,393.710000,80688637,reg
2025-11-19,406.180000,403.990000,411.780000,398.500000,72047704,reg
2025-11-20,414.630000,395.230000,428.940000,394.740000,113548827,reg
2025-11-21,402.320000,391.090000,402.800000,383.760000,100460633,reg
2025-11-24,402.170000,417.780000,421.720000,401.090000,96806374,reg
2025-11-25,414.420000,419.400000,420.480000,405.950000,71915624,reg
2025-11-26,423.950000,426.580000,426.940000,416.890000,63462996,reg
2025-11-28,426.590000,430.170000,432.930000,426.200000,36252861,reg
2025-12-01,425.320000,430.140000,433.659900,425.290000,57463552,reg
2025-12-02,430.810000,429.240000,436.800000,422.120000,69336626,reg
2025-12-03,432.100000,446.740000,447.920000,431.110000,87482964,reg
2025-12-04,449.940000,454.530000,454.630000,445.390000,71906488,reg
2025-12-05,453.030000,455.000000,458.870000,451.660000,56427522,reg
2025-12-08,447.445000,439.580000,449.746300,435.250000,69165753,reg
2025-12-09,437.540000,445.170000,452.390000,435.700000,62367442,reg
2025-12-10,446.065000,451.450000,456.880000,443.610000,63257475,reg
2025-12-11,448.945000,446.890000,449.269900,440.330000,55979492,reg
2025-12-12,448.090000,458.960000,463.010000,441.670000,95656749,reg
2025-12-15,469.440000,475.310000,481.769400,467.660000,114542204,reg
2025-12-16,472.210000,489.880000,491.500000,465.830000,107608075,reg
2025-12-17,488.220000,467.260000,495.279900,466.200000,106490405,reg
2025-12-18,478.160000,483.370000,490.860000,473.120000,95168446,reg
2025-12-19,488.120000,481.200000,490.490000,474.720000,103305424,reg
2025-12-22,489.880000,488.730000,498.830000,485.330000,86916066,reg
2025-12-23,489.395000,485.560000,491.970000,482.840000,58223633,reg
