begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,26.460000,26.640000,26.920000,25.850000,634212,reg
2025-06-17T00:00:00Z,26.420000,26.760000,26.840000,25.910000,745860,reg
2025-06-18T00:00:00Z,26.690000,26.810000,27.110000,25.990000,687365,reg
2025-06-20T00:00:00Z,27.190000,26.390000,27.280000,26.150000,1682385,reg
2025-06-23T00:00:00Z,26.240000,26.710000,26.730000,25.860000,608821,reg
2025-06-24T00:00:00Z,27.210000,26.880000,27.210000,26.570000,534868,reg
2025-06-25T00:00:00Z,26.940000,26.450000,26.940000,26.275000,815333,reg
2025-06-26T00:00:00Z,26.560000,26.810000,26.830000,26.010000,919774,reg
2025-06-27T00:00:00Z,27.000000,27.380000,27.640000,26.520000,3601450,reg
2025-06-30T00:00:00Z,27.420000,27.030000,27.695000,26.890000,701571,reg
2025-07-01T00:00:00Z,26.800000,27.320000,27.740000,26.585000,1073442,reg
2025-07-02T00:00:00Z,27.320000,27.580000,27.770000,27.020000,1094040,reg
2025-07-03T00:00:00Z,27.620000,27.510000,27.950000,27.260000,445469,reg
2025-07-07T00:00:00Z,27.180000,26.340000,27.750000,26.280000,691843,reg
2025-07-08T00:00:00Z,26.350000,26.580000,26.780000,26.180000,750148,reg
2025-07-09T00:00:00Z,26.920000,27.080000,27.380000,26.340000,823071,reg
2025-07-10T00:00:00Z,27.110000,27.520000,27.905000,26.830000,936247,reg
2025-07-11T00:00:00Z,27.250000,27.080000,27.751900,26.790000,1066608,reg
2025-07-14T00:00:00Z,27.040000,26.650000,27.225000,26.585000,664102,reg
2025-07-15T00:00:00Z,26.910000,25.240000,27.100000,25.210000,697041,reg
2025-07-16T00:00:00Z,25.310000,25.170000,25.615000,24.860000,833570,reg
2025-07-17T00:00:00Z,25.100000,24.220000,25.240000,24.180000,820920,reg
2025-07-18T00:00:00Z,24.670000,23.510000,24.670000,22.610000,1613147,reg
2025-07-21T00:00:00Z,23.660000,23.030000,23.790000,22.960000,753240,reg
2025-07-22T00:00:00Z,23.210000,23.510000,23.710000,23.100000,1119265,reg
2025-07-23T00:00:00Z,23.770000,24.210000,24.250000,23.360000,967694,reg
2025-07-24T00:00:00Z,24.160000,23.590000,24.390000,23.500000,822805,reg
2025-07-25T00:00:00Z,25.420000,25.250000,26.110000,24.800000,5361251,reg
2025-07-28T00:00:00Z,25.500000,25.020000,25.600000,24.850000,15571578,reg
2025-07-29T00:00:00Z,25.170000,24.470000,25.190000,24.140000,2301958,reg
2025-07-30T00:00:00Z,24.500000,23.970000,24.690000,23.790000,1887848,reg
2025-07-31T00:00:00Z,23.640000,23.510000,24.226400,23.305000,1661512,reg
2025-08-01T00:00:00Z,23.250000,23.640000,23.680000,22.920000,1741706,reg
2025-08-04T00:00:00Z,23.760000,24.320000,24.520000,23.350000,1211653,reg
