begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,22.610000,21.850000,23.135000,21.700000,1576109,reg
2025-06-17T00:00:00Z,21.600000,21.150000,21.810000,20.960000,1228633,reg
2025-06-18T00:00:00Z,21.160000,20.930000,21.210000,20.370000,1336072,reg
2025-06-20T00:00:00Z,21.040000,20.860000,21.130000,20.530000,1335378,reg
2025-06-23T00:00:00Z,20.710000,21.650000,21.680000,20.400000,1805061,reg
2025-06-24T00:00:00Z,22.230000,22.580000,22.870000,21.430000,2033653,reg
2025-06-25T00:00:00Z,22.580000,23.310000,23.435000,21.910000,1633944,reg
2025-06-26T00:00:00Z,25.060000,23.290000,25.300000,22.745000,1974218,reg
2025-06-27T00:00:00Z,23.185000,22.650000,23.380000,22.280000,2679567,reg
2025-06-30T00:00:00Z,22.690000,23.560000,23.650000,22.485000,1354210,reg
2025-07-01T00:00:00Z,23.500000,23.000000,23.970000,22.880000,1373280,reg
2025-07-02T00:00:00Z,23.020000,23.650000,23.770000,22.755000,1320561,reg
2025-07-03T00:00:00Z,23.750000,24.000000,24.260000,23.440000,629758,reg
2025-07-07T00:00:00Z,24.000000,22.970000,24.000000,22.750000,823685,reg
2025-07-08T00:00:00Z,23.000000,23.000000,23.165000,22.570100,833866,reg
2025-07-09T00:00:00Z,23.000000,24.210000,24.525000,23.000000,1007161,reg
2025-07-10T00:00:00Z,24.340000,24.350000,24.580000,23.500000,942827,reg
2025-07-11T00:00:00Z,24.140000,23.820000,24.359900,23.710000,554180,reg
2025-07-14T00:00:00Z,23.820000,23.780000,23.969900,23.480000,688508,reg
2025-07-15T00:00:00Z,23.830000,23.200000,23.910000,22.950000,1180468,reg
2025-07-16T00:00:00Z,23.450000,23.560000,23.680000,22.910000,967011,reg
2025-07-17T00:00:00Z,23.500000,23.760000,23.970000,23.335000,892465,reg
2025-07-18T00:00:00Z,24.030000,23.050000,24.030000,22.950000,756221,reg
2025-07-21T00:00:00Z,23.260000,22.790000,23.800000,22.690000,779402,reg
2025-07-22T00:00:00Z,22.800000,22.290000,23.180000,22.090000,663542,reg
2025-07-23T00:00:00Z,22.660000,22.630000,23.300000,22.290000,648898,reg
2025-07-24T00:00:00Z,22.450000,21.880000,22.565600,21.860000,674354,reg
2025-07-25T00:00:00Z,21.750000,21.810000,21.820000,21.419300,946353,reg
2025-07-28T00:00:00Z,21.750000,20.870000,21.925000,20.865000,1048000,reg
2025-07-29T00:00:00Z,21.030000,20.720000,21.185000,20.520000,1217349,reg
2025-07-30T00:00:00Z,21.080000,21.090000,21.490000,20.650000,903564,reg
2025-07-31T00:00:00Z,20.850000,20.790000,21.140000,20.300000,1672108,reg
2025-08-01T00:00:00Z,20.890000,20.950000,21.255000,20.350000,1028526,reg
2025-08-04T00:00:00Z,20.310000,20.450000,20.795000,19.840000,1148764,reg
2025-08-05T00:00:00Z,20.610000,20.640000,21.610000,20.500000,2547328,reg
