begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,54.150000,54.600000,56.680000,50.250000,3487882,reg
2025-06-17T00:00:00Z,55.350000,49.520000,55.450000,49.120000,2859496,reg
2025-06-18T00:00:00Z,50.605000,50.010000,51.580000,49.000000,1204996,reg
2025-06-20T00:00:00Z,50.440000,44.700000,50.500000,43.120000,2368086,reg
2025-06-23T00:00:00Z,45.000000,43.040000,47.570000,42.255400,1534624,reg
2025-06-24T00:00:00Z,44.000000,43.940000,45.440000,42.490000,932295,reg
2025-06-25T00:00:00Z,44.500000,43.530000,44.625000,42.620000,747719,reg
2025-06-26T00:00:00Z,44.000000,48.950000,51.000000,43.000000,2638787,reg
2025-06-27T00:00:00Z,49.280000,41.970000,49.870000,41.415000,2991495,reg
2025-06-30T00:00:00Z,42.810000,39.250000,43.130000,39.240000,1735341,reg
2025-07-01T00:00:00Z,38.750000,40.130000,41.040000,37.640000,1629775,reg
2025-07-02T00:00:00Z,39.920000,40.000000,41.470000,39.340000,1148529,reg
2025-07-03T00:00:00Z,40.000000,42.350000,43.650000,38.800000,1074295,reg
2025-07-07T00:00:00Z,41.180000,39.000000,41.745000,38.990000,1592183,reg
2025-07-08T00:00:00Z,39.410000,42.140000,43.520000,39.200000,1722214,reg
2025-07-09T00:00:00Z,42.370000,41.350000,42.999900,40.420000,825116,reg
2025-07-10T00:00:00Z,41.635000,42.330000,43.800000,40.930000,1241478,reg
2025-07-11T00:00:00Z,42.080000,41.820000,44.219900,41.716800,857699,reg
2025-07-14T00:00:00Z,41.750000,40.030000,42.215000,39.598500,868725,reg
2025-07-15T00:00:00Z,40.130000,40.550000,41.410000,40.000000,642012,reg
2025-07-16T00:00:00Z,40.600000,42.720000,43.661000,39.900100,952027,reg
2025-07-17T00:00:00Z,43.150000,46.360000,46.390000,42.950000,1470026,reg
2025-07-18T00:00:00Z,46.570000,44.050000,46.860000,42.500000,1078904,reg
2025-07-21T00:00:00Z,43.810000,43.380000,44.340000,42.500000,763146,reg
2025-07-22T00:00:00Z,43.470000,43.630000,44.300000,41.500000,1098193,reg
2025-07-23T00:00:00Z,43.580000,42.830000,44.045000,41.500000,698845,reg
2025-07-24T00:00:00Z,42.460000,42.730000,43.990000,41.600000,494489,reg
2025-07-25T00:00:00Z,42.690000,42.320000,43.300000,41.700000,424472,reg
2025-07-28T00:00:00Z,42.560000,40.810000,42.727400,40.000000,721327,reg
2025-07-29T00:00:00Z,40.760000,38.820000,40.989900,38.230000,1211881,reg
2025-07-30T00:00:00Z,39.100000,40.980000,40.980000,38.620000,682950,reg
2025-07-31T00:00:00Z,40.200000,40.020000,40.646900,39.230000,359641,reg
2025-08-01T00:00:00Z,39.920000,39.190000,40.450000,37.512700,555773,reg
2025-08-04T00:00:00Z,39.420000,40.090000,40.410000,38.340000,736673,reg
2025-08-05T00:00:00Z,39.130000,34.160000,39.290000,32.350000,3035588,reg
2025-08-06T00:00:00Z,34.800000,35.410000,36.630000,34.210000,1503046,reg
2025-08-07T00:00:00Z,35.360000,34.990000,36.740000,33.800000,954685,reg
2025-08-08T00:00:00Z,34.740000,30.800000,35.480000,30.320000,2113039,reg
2025-08-11T00:00:00Z,31.000000,29.410000,31.000000,28.660000,1663150,reg
2025-08-12T00:00:00Z,29.400000,29.890000,30.179900,29.020000,865989,reg
2025-08-13T00:00:00Z,29.900000,31.090000,31.410000,29.460000,709503,reg
2025-08-14T00:00:00Z,30.570000,30.600000,31.220000,30.210000,566665,reg
2025-08-15T00:00:00Z,30.140000,29.290000,30.430800,28.890000,544468,reg
2025-08-18T00:00:00Z,29.370000,33.180000,33.980000,29.370000,1580487,reg
2025-08-19T00:00:00Z,32.750000,29.800000,33.126500,29.606000,944684,reg
2025-08-20T00:00:00Z,29.810000,30.190000,30.190000,28.390100,655475,reg
2025-08-21T00:00:00Z,29.960000,30.590000,30.735000,29.670000,504225,reg
2025-08-22T00:00:00Z,30.570000,30.770000,31.779900,30.190000,726677,reg
2025-08-25T00:00:00Z,30.410000,30.230000,30.650000,29.670000,604537,reg
2025-08-26T00:00:00Z,30.330000,31.430000,31.700000,30.290000,462736,reg
2025-08-27T00:00:00Z,31.510000,31.960000,33.090000,31.250000,840801,reg
2025-08-28T00:00:00Z,32.440000,31.040000,32.500000,31.000000,494730,reg
2025-08-29T00:00:00Z,31.240000,30.690000,31.655000,30.584300,472475,reg
2025-09-02T00:00:00Z,30.160000,30.090000,30.424000,29.400000,552436,reg
2025-09-03T00:00:00Z,30.200000,28.700000,30.450000,28.350000,710405,reg
2025-09-04T00:00:00Z,28.580000,27.640000,28.650000,26.100000,1522771,reg
2025-09-05T00:00:00Z,27.760000,29.420000,29.450000,27.495000,804114,reg
2025-09-08T00:00:00Z,29.360000,29.420000,30.230000,28.650000,693144,reg
2025-09-09T00:00:00Z,29.320000,28.600000,29.495000,28.100000,518477,reg
2025-09-10T00:00:00Z,28.990000,28.380000,29.690000,28.159400,479543,reg
2025-09-11T00:00:00Z,28.610000,30.000000,30.135000,28.610000,819558,reg
2025-09-12T00:00:00Z,30.260000,29.600000,30.330000,29.440000,409637,reg
2025-09-15T00:00:00Z,30.100000,30.300000,30.660000,29.337600,625686,reg
2025-09-16T00:00:00Z,30.010000,28.640000,30.180000,28.525000,668096,reg
2025-09-17T00:00:00Z,28.590000,28.730000,29.250000,28.000000,714447,reg
2025-09-18T00:00:00Z,29.000000,29.760000,29.999900,29.000000,563361,reg
2025-09-19T00:00:00Z,29.930000,28.970000,30.280000,28.800000,3406168,reg
2025-09-22T00:00:00Z,28.820000,32.660000,33.000000,28.710000,1564533,reg
2025-09-23T00:00:00Z,32.890000,31.850000,33.180000,31.830000,758938,reg
2025-09-24T00:00:00Z,33.500000,30.490000,34.099900,30.490000,910206,reg
2025-09-25T00:00:00Z,29.650000,29.280000,29.890000,28.380000,1195936,reg
2025-09-26T00:00:00Z,29.500000,29.200000,29.625000,28.360000,570160,reg
2025-09-29T00:00:00Z,29.500000,29.230000,30.150000,28.500000,1124608,reg
2025-09-30T00:00:00Z,29.120000,29.780000,29.960000,28.600000,1077840,reg
2025-10-01T00:00:00Z,28.980000,29.750000,30.250000,28.980000,794702,reg
2025-10-02T00:00:00Z,29.990000,32.050000,32.599900,29.750000,903868,reg
2025-10-03T00:00:00Z,32.410000,31.690000,33.750000,31.450000,1028372,reg
2025-10-06T00:00:00Z,32.500000,35.620000,35.990000,32.390000,1537235,reg
2025-10-07T00:00:00Z,35.900000,33.610000,35.900000,32.760000,961204,reg
2025-10-08T00:00:00Z,34.200000,35.690000,36.360000,33.758300,1165001,reg
2025-10-09T00:00:00Z,36.000000,33.750000,36.060000,32.345000,1281308,reg
2025-10-10T00:00:00Z,33.980000,31.050000,33.980000,31.050000,1254031,reg
