begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,42.960000,42.500000,43.105000,42.330000,20449259,reg
2025-06-17T00:00:00Z,42.800000,41.850000,42.820000,41.810000,23028205,reg
2025-06-18T00:00:00Z,41.945000,41.670000,41.960000,41.600000,18654182,reg
2025-06-20T00:00:00Z,41.810000,41.700000,42.095000,41.650000,37068078,reg
2025-06-23T00:00:00Z,41.810000,42.360000,42.390000,41.720000,16014353,reg
2025-06-24T00:00:00Z,42.375000,42.630000,42.730000,42.265000,16716293,reg
2025-06-25T00:00:00Z,42.400000,42.120000,42.470000,41.940000,15599686,reg
2025-06-26T00:00:00Z,42.170000,42.100000,42.270000,41.883800,15869969,reg
2025-06-27T00:00:00Z,42.150000,42.310000,42.450000,41.980000,21439570,reg
2025-06-30T00:00:00Z,42.310000,43.270000,43.320000,42.280000,22795950,reg
2025-07-01T00:00:00Z,43.420000,43.680000,43.875000,43.210000,19233185,reg
2025-07-02T00:00:00Z,43.820000,43.590000,44.030000,43.430000,18313928,reg
2025-07-03T00:00:00Z,43.740000,43.550000,43.770000,43.415000,10301320,reg
2025-07-07T00:00:00Z,43.700000,42.800000,43.700000,42.670100,22039301,reg
2025-07-08T00:00:00Z,42.800000,43.060000,43.235000,42.540000,16736159,reg
2025-07-09T00:00:00Z,42.985000,42.610000,43.060000,42.469900,23519839,reg
2025-07-10T00:00:00Z,41.865000,42.030000,42.180000,41.600000,19359268,reg
2025-07-11T00:00:00Z,41.975000,41.620000,42.030000,41.490000,20174341,reg
2025-07-14T00:00:00Z,41.590000,41.580000,41.840000,41.480000,15757345,reg
2025-07-15T00:00:00Z,41.440000,41.260000,41.625000,41.100000,15653152,reg
2025-07-16T00:00:00Z,41.270000,41.250000,41.450000,41.160000,17971275,reg
2025-07-17T00:00:00Z,41.290000,40.950000,41.345000,40.830000,18411173,reg
2025-07-18T00:00:00Z,40.980000,40.840000,41.115000,40.690000,21079683,reg
2025-07-21T00:00:00Z,41.950000,42.490000,43.080000,41.680000,47574035,reg
2025-07-22T00:00:00Z,42.745000,42.960000,43.490000,42.550000,23521022,reg
2025-07-23T00:00:00Z,42.400000,42.840000,42.870000,42.050000,23357206,reg
2025-07-24T00:00:00Z,42.900000,43.080000,43.350000,42.755000,20410989,reg
2025-07-25T00:00:00Z,43.020000,43.080000,43.210000,42.754700,16571528,reg
2025-07-28T00:00:00Z,43.020000,42.360000,43.020000,42.235000,18243713,reg
2025-07-29T00:00:00Z,42.420000,42.710000,42.980000,42.400000,13118451,reg
2025-07-30T00:00:00Z,42.670000,42.600000,42.886200,42.450000,13313288,reg
2025-07-31T00:00:00Z,42.285000,42.760000,43.110000,42.150000,25538738,reg
2025-08-01T00:00:00Z,43.290000,42.880000,43.470000,42.620000,20841307,reg
2025-08-04T00:00:00Z,42.800000,42.950000,43.030000,42.530000,13629864,reg
2025-08-05T00:00:00Z,42.950000,42.670000,43.100000,42.670000,14863697,reg
2025-08-06T00:00:00Z,42.800000,42.350000,42.800000,42.310000,17812000,reg
2025-08-07T00:00:00Z,42.500000,42.950000,43.030000,42.170000,15543437,reg
2025-08-08T00:00:00Z,43.100000,43.150000,43.355000,43.030000,13057027,reg
2025-08-11T00:00:00Z,43.230000,43.180000,43.530000,42.990000,12914940,reg
2025-08-12T00:00:00Z,43.340000,43.250000,43.650000,43.205000,12483569,reg
2025-08-13T00:00:00Z,43.200000,43.710000,43.835000,43.000000,14327748,reg
2025-08-14T00:00:00Z,43.760000,43.500000,43.785000,43.330000,10582825,reg
2025-08-15T00:00:00Z,43.570000,44.240000,44.440000,43.425000,21239234,reg
2025-08-18T00:00:00Z,44.350000,44.390000,44.600000,44.220000,12692126,reg
2025-08-19T00:00:00Z,44.510000,44.940000,45.065000,44.470000,17944202,reg
2025-08-20T00:00:00Z,45.080000,45.060000,45.750000,44.950000,20982065,reg
2025-08-21T00:00:00Z,44.980000,45.030000,45.205100,44.865000,11866792,reg
2025-08-22T00:00:00Z,45.150000,44.440000,45.430000,44.245000,19123748,reg
2025-08-25T00:00:00Z,44.440000,44.230000,44.480000,43.960000,16021218,reg
2025-08-26T00:00:00Z,44.110000,43.960000,44.420000,43.750000,17328229,reg
2025-08-27T00:00:00Z,44.020000,44.270000,44.280000,43.880000,12046589,reg
2025-08-28T00:00:00Z,44.100000,43.930000,44.190000,43.690000,15842822,reg
2025-08-29T00:00:00Z,43.970000,44.230000,44.290000,43.925000,14792708,reg
2025-09-02T00:00:00Z,44.160000,43.800000,44.480000,43.513500,21123691,reg
2025-09-03T00:00:00Z,43.500000,43.740000,43.740000,42.880000,21828544,reg
2025-09-04T00:00:00Z,44.070000,44.180000,44.420000,43.930000,14480479,reg
2025-09-05T00:00:00Z,44.100000,44.380000,44.470000,44.024200,13406698,reg
2025-09-08T00:00:00Z,42.975000,43.320000,43.617200,42.940000,30273878,reg
2025-09-09T00:00:00Z,43.360000,43.570000,43.740000,43.350000,15595515,reg
2025-09-10T00:00:00Z,43.490000,43.490000,43.670000,43.010000,14807828,reg
2025-09-11T00:00:00Z,43.610000,44.140000,44.150000,43.510000,15510569,reg
2025-09-12T00:00:00Z,44.005000,43.970000,44.085000,43.765000,13723465,reg
2025-09-15T00:00:00Z,44.050000,43.870000,44.250000,43.770000,15034712,reg
2025-09-16T00:00:00Z,43.870000,43.740000,43.945000,43.300000,16173593,reg
2025-09-17T00:00:00Z,43.870000,44.210000,44.410000,43.855000,14413989,reg
2025-09-18T00:00:00Z,43.880000,43.670000,43.952500,43.580000,16507265,reg
2025-09-19T00:00:00Z,43.785000,43.480000,43.785000,43.460000,29164228,reg
2025-09-22T00:00:00Z,43.380000,43.160000,43.520000,42.980000,18507717,reg
2025-09-23T00:00:00Z,43.160000,43.350000,43.380000,42.960000,16796402,reg
2025-09-24T00:00:00Z,43.200000,43.180000,43.385100,42.960000,21162384,reg
2025-09-25T00:00:00Z,43.240000,43.350000,43.765000,43.240000,19012228,reg
2025-09-26T00:00:00Z,43.650000,43.610000,43.710000,43.450000,12456193,reg
2025-09-29T00:00:00Z,43.600000,43.250000,43.652700,43.090000,15854456,reg
