begins_at,open_price,close_price,high_price,low_price,volume,session
2025-08-18T00:00:00Z,36.060000,36.280000,36.480000,35.930000,946168,reg
2025-08-19T00:00:00Z,36.280000,35.630000,36.430000,35.390000,957041,reg
2025-08-20T00:00:00Z,35.610000,35.090000,35.610000,34.755000,1518049,reg
2025-08-21T00:00:00Z,35.070000,35.750000,36.360000,35.000000,1932231,reg
2025-08-22T00:00:00Z,35.910000,36.240000,36.500000,35.730000,1496639,reg
2025-08-25T00:00:00Z,36.320000,35.900000,36.400000,35.685000,1281700,reg
2025-08-26T00:00:00Z,35.900000,37.160000,37.290000,35.740000,2643099,reg
2025-08-27T00:00:00Z,37.250000,37.170000,37.460000,36.990000,1506183,reg
2025-08-28T00:00:00Z,37.220000,38.280000,38.425300,37.220000,2307327,reg
2025-08-29T00:00:00Z,38.040000,37.880000,38.290000,37.350000,2251944,reg
2025-09-02T00:00:00Z,37.750000,37.040000,38.193800,37.010000,1388364,reg
2025-09-03T00:00:00Z,36.950000,37.460000,37.630000,36.950000,1238392,reg
2025-09-04T00:00:00Z,37.330000,37.230000,37.770000,36.940000,837637,reg
2025-09-05T00:00:00Z,38.180000,37.270000,38.180000,36.990000,918530,reg
2025-09-08T00:00:00Z,38.430000,40.860000,40.890000,38.420000,5155648,reg
2025-09-09T00:00:00Z,40.860000,40.890000,41.470000,39.795000,2553343,reg
2025-09-10T00:00:00Z,40.900000,40.500000,40.975000,40.070000,2225430,reg
2025-09-11T00:00:00Z,38.990000,38.350000,39.230000,38.187500,9673660,reg
2025-09-12T00:00:00Z,38.110000,37.360000,38.240000,37.340000,3282091,reg
2025-09-15T00:00:00Z,37.490000,38.010000,38.260000,37.490000,3986169,reg
2025-09-16T00:00:00Z,38.250000,38.250000,38.600000,37.980000,3861857,reg
2025-09-17T00:00:00Z,38.170000,38.590000,39.495000,37.980000,4560224,reg
2025-09-18T00:00:00Z,38.620000,38.580000,39.170000,38.340000,4106719,reg
2025-09-19T00:00:00Z,38.600000,37.800000,38.810000,37.560000,23165252,reg
2025-09-22T00:00:00Z,37.560000,37.700000,38.212600,37.240000,2718880,reg
2025-09-23T00:00:00Z,37.550000,37.770000,38.490000,37.468100,2003736,reg
2025-09-24T00:00:00Z,37.610000,37.040000,37.920000,36.710000,2004597,reg
2025-09-25T00:00:00Z,36.840000,37.090000,37.180000,36.620000,2927375,reg
2025-09-26T00:00:00Z,36.960000,37.560000,37.790000,36.955000,7083221,reg
2025-09-29T00:00:00Z,37.750000,37.490000,38.400000,37.380000,1937013,reg
2025-09-30T00:00:00Z,37.460000,37.920000,38.005000,37.135000,2782790,reg
2025-10-01T00:00:00Z,37.390000,37.150000,37.660000,36.110000,3550268,reg
2025-10-02T00:00:00Z,37.120000,38.210000,38.490000,37.050000,2247639,reg
2025-10-03T00:00:00Z,38.070000,38.640000,39.120000,38.030000,2709435,reg
2025-10-06T00:00:00Z,38.860000,38.270000,38.904500,38.030000,2107995,reg
2025-10-07T00:00:00Z,38.185000,37.910000,38.745000,37.825000,1570279,reg
2025-10-08T00:00:00Z,37.920000,38.560000,38.840000,37.830000,1805232,reg
2025-10-09T00:00:00Z,39.000000,37.430000,39.360000,37.410000,1616681,reg
2025-10-10T00:00:00Z,37.380000,35.700000,37.590000,35.645000,2959002,reg
2025-10-13T00:00:00Z,35.830000,36.165000,36.380000,35.360000,1588288,reg
2025-10-14T00:00:00Z,35.820000,36.620000,36.700000,35.750000,1723973,reg
2025-10-15T00:00:00Z,37.490000,36.730000,38.000000,36.330000,1948743,reg
2025-10-16T00:00:00Z,36.700000,36.810000,37.450000,36.285000,2851330,reg
2025-10-17T00:00:00Z,36.500000,36.980000,37.120000,36.310000,1954533,reg
2025-10-20T00:00:00Z,37.530000,36.960000,37.860000,36.460000,2057085,reg
2025-10-21T00:00:00Z,36.960000,37.520000,37.605000,36.730000,1565977,reg
2025-10-22T00:00:00Z,37.590000,37.690000,37.905000,36.910000,1810205,reg
2025-10-23T00:00:00Z,37.430000,38.030000,38.070000,37.280000,2121455,reg
2025-10-24T00:00:00Z,38.500000,38.970000,39.330000,38.335000,2696804,reg
2025-10-27T00:00:00Z,39.500000,39.330000,39.920000,39.160000,2977413,reg
2025-10-28T00:00:00Z,39.500000,39.490000,39.955000,38.990000,2423352,reg
2025-10-29T00:00:00Z,39.420000,39.620000,40.350000,39.040000,3392644,reg
2025-10-30T00:00:00Z,38.720000,37.060000,39.403000,36.930000,4989554,reg
2025-10-31T00:00:00Z,37.320000,35.850000,38.095000,35.782500,4295723,reg
2025-11-03T00:00:00Z,36.355000,37.030000,37.240000,36.200000,2567616,reg
2025-11-04T00:00:00Z,37.000000,37.490000,37.710000,36.730000,2088111,reg
2025-11-05T00:00:00Z,37.320000,36.750000,37.340000,36.180000,2448545,reg
2025-11-06T00:00:00Z,36.530000,35.800000,36.740000,35.770000,1436606,reg
2025-11-07T00:00:00Z,35.500000,36.220000,36.275000,35.350000,1965454,reg
2025-11-10T00:00:00Z,36.260000,36.110000,36.495000,35.610000,1401990,reg
2025-11-11T00:00:00Z,36.390000,36.030000,36.600000,35.710000,1692075,reg
2025-11-12T00:00:00Z,36.090000,36.900000,37.040000,35.895000,1780504,reg
2025-11-13T00:00:00Z,36.690000,35.750000,37.000000,35.690000,1869739,reg
2025-11-14T00:00:00Z,35.500000,35.320000,35.890000,35.225000,1421671,reg
2025-11-17T00:00:00Z,35.480000,34.290000,35.650000,34.190000,1318545,reg
2025-11-18T00:00:00Z,34.180000,34.870000,34.980000,33.860000,1336317,reg
2025-11-19T00:00:00Z,34.870000,34.800000,35.145000,34.500000,969503,reg
2025-11-20T00:00:00Z,35.190000,34.790000,35.820000,34.760000,1712511,reg
2025-11-21T00:00:00Z,34.450000,35.740000,36.030000,34.380000,1985684,reg
2025-11-24T00:00:00Z,36.140000,36.470000,36.800000,35.850100,1707662,reg
2025-11-25T00:00:00Z,36.620000,36.980000,37.150000,34.100000,1456749,reg
2025-11-26T00:00:00Z,37.020000,37.040000,37.430000,36.770000,1575831,reg
2025-11-28T00:00:00Z,37.260000,36.910000,37.510000,36.820000,589076,reg
2025-12-01T00:00:00Z,36.540000,36.340000,36.850000,36.240000,1174322,reg
2025-12-02T00:00:00Z,36.560000,34.970000,36.560000,34.480000,2754050,reg
2025-12-03T00:00:00Z,35.020000,35.210000,35.550000,34.690000,1999810,reg
2025-12-04T00:00:00Z,35.430000,35.400000,35.640000,34.881200,1414748,reg
2025-12-05T00:00:00Z,35.430000,34.350000,35.560000,34.120000,2235822,reg
2025-12-08T00:00:00Z,34.180000,33.210000,34.290000,33.140000,2299359,reg
2025-12-09T00:00:00Z,33.260000,30.430000,33.370000,30.370000,7166818,reg
2025-12-10T00:00:00Z,30.410000,30.400000,30.690000,29.400000,4892254,reg
2025-12-11T00:00:00Z,30.420000,32.460000,32.555000,30.100000,5801849,reg
2025-12-12T00:00:00Z,32.500000,32.650000,32.740000,32.150000,2423789,reg
2025-12-15T00:00:00Z,33.460000,32.560000,33.460000,32.410000,2090315,reg
2025-12-16T00:00:00Z,32.310000,32.900000,33.160000,32.170000,1945084,reg
2025-12-17T00:00:00Z,32.950000,32.270000,33.240000,32.100000,1904692,reg
2025-12-18T00:00:00Z,32.270000,32.580000,33.340000,32.270000,1192017,reg
2025-12-19T00:00:00Z,32.390000,32.840000,33.010000,32.160000,3253114,reg
2025-12-22T00:00:00Z,32.840000,32.910000,33.045000,32.530000,1764374,reg
2025-12-23T00:00:00Z,32.660000,32.840000,33.000000,32.370000,1627532,reg
2025-12-24T00:00:00Z,32.840000,33.010000,33.190000,32.600000,346866,reg
2025-12-26T00:00:00Z,32.930000,32.980000,33.135000,32.660000,606937,reg
2025-12-29T00:00:00Z,32.980000,32.940000,33.270000,32.725000,933024,reg
2025-12-30T00:00:00Z,32.890000,32.980000,33.225000,32.810000,1590347,reg
2025-12-31T00:00:00Z,32.990000,32.750000,33.260000,32.730000,1060792,reg
2026-01-02T00:00:00Z,33.040000,31.370000,33.040000,31.160000,1739684,reg
2026-01-05T00:00:00Z,31.320000,31.780000,31.840000,31.130000,2039453,reg
2026-01-06T00:00:00Z,31.780000,32.530000,32.585000,31.600000,1208937,reg
2026-01-07T00:00:00Z,32.580000,33.680000,33.720000,32.410000,1291755,reg
2026-01-08T00:00:00Z,33.610000,33.080000,33.610000,32.860000,1180406,reg
2026-01-09T00:00:00Z,33.500000,34.500000,34.555000,33.080000,2009122,reg
2026-01-12T00:00:00Z,34.180000,31.590000,34.650000,30.780000,4185052,reg
2026-01-13T00:00:00Z,31.470000,30.580000,31.640000,30.030000,3763791,reg
2026-01-14T00:00:00Z,30.720000,29.870000,30.720000,29.750000,2319601,reg
2026-01-15T00:00:00Z,30.060000,30.270000,30.390000,29.400000,2821285,reg
2026-01-16T00:00:00Z,30.250000,30.270000,30.350000,29.890000,1024715,reg
2026-01-20T00:00:00Z,29.860000,29.740000,30.230000,29.540000,1981879,reg
2026-01-21T00:00:00Z,29.830000,29.560000,29.830000,28.710000,2026068,reg
2026-01-22T00:00:00Z,30.180000,29.510000,30.270000,29.420000,1461113,reg
2026-01-23T00:00:00Z,29.310000,29.980000,30.120000,29.310000,1796337,reg
2026-01-26T00:00:00Z,30.030000,29.570000,30.141800,29.390000,1989450,reg
2026-01-27T00:00:00Z,29.385000,28.220000,29.550000,28.150000,2312338,reg
2026-01-28T00:00:00Z,28.400000,27.620000,28.530000,27.525000,3068137,reg
2026-01-29T00:00:00Z,27.510000,26.710000,27.630000,26.280000,2390973,reg
2026-01-30T00:00:00Z,26.500000,26.560000,26.790000,26.200000,1622263,reg
2026-02-02T00:00:00Z,27.000000,26.330000,27.070000,26.285000,1330581,reg
2026-02-03T00:00:00Z,26.180000,24.500000,26.220000,24.360000,2435711,reg
2026-02-04T00:00:00Z,24.220000,23.990000,24.520000,23.230000,2556282,reg
2026-02-05T00:00:00Z,24.530000,24.130000,24.790000,23.750000,2509127,reg
2026-02-06T00:00:00Z,24.145000,24.300000,24.480000,23.660000,2615871,reg
2026-02-09T00:00:00Z,24.250000,23.470000,24.770000,23.405000,3189310,reg
2026-02-10T00:00:00Z,23.700000,23.500000,24.230000,23.340000,2700960,reg
2026-02-11T00:00:00Z,23.490000,23.730000,23.760000,23.010000,2788555,reg
2026-02-12T00:00:00Z,23.730000,21.740000,23.750000,21.450000,5015461,reg
2026-02-13T00:00:00Z,21.970000,22.410000,22.610000,21.740000,4511303,reg
