begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,91.430000,93.050000,93.240000,89.700000,1652069,reg
2025-06-17T00:00:00Z,92.180000,91.270000,93.599500,91.260000,1718742,reg
2025-06-18T00:00:00Z,91.680000,91.800000,92.882500,91.342900,1073198,reg
2025-06-20T00:00:00Z,92.200000,92.980000,93.510000,91.410000,1099483,reg
2025-06-23T00:00:00Z,92.000000,93.770000,94.230000,91.270000,1329009,reg
2025-06-24T00:00:00Z,95.000000,95.120000,96.590000,94.559500,758741,reg
2025-06-25T00:00:00Z,94.900000,94.090000,95.570000,93.810000,713459,reg
2025-06-26T00:00:00Z,94.720000,95.450000,96.130000,93.800000,667154,reg
2025-06-27T00:00:00Z,96.380000,96.170000,97.270000,95.022000,1188504,reg
2025-06-30T00:00:00Z,98.110000,101.420000,101.730000,97.540000,2138407,reg
2025-07-01T00:00:00Z,101.050000,105.280000,107.239900,100.472400,1477183,reg
2025-07-02T00:00:00Z,105.530000,110.590000,110.720000,104.011000,1729901,reg
2025-07-03T00:00:00Z,110.890000,109.930000,111.960000,109.380000,730222,reg
2025-07-07T00:00:00Z,109.060000,108.500000,109.360000,107.050000,1071529,reg
2025-07-08T00:00:00Z,109.010000,107.740000,111.370000,107.740000,981530,reg
2025-07-09T00:00:00Z,109.540000,107.880000,109.770000,106.510000,1263897,reg
2025-07-10T00:00:00Z,107.670000,108.430000,110.260000,106.840100,997891,reg
2025-07-11T00:00:00Z,107.170000,108.500000,108.940000,106.750000,782507,reg
2025-07-14T00:00:00Z,107.870000,106.490000,107.930000,104.810000,929486,reg
2025-07-15T00:00:00Z,106.500000,100.940000,106.500000,100.310000,2135269,reg
2025-07-16T00:00:00Z,101.085000,96.160000,101.085000,95.920000,2054691,reg
2025-07-17T00:00:00Z,96.220000,96.620000,97.410000,95.070000,1562754,reg
2025-07-18T00:00:00Z,96.000000,93.180000,96.320000,92.460000,2096759,reg
2025-07-21T00:00:00Z,94.140000,92.220000,94.480000,92.200000,1027766,reg
2025-07-22T00:00:00Z,92.350000,96.520000,96.900000,92.185000,1141309,reg
2025-07-23T00:00:00Z,98.000000,99.470000,99.620000,97.110000,1433379,reg
2025-07-24T00:00:00Z,98.490000,98.620000,100.139900,97.850000,1458912,reg
2025-07-25T00:00:00Z,100.000000,99.740000,100.000000,97.350000,797824,reg
2025-07-28T00:00:00Z,100.000000,97.910000,100.489900,96.810000,3809671,reg
2025-07-29T00:00:00Z,85.510000,84.760000,90.550000,84.010000,14680194,reg
