begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,62.730000,64.820000,65.180000,62.660000,6561696,reg
2025-06-17T00:00:00Z,64.045000,63.320000,64.540000,63.060000,5408209,reg
2025-06-18T00:00:00Z,63.060000,63.090000,63.910000,61.340000,8344451,reg
2025-06-20T00:00:00Z,63.540000,63.590000,64.300000,63.000000,6941923,reg
2025-06-23T00:00:00Z,62.995000,63.620000,63.990000,61.870000,6018683,reg
2025-06-24T00:00:00Z,64.610000,65.340000,65.720000,64.300000,6303221,reg
2025-06-25T00:00:00Z,65.765000,64.810000,65.765000,64.330000,5395949,reg
2025-06-26T00:00:00Z,64.880000,65.110000,65.205000,63.801200,5097188,reg
2025-06-27T00:00:00Z,65.380000,66.630000,67.010000,65.080000,9854322,reg
2025-06-30T00:00:00Z,67.140000,67.930000,68.400000,67.060000,5628569,reg
2025-07-01T00:00:00Z,67.740000,68.270000,68.930000,66.875000,7204246,reg
2025-07-02T00:00:00Z,68.170000,69.220000,70.090000,68.000000,7032657,reg
2025-07-03T00:00:00Z,69.665000,69.230000,69.700000,68.580000,4369301,reg
2025-07-07T00:00:00Z,68.710000,69.410000,70.269900,67.730000,7545042,reg
2025-07-08T00:00:00Z,70.215000,67.840000,70.980000,67.700900,6872856,reg
2025-07-09T00:00:00Z,68.320000,69.010000,69.040000,67.450000,5340813,reg
2025-07-10T00:00:00Z,68.950000,68.760000,69.230000,67.800000,4166248,reg
2025-07-11T00:00:00Z,67.800000,65.140000,68.560000,64.850000,12851619,reg
2025-07-14T00:00:00Z,66.730000,68.680000,69.840000,66.400100,11130915,reg
2025-07-15T00:00:00Z,67.980000,66.010000,68.220000,65.960000,6706060,reg
2025-07-16T00:00:00Z,66.530000,69.030000,69.100000,66.262000,8209948,reg
2025-07-17T00:00:00Z,69.820000,70.730000,71.520000,69.615000,7795251,reg
2025-07-18T00:00:00Z,72.010000,72.820000,73.250000,71.170000,10786378,reg
2025-07-21T00:00:00Z,78.610000,78.080000,79.440000,76.800000,49143462,reg
2025-07-22T00:00:00Z,78.460000,79.270000,79.585000,78.260000,139479528,reg
2025-07-23T00:00:00Z,79.810000,79.700000,80.360000,78.450000,13249814,reg
2025-07-24T00:00:00Z,79.445000,79.770000,81.130000,79.310000,9377457,reg
2025-07-25T00:00:00Z,79.755000,80.740000,81.080000,78.930000,6348691,reg
2025-07-28T00:00:00Z,81.200000,80.570000,82.180000,80.365000,9578650,reg
2025-07-29T00:00:00Z,79.700000,78.180000,81.060000,77.640000,10631992,reg
2025-07-30T00:00:00Z,77.705000,77.590000,78.750000,77.049000,7352217,reg
2025-07-31T00:00:00Z,76.780000,77.260000,78.080000,76.000000,6769769,reg
2025-08-01T00:00:00Z,75.000000,74.030000,75.220000,72.984500,8235263,reg
2025-08-04T00:00:00Z,75.020000,76.120000,76.630000,74.420000,6082223,reg
