begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-25,15.270000,15.250000,15.310000,15.190000,684976,reg
2025-06-26,15.110000,15.200000,15.210000,15.075000,573559,reg
2025-06-27,15.230000,15.280000,15.300000,15.113000,823670,reg
2025-06-30,15.300000,15.250000,15.350100,15.230000,767871,reg
2025-07-01,15.200000,15.170000,15.240000,15.040000,767896,reg
2025-07-02,15.140000,15.270000,15.290000,15.130000,1031488,reg
2025-07-03,15.280000,15.320000,15.350000,15.271700,629112,reg
2025-07-07,15.200000,15.170000,15.220000,15.105000,1085301,reg
2025-07-08,15.200000,15.150000,15.230000,15.130000,572704,reg
2025-07-09,15.200000,15.300000,15.340000,15.200000,666126,reg
2025-07-10,15.200000,15.250000,15.280000,15.125000,494387,reg
2025-07-11,15.200000,15.310000,15.340000,15.190000,628296,reg
2025-07-14,15.290000,15.340000,15.370000,15.253500,755131,reg
2025-07-15,15.420000,15.340000,15.460000,15.340000,476071,reg
2025-07-16,15.400000,15.400000,15.445000,15.310000,571381,reg
2025-07-17,15.250000,15.290000,15.320000,15.250000,680034,reg
2025-07-18,15.340000,15.360000,15.390000,15.290000,788366,reg
2025-07-21,15.400000,15.460000,15.520000,15.400000,812471,reg
2025-07-22,15.480000,15.410000,15.490000,15.295000,617199,reg
2025-07-23,15.480000,15.530000,15.530000,15.410000,920912,reg
2025-07-24,15.330000,15.270000,15.330000,15.214700,521306,reg
2025-07-25,15.310000,15.390000,15.450000,15.300000,602923,reg
2025-07-28,15.440000,15.470000,15.470000,15.400300,931905,reg
2025-07-29,15.500000,15.390000,15.509900,15.370000,594570,reg
2025-07-30,15.420000,15.400000,15.450000,15.280000,1175055,reg
2025-07-31,15.610000,15.440000,15.640000,15.400100,946010,reg
2025-08-01,15.240000,15.070000,15.280000,14.990000,1288913,reg
2025-08-04,15.210000,15.320000,15.340000,15.200000,824748,reg
2025-08-05,15.350000,15.250000,15.408800,15.250000,895352,reg
2025-08-06,15.280000,15.500000,15.513800,15.280000,896078,reg
2025-08-07,15.485000,15.490000,15.545000,15.372400,760818,reg
2025-08-08,15.470000,15.590000,15.620000,15.470000,871267,reg
2025-08-11,15.600000,15.600000,15.720000,15.580000,670093,reg
2025-08-12,15.680000,15.760000,15.780000,15.610000,638329,reg
2025-08-13,15.830000,15.730000,15.845000,15.710000,872948,reg
2025-08-14,15.610000,15.660000,15.670000,15.560000,471272,reg
2025-08-15,15.670000,15.620000,15.700000,15.575000,885035,reg
2025-08-18,15.580000,15.600000,15.600000,15.520000,913988,reg
2025-08-19,15.590000,15.380000,15.590000,15.350000,831353,reg
2025-08-20,15.340000,15.200000,15.365000,15.009000,1158127,reg
2025-08-21,15.020000,14.990000,15.085000,14.930000,671231,reg
2025-08-22,15.020000,15.310000,15.330000,14.980000,823282,reg
2025-08-25,15.320000,15.370000,15.420000,15.260600,754106,reg
2025-08-26,15.370000,15.420000,15.420000,15.294300,438623,reg
2025-08-27,15.440000,15.410000,15.460000,15.370100,615086,reg
2025-08-28,15.355000,15.440000,15.440000,15.310000,683080,reg
2025-08-29,15.390000,15.240000,15.390000,15.210000,792344,reg
2025-09-02,15.020000,15.100000,15.140000,14.940000,1281187,reg
2025-09-03,15.300000,15.380000,15.430000,15.280000,962696,reg
2025-09-04,15.340000,15.440000,15.470000,15.300000,820763,reg
2025-09-05,15.500000,15.390000,15.506500,15.320000,838517,reg
2025-09-08,15.450000,15.440000,15.550000,15.430000,816181,reg
2025-09-09,15.460000,15.510000,15.520000,15.425000,646988,reg
2025-09-10,15.580000,15.410000,15.580000,15.400000,911437,reg
2025-09-11,15.380000,15.430000,15.430000,15.280300,566355,reg
2025-09-12,15.450000,15.560000,15.589900,15.410000,590046,reg
2025-09-15,15.730000,15.800000,15.850000,15.723600,662330,reg
2025-09-16,15.850000,15.880000,15.900000,15.814500,652688,reg
2025-09-17,15.840000,15.830000,15.870000,15.675000,1078031,reg
2025-09-18,15.810000,15.740000,15.824400,15.725000,679459,reg
2025-09-19,15.770000,15.850000,15.886400,15.770000,541621,reg
2025-09-22,15.890000,15.980000,16.000000,15.890000,1014094,reg
2025-09-23,16.010000,15.780000,16.010000,15.740100,864998,reg
2025-09-24,15.840000,15.780000,15.860000,15.694800,1169399,reg
2025-09-25,15.545000,15.530000,15.610000,15.421200,669234,reg
2025-09-26,15.550000,15.650000,15.650000,15.470000,776797,reg
2025-09-29,15.700000,15.680000,15.760000,15.643600,1147710,reg
2025-09-30,15.710000,15.710000,15.710000,15.570000,1011193,reg
2025-10-01,15.620000,15.750000,15.790000,15.600000,1472330,reg
2025-10-02,15.740000,15.640000,15.740000,15.600000,809782,reg
2025-10-03,15.640000,15.530000,15.680000,15.440000,951394,reg
2025-10-06,15.550000,15.660000,15.685300,15.465000,738170,reg
2025-10-07,15.680000,15.580000,15.690000,15.550000,753129,reg
2025-10-08,15.580000,15.680000,15.710000,15.575000,1088172,reg
2025-10-09,15.520000,15.540000,15.540000,15.390000,633737,reg
2025-10-10,15.540000,15.010000,15.590000,15.000000,2051845,reg
2025-10-13,15.270000,15.350000,15.350000,15.170000,1006464,reg
2025-10-14,15.190000,15.200000,15.298800,15.002200,724786,reg
2025-10-15,15.160000,15.100000,15.180000,14.945000,1054334,reg
2025-10-16,15.110000,15.020000,15.195000,14.905000,1074307,reg
2025-10-17,14.990000,15.140000,15.165600,14.940000,836379,reg
2025-10-20,15.210000,15.350000,15.350000,15.210000,1121872,reg
2025-10-21,15.355000,15.300000,15.355000,15.270000,1150889,reg
2025-10-22,15.140000,15.040000,15.145000,14.890000,1482781,reg
2025-10-23,15.020000,15.160000,15.175000,14.960000,1201366,reg
2025-10-24,15.240000,15.230000,15.260000,15.203500,1189935,reg
2025-10-27,15.400000,15.510000,15.545000,15.400000,1416777,reg
2025-10-28,15.650000,15.680000,15.740000,15.580000,1404303,reg
2025-10-29,15.650000,15.650000,15.680000,15.525000,1732282,reg
2025-10-30,15.520000,15.270000,15.520000,15.260000,1486380,reg
2025-10-31,15.650000,15.390000,15.650000,15.340000,1348728,reg
2025-11-03,15.540000,15.530000,15.600000,15.510000,754135,reg
2025-11-04,15.340000,15.250000,15.420000,15.240000,1326613,reg
2025-11-05,15.180000,15.200000,15.299900,15.082200,943978,reg
2025-11-06,15.230000,14.950000,15.230000,14.900000,1723117,reg
2025-11-07,14.880000,14.850000,14.900000,14.600000,2575335,reg
2025-11-10,15.070000,15.160000,15.170000,15.040000,1137497,reg
2025-11-11,15.125000,15.170000,15.179000,15.040000,1030949,reg
2025-11-12,15.040000,14.860000,15.060000,14.780000,1189402,reg
2025-11-13,14.800000,14.550000,14.809900,14.480100,1778409,reg
2025-11-14,14.300000,14.580000,14.680000,14.250000,1522059,reg
2025-11-17,14.550000,14.560000,14.700000,14.450000,1144310,reg
2025-11-18,14.450000,14.310000,14.500000,14.190000,1199828,reg
2025-11-19,14.230000,14.300000,14.465600,14.205000,676523,reg
2025-11-20,14.600000,14.100000,14.680000,14.080100,1699788,reg
2025-11-21,14.150000,14.190000,14.355600,13.990000,1518657,reg
2025-11-24,14.330000,14.570000,14.586500,14.330000,968769,reg
2025-11-25,14.620000,14.630000,14.650000,14.420000,793275,reg
2025-11-26,14.540000,14.550000,14.595000,14.495000,864256,reg
2025-11-28,14.570000,14.640000,14.650000,14.570000,747937,reg
2025-12-01,14.580000,14.640000,14.680000,14.545000,777132,reg
2025-12-02,14.650000,14.710000,14.770000,14.640000,738313,reg
2025-12-03,14.580000,14.600000,14.660000,14.545000,612185,reg
2025-12-04,14.720000,14.650000,14.730000,14.578900,650810,reg
2025-12-05,14.690000,14.710000,14.735000,14.655000,506402,reg
2025-12-08,14.680000,14.630000,14.710000,14.570000,660158,reg
2025-12-09,14.600000,14.640000,14.690000,14.570000,456334,reg
2025-12-10,14.505000,14.530000,14.560000,14.431800,797894,reg
2025-12-11,14.500000,14.470000,14.500000,14.340000,629766,reg
2025-12-12,14.470000,14.390000,14.530000,14.265000,1097776,reg
2025-12-15,14.460000,14.390000,14.490000,14.330200,505554,reg
2025-12-16,14.360000,14.460000,14.515000,14.320100,1075564,reg
2025-12-17,14.360000,14.100000,14.380000,14.100000,607040,reg
2025-12-18,14.240000,14.300000,14.400000,14.190000,595288,reg
2025-12-19,14.350000,14.400000,14.410000,14.333000,1240848,reg
2025-12-22,14.480000,14.470000,14.510000,14.430000,727748,reg
2025-12-23,14.470000,14.570000,14.580000,14.470000,629088,reg
2025-12-24,14.500000,14.520000,14.520000,14.440000,557054,reg
2025-12-26,14.490000,14.450000,14.540000,14.450000,834854,reg
2025-12-29,14.410000,14.390000,14.410000,14.350000,856659,reg
2025-12-30,14.400000,14.420000,14.460000,14.390000,721871,reg
2025-12-31,14.330000,14.230000,14.340000,14.210000,655425,reg
2026-01-02,14.340000,14.120000,14.370000,14.040000,958816,reg
2026-01-05,14.170000,14.200000,14.270000,14.150000,904718,reg
2026-01-06,14.200000,14.140000,14.222000,14.090000,712315,reg
2026-01-07,14.080000,14.110000,14.230000,14.080000,1024955,reg
2026-01-08,14.100000,14.080000,14.110000,14.000000,606788,reg
2026-01-09,14.080000,14.150000,14.195000,14.045000,731288,reg
2026-01-12,14.110000,14.150000,14.237100,14.100000,582127,reg
2026-01-13,14.130000,14.130000,14.215000,14.080000,1136014,reg
2026-01-14,14.010000,13.900000,14.020000,13.840000,1934854,reg
2026-01-15,14.000000,13.910000,14.010000,13.892900,2152528,reg
2026-01-16,13.940000,13.900000,14.010000,13.891400,1439099,reg
2026-01-20,13.680000,13.540000,13.735400,13.520000,2244220,reg
2026-01-21,13.505000,13.590000,13.715000,13.420000,3651727,reg
2026-01-22,13.690000,13.800000,13.860000,13.690000,1631304,reg
2026-01-23,13.820000,13.930000,14.018000,13.820000,1997881,reg
2026-01-26,13.970000,14.010000,14.090000,13.950000,1278284,reg
2026-01-27,14.080000,14.150000,14.187100,14.075000,1617047,reg
2026-01-28,14.150000,14.050000,14.150000,14.010100,1655201,reg
2026-01-29,14.080000,14.010000,14.126200,13.778700,2338499,reg
2026-01-30,13.970000,13.950000,14.097500,13.950000,945652,reg
2026-02-02,13.870000,13.990000,14.075000,13.870000,1497673,reg
2026-02-03,14.025000,13.770000,14.030100,13.700000,903615,reg
2026-02-04,13.700000,13.480000,13.760000,13.404500,1168194,reg
2026-02-05,13.240000,13.270000,13.385000,13.110000,1054071,reg
2026-02-06,13.210000,13.310000,13.370000,13.140000,740388,reg
2026-02-09,13.300000,13.460000,13.526500,13.280000,964249,reg
2026-02-10,13.540000,13.410000,13.540000,13.410000,1532071,reg
2026-02-11,13.370000,13.210000,13.420000,13.210000,622000,reg
2026-02-12,13.300000,13.060000,13.300000,12.950000,1243992,reg
2026-02-13,12.970000,12.860000,12.990000,12.830000,790510,reg
2026-02-17,12.820000,12.900000,12.965000,12.701000,886537,reg
2026-02-18,12.810000,12.900000,12.965100,12.810000,1474613,reg
2026-02-19,12.830000,12.890000,12.945000,12.820000,1159686,reg
2026-02-20,12.860000,13.010000,13.040100,12.830000,1324212,reg
2026-02-23,12.970000,12.860000,13.025000,12.810200,1247877,reg
2026-02-24,12.830000,13.000000,13.020000,12.800100,1345661,reg
2026-02-25,12.960000,13.090000,13.100000,12.950000,965299,reg
2026-02-26,13.050000,12.970000,13.060000,12.875000,1206082,reg
2026-02-27,12.820000,12.810000,12.870000,12.740000,1616907,reg
2026-03-02,12.580000,12.840000,12.890100,12.572000,934260,reg
2026-03-03,12.630000,12.800000,12.839900,12.595000,1081715,reg
2026-03-04,12.760000,12.860000,12.909900,12.740000,1662398,reg
2026-03-05,12.850000,12.860000,12.880100,12.730100,1095632,reg
2026-03-06,12.680000,12.670000,12.785000,12.640000,1307394,reg
2026-03-09,12.530000,12.830000,12.830000,12.500000,2026790,reg
2026-03-10,12.820000,12.860000,12.915000,12.790000,1407873,reg
2026-03-11,12.775000,12.800000,12.875000,12.730000,1648913,reg
2026-03-12,12.700000,12.650000,12.741500,12.595000,773146,reg
2026-03-13,12.630000,12.440000,12.660400,12.430100,745028,reg
2026-03-16,12.550000,12.620000,12.690000,12.550000,1360766,reg
2026-03-17,12.640000,12.670000,12.715100,12.630000,928428,reg
2026-03-18,12.530000,12.430000,12.595000,12.430000,885323,reg
2026-03-19,12.330000,12.310000,12.379700,12.260000,1784421,reg
2026-03-20,12.270000,12.120000,12.280000,12.028000,1945256,reg
2026-03-23,12.250000,12.290000,12.379900,12.240100,1283076,reg
2026-03-24,12.270000,12.130000,12.270000,12.130000,1006862,reg
2026-03-25,12.180000,12.150000,12.255000,12.111300,769342,reg
2026-03-26,12.080000,11.810000,12.080000,11.790000,1484324,reg
2026-03-27,11.670000,11.530000,11.740000,11.505000,1856511,reg
2026-03-30,11.600000,11.510000,11.700000,11.473400,1039987,reg
2026-03-31,11.670000,11.950000,11.970200,11.670000,1715546,reg
2026-04-01,11.990000,11.970000,12.040000,11.910000,933669,reg
2026-04-02,11.860000,11.920000,11.950000,11.765000,1260104,reg
2026-04-06,11.950000,11.930000,12.000000,11.890000,851488,reg
2026-04-07,11.890000,11.920000,11.930000,11.720000,511796,reg
2026-04-08,12.200000,12.070000,12.230000,12.020000,375036,reg
2026-04-09,12.080000,12.220000,12.239900,12.030000,3170478,reg
2026-04-10,12.230000,12.290000,12.320100,12.230000,529734,reg
2026-04-13,12.250000,12.390000,12.400000,12.240000,537158,reg
2026-04-14,12.500000,12.670000,12.678700,12.480000,386150,reg
2026-04-15,12.600000,12.840000,12.850000,12.600000,541340,reg
2026-04-16,12.860000,12.860000,12.910000,12.730000,406928,reg
2026-04-17,12.930000,13.020000,13.075000,12.930000,426178,reg
2026-04-20,13.000000,12.920000,13.000000,12.840000,407428,reg
2026-04-21,12.950000,12.880000,12.980000,12.845000,316477,reg
2026-04-22,12.800000,12.940000,12.940000,12.780000,332987,reg
2026-04-23,12.950000,12.790000,12.950000,12.665000,593051,reg
2026-04-24,12.860000,12.930000,12.980000,12.810000,705700,reg
2026-04-27,12.950000,13.050000,13.050000,12.880000,805217,reg
2026-04-28,12.955000,13.000000,13.025000,12.915000,747477,reg
2026-04-29,12.870000,12.860000,12.910000,12.780000,1179635,reg
2026-04-30,12.900000,12.800000,12.900000,12.580000,1936612,reg
2026-05-01,12.870000,12.890000,12.955000,12.850000,1576626,reg
2026-05-04,12.880000,12.880000,12.940000,12.810000,1237268,reg
2026-05-05,12.960000,12.950000,13.000000,12.900000,777621,reg
2026-05-06,12.780000,12.920000,12.950000,12.730000,843440,reg
2026-05-07,12.980000,13.020000,13.080000,12.979900,1955180,reg
2026-05-08,13.080000,13.090000,13.130000,13.040000,1846007,reg
2026-05-11,13.050000,13.090000,13.150000,13.000000,1063956,reg
2026-05-12,13.090000,13.040000,13.090000,12.925000,1809211,reg
2026-05-13,12.920000,13.090000,13.120000,12.830100,1351411,reg
2026-05-14,13.050000,13.130000,13.175000,13.050000,1205473,reg
2026-05-15,13.030000,13.000000,13.110000,12.940000,1341819,reg
2026-05-18,13.000000,12.940000,13.040100,12.850000,1774186,reg
2026-05-19,12.885000,12.800000,12.930000,12.725000,1548734,reg
2026-05-20,12.700000,12.810000,12.810000,12.645000,1194846,reg
