begins_at,open_price,close_price,high_price,low_price,volume,session
2025-06-16T00:00:00Z,10.100000,9.970000,10.690000,9.700000,137572,reg
2025-06-17T00:00:00Z,10.020000,9.680000,10.679900,9.680000,176011,reg
2025-06-18T00:00:00Z,9.680000,9.320000,9.760000,9.100000,130927,reg
2025-06-20T00:00:00Z,9.500000,9.190000,9.690000,9.160000,180099,reg
2025-06-23T00:00:00Z,9.090000,9.470000,9.735000,9.000000,113673,reg
2025-06-24T00:00:00Z,9.470000,10.020000,10.180000,9.270000,179850,reg
2025-06-25T00:00:00Z,10.140000,10.190000,10.550000,9.450000,120988,reg
2025-06-26T00:00:00Z,10.190000,10.150000,10.880000,9.950000,145372,reg
2025-06-27T00:00:00Z,10.090000,9.580000,10.200000,9.490000,488978,reg
2025-06-30T00:00:00Z,9.610000,9.690000,9.860000,9.410000,165539,reg
2025-07-01T00:00:00Z,9.640000,9.140000,9.800000,9.110000,260157,reg
2025-07-02T00:00:00Z,9.200000,10.220000,10.250000,8.910000,194449,reg
2025-07-03T00:00:00Z,10.880000,10.030000,10.880000,9.210000,145704,reg
2025-07-07T00:00:00Z,9.880000,9.790000,10.130000,9.320000,117263,reg
2025-07-08T00:00:00Z,9.880000,9.970000,10.350000,9.850000,163224,reg
2025-07-09T00:00:00Z,10.100000,10.490000,10.600000,9.980000,271960,reg
2025-07-10T00:00:00Z,10.530000,12.070000,12.120000,10.420000,256281,reg
2025-07-11T00:00:00Z,11.950000,11.180000,12.000200,11.000000,100668,reg
2025-07-14T00:00:00Z,11.240000,12.820000,12.970000,11.100000,234247,reg
2025-07-15T00:00:00Z,13.120000,12.350000,13.530000,11.700000,298810,reg
2025-07-16T00:00:00Z,12.350000,13.070000,13.180000,12.210000,95058,reg
2025-07-17T00:00:00Z,13.120000,13.180000,13.440800,12.800500,109593,reg
2025-07-18T00:00:00Z,13.430000,13.730000,14.000000,13.070000,106941,reg
2025-07-21T00:00:00Z,13.730000,14.290000,14.390000,13.607500,85244,reg
2025-07-22T00:00:00Z,14.320000,14.310000,14.585000,13.810000,100979,reg
2025-07-23T00:00:00Z,14.550000,15.620000,15.630000,14.310000,165580,reg
