ticker,exchange,sector,market_cap,avg_volume,last_updated
AAP,,Consumer Cyclical,2570020000,2251349,2026-09-21
AAPL,,Technology,4905541723400,42723148,2026-09-21
AAUC,,Basic Materials,3216864398,549176,2026-09-21
ABBV,,Healthcare,466448278548,4433881,2026-09-21
ABNB,,Consumer Cyclical,98000932061,5283647,2026-09-21
ABT,,Healthcare,177554630002,8202912,2026-09-21
ACHC,,Healthcare,2636599788,1484871,2026-09-21
ACN,,Technology,110938984940,5041789,2026-09-21
ADBE,,Technology,98945700000,5087717,2026-09-21
ADEA,,Technology,2735499120,860034,2026-09-21
ADI,,Technology,182060936509,3566926,2026-09-21
ADP,,Technology,107745599529,2194583,2026-09-21
AEHR,,Technology,3051054787,2763365,2026-09-21
AEM,,Basic Materials,100960360120,3000380,2026-09-21
ALAB,,Technology,52609357788,3681148,2026-09-21
ALGT,,Industrials,2136172175,544553,2026-09-21
ALH,,Consumer Cyclical,4289868691,1669275,2026-09-21
AMAT,,Technology,352809615234,7129500,2026-09-21
AMBA,,Technology,2920808051,1529615,2026-09-21
AMD,,Technology,913892178012,19634526,2026-09-21
AME,,Industrials,54481642024,1368218,2026-09-21
AMGN,,Healthcare,208494732728,2718096,2026-09-21
AMLX,,Healthcare,4066622755,3036763,2026-09-21
AMX,,Communication Services,67488922325,2951048,2026-09-21
AMZN,,Consumer Cyclical,2736595616352,33040987,2026-09-21
ANET,,Technology,251475582564,5679673,2026-09-21
APD,,Basic Materials,63282773915,1010056,2026-09-21
APH,,Technology,191235734180,8230981,2026-09-21
APP,,Communication Services,103092439499,5366843,2026-09-21
APPN,,Technology,2687467439,884982,2026-09-21
ARM,,Technology,294351085602,3997467,2026-09-21
ARQT,,Healthcare,3192575809,2709396,2026-09-21
ASH,,Basic Materials,3162490132,657802,2026-09-21
ASML,,Technology,637353817694,1257465,2026-09-21
ASO,,Consumer Cyclical,2973336751,2131675,2026-09-21
ASST,,Communication Services,2857610107,9015171,2026-09-21
ASX,,Technology,104208356541,6848155,2026-09-21
ATAT,,Consumer Cyclical,4369571411,1004166,2026-09-21
ATHM,,Communication Services,2449515184,729572,2026-09-21
ATKR,,Industrials,3185475207,791420,2026-09-21
ATMU,,Consumer Cyclical,3581227680,761122,2026-09-21
ATRC,,Healthcare,2955331681,1148750,2026-09-21
ATRO,,Industrials,2821363849,736054,2026-09-21
AU,,Basic Materials,52240906452,2802633,2026-09-21
AVGO,,Technology,1707097776022,24555210,2026-09-21
AVNT,,Basic Materials,3701801038,796648,2026-09-21
AXGN,,Healthcare,2595041019,1078948,2026-09-21
AYA,,Basic Materials,4145558174,1257213,2026-09-21
AZN,,Healthcare,258922129494,3329492,2026-09-21
B,,Industrials,70862117013,11078128,2026-09-21
BA,,Industrials,156651337964,5374707,2026-09-21
BABA,,Consumer Cyclical,276999227631,11495894,2026-09-21
BATRK,,Communication Services,3326712238,502803,2026-09-21
BC,,Consumer Cyclical,4377066261,712057,2026-09-21
BDX,,Healthcare,49285667592,1825795,2026-09-21
BE,,Industrials,78235298917,14969871,2026-09-21
BEAM,,Healthcare,2578060118,1854892,2026-09-21
BFAM,,Consumer Cyclical,3193880545,802488,2026-09-21
BHP,,Basic Materials,220794831527,2559092,2026-09-21
BILL,,Technology,4056616519,2248832,2026-09-21
BKNG,,Consumer Cyclical,126156785950,6266642,2026-09-21
BMY,,Healthcare,128813586207,9161683,2026-09-21
BOOT,,Consumer Cyclical,3722613024,652752,2026-09-21
BRZE,,Technology,2774867551,2883102,2026-09-21
BSX,,Healthcare,62809607656,20530690,2026-09-21
BTI,,Consumer Defensive,120649369393,4968681,2026-09-21
BUD,,Consumer Defensive,152752674819,2257362,2026-09-21
CAH,,Healthcare,52417917576,1737520,2026-09-21
CALM,,Consumer Defensive,3404399829,886408,2026-09-21
CALX,,Technology,2218850972,896182,2026-09-21
CARG,,Communication Services,2958130203,940641,2026-09-21
CAT,,Industrials,371872388452,2458641,2026-09-21
CBZ,,Industrials,2964435709,1096443,2026-09-21
CDNA,,Healthcare,2785370566,1065412,2026-09-21
CDNS,,Technology,77908679700,2395819,2026-09-21
CECO,,Industrials,4070017486,833534,2026-09-21
CELC,,Healthcare,3946358380,842247,2026-09-21
CENX,,Basic Materials,3859748572,1998851,2026-09-21
CHH,,Consumer Cyclical,4359085040,505487,2026-09-21
CI,,Healthcare,72740120986,1447972,2026-09-21
CIEN,,Technology,49462813520,2556098,2026-09-21
CL,,Consumer Defensive,69728707352,4469738,2026-09-21
CLDX,,Healthcare,3002184008,822229,2026-09-21
CMCSA,,Communication Services,80695995669,24339823,2026-09-21
CMI,,Industrials,73269169916,993716,2026-09-21
CNI,,Industrials,72060438731,1309340,2026-09-21
CNK,,Communication Services,4055755806,2090685,2026-09-21
COCO,,Consumer Defensive,3224769246,1257054,2026-09-21
COHR,,Technology,62149321590,7223418,2026-09-21
COHU,,Technology,2733321121,980091,2026-09-21
COLM,,Consumer Cyclical,2909821146,685004,2026-09-21
COR,,Healthcare,58923612008,1307750,2026-09-21
COST,,Consumer Defensive,397051008009,1927558,2026-09-21
