signal_date,ticker,price_at_signal,stage,trend_score,rs_score,extension_pct,weeks_in_base,vol_dry_up_ratio,model_version,future_5d_return,future_20d_return,future_60d_return,future_120d_return
2026-07-28,CAR,166.32,deep_base_watch,40,44.7,-76.7,23,0.657,v1.1,,,,
2026-08-06,ACMR,78.98,deep_base_watch,60,100,-37.76,19,0.613,v1.1,,,,
2026-08-07,ENPH,41.87,deep_base_watch,40,48.5,-42.11,17,0.654,v1.1,,,,
2026-08-13,ACMR,81.19,deep_base_watch,60,100,-36.02,20,0.647,v1.1,,,,
2026-08-14,MLYS,25.64,deep_base_watch,20,58.6,-45.83,9,0.479,v1.1,,,,
2026-08-18,POWI,58.59,deep_base_watch,60,49.4,-32.93,26,0.652,v1.1,,,,
2026-08-18,QCOM,160.19,deep_base_watch,40,35.4,-36.18,20,0.664,v1.1,,,,
2026-08-19,FLY,25.3,deep_base_watch,0,13.7,-56.98,25,0.553,v1.1,,,,
2026-08-28,FLY,21.26,deep_base_watch,0,3.5,-63.85,26,0.646,v1.1,,,,
2026-08-28,GLW,148.98,deep_base_watch,60,67.1,-41.73,29,0.699,v1.1,,,,
2026-08-28,MLYS,25.6,deep_base_watch,20,49.8,-45.91,11,0.649,v1.1,,,,
2026-08-28,MRVL,216.62,deep_base_watch,60,100,-31.54,28,0.655,v1.1,,,,
2026-08-28,OUST,34.62,deep_base_watch,60,56.0,-44.63,22,0.698,v1.1,,,,
2026-08-28,PENG,49.51,deep_base_watch,60,100,-39.17,22,0.481,v1.1,,,,
2026-08-28,QCOM,164.19,deep_base_watch,20,34.5,-34.59,21,0.635,v1.1,,,,
2026-08-31,ARM,241.91,deep_base_watch,60,97.5,-44.95,27,0.527,v1.1,,,,
2026-09-02,FLY,21.07,deep_base_watch,0,5.6,-64.17,27,0.638,v1.1,,,,
2026-09-01,GLW,145.56,deep_base_watch,60,64.3,-43.07,26,0.693,v1.1,,,,
2026-09-01,MLYS,25.57,deep_base_watch,20,52.5,-45.98,12,0.654,v1.1,,,,
2026-09-01,MRVL,210.39,deep_base_watch,60,100,-33.51,29,0.676,v1.1,,,,
2026-09-01,OLLI,72.34,deep_base_watch,0,15.1,-47.7,8,0.694,v1.1,,,,
2026-09-01,OUST,33.26,deep_base_watch,60,50.4,-46.8,23,0.695,v1.1,,,,
2026-09-01,PENG,47.59,deep_base_watch,60,100,-41.53,23,0.492,v1.1,,,,
2026-09-01,QCOM,166.61,deep_base_watch,20,35.5,-33.63,22,0.623,v1.1,,,,
2026-09-01,TER,335.46,deep_base_watch,60,93.1,-30.67,26,0.647,v1.1,,,,
2026-09-02,ALAB,274.13,deep_base_watch,60,85.9,-43.25,23,0.68,v1.1,,,,
2026-09-03,BFAM,71.09,deep_base_watch,0,13.2,-43.17,9,0.619,v1.1,,,,
2026-09-03,FLY,21.06,deep_base_watch,0,3.5,-64.19,27,0.64,v1.1,,,,
2026-09-03,GLW,146.0,deep_base_watch,60,63.1,-42.9,26,0.659,v1.1,,,,
2026-09-03,LRCX,292.66,deep_base_watch,60,100,-32.46,26,0.656,v1.1,,,,
2026-09-03,MRVL,208.83,deep_base_watch,60,100,-34.0,29,0.698,v1.1,,,,
2026-09-03,OUST,35.83,deep_base_watch,60,58.2,-42.69,23,0.679,v1.1,,,,
2026-09-03,QCOM,168.57,deep_base_watch,20,34.7,-32.85,22,0.603,v1.1,,,,
2026-09-03,TER,338.59,deep_base_watch,60,88.4,-30.02,26,0.622,v1.1,,,,
